result/tencentBlock.ns6814.oracleGeneral.zst LRB cache size    67390, 56981299 req, miss ratio 0.3986, byte miss ratio 0.3986
result/tencentBlock.ns6814.oracleGeneral.zst LRB cache size   224635, 56981299 req, miss ratio 0.2072, byte miss ratio 0.2072
result/tencentBlock.ns6814.oracleGeneral.zst LRB cache size   449271, 56981299 req, miss ratio 0.1161, byte miss ratio 0.1161
result/tencentBlock.ns6814.oracleGeneral.zst LRB cache size   898542, 56981299 req, miss ratio 0.0604, byte miss ratio 0.0604
result/tencentBlock.ns6814.oracleGeneral.zst LRB cache size  1797084, 56981299 req, miss ratio 0.0422, byte miss ratio 0.0422
result/tencentBlock.ns6814.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2246, 56981299 req, miss ratio 0.8198, byte miss ratio 0.8198
result/tencentBlock.ns6814.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6739, 56981299 req, miss ratio 0.6794, byte miss ratio 0.6794
result/tencentBlock.ns6814.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22463, 56981299 req, miss ratio 0.5366, byte miss ratio 0.5366
result/tencentBlock.ns6814.oracleGeneral.zst S4LRU(25:25:25:25) cache size    67390, 56981299 req, miss ratio 0.4200, byte miss ratio 0.4200
result/tencentBlock.ns6814.oracleGeneral.zst S4LRU(25:25:25:25) cache size   224635, 56981299 req, miss ratio 0.2261, byte miss ratio 0.2261
result/tencentBlock.ns6814.oracleGeneral.zst S4LRU(25:25:25:25) cache size   449271, 56981299 req, miss ratio 0.1262, byte miss ratio 0.1262
result/tencentBlock.ns6814.oracleGeneral.zst S4LRU(25:25:25:25) cache size   898542, 56981299 req, miss ratio 0.0539, byte miss ratio 0.0539
result/tencentBlock.ns6814.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1797084, 56981299 req, miss ratio 0.0400, byte miss ratio 0.0400
result/tencentBlock.ns6814.oracleGeneral.zst TwoQ cache size     2246, 56981299 req, miss ratio 0.7798, byte miss ratio 0.7798
result/tencentBlock.ns6814.oracleGeneral.zst TwoQ cache size     6739, 56981299 req, miss ratio 0.6672, byte miss ratio 0.6672
result/tencentBlock.ns6814.oracleGeneral.zst TwoQ cache size    22463, 56981299 req, miss ratio 0.5349, byte miss ratio 0.5349
result/tencentBlock.ns6814.oracleGeneral.zst TwoQ cache size    67390, 56981299 req, miss ratio 0.4013, byte miss ratio 0.4013
result/tencentBlock.ns6814.oracleGeneral.zst TwoQ cache size   224635, 56981299 req, miss ratio 0.2148, byte miss ratio 0.2148
result/tencentBlock.ns6814.oracleGeneral.zst TwoQ cache size   449271, 56981299 req, miss ratio 0.1188, byte miss ratio 0.1188
result/tencentBlock.ns6814.oracleGeneral.zst TwoQ cache size   898542, 56981299 req, miss ratio 0.0626, byte miss ratio 0.0626
result/tencentBlock.ns6814.oracleGeneral.zst TwoQ cache size  1797084, 56981299 req, miss ratio 0.0472, byte miss ratio 0.0472
result/tencentBlock.ns6814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2246, 56981299 req, miss ratio 0.7900, byte miss ratio 0.7900
result/tencentBlock.ns6814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6739, 56981299 req, miss ratio 0.6830, byte miss ratio 0.6830
result/tencentBlock.ns6814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22463, 56981299 req, miss ratio 0.5612, byte miss ratio 0.5612
result/tencentBlock.ns6814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    67390, 56981299 req, miss ratio 0.4384, byte miss ratio 0.4384
result/tencentBlock.ns6814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   224635, 56981299 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns6814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   449271, 56981299 req, miss ratio 0.1388, byte miss ratio 0.1388
result/tencentBlock.ns6814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   898542, 56981299 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns6814.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1797084, 56981299 req, miss ratio 0.0448, byte miss ratio 0.0448
result/tencentBlock.ns6814.oracleGeneral.zst B-LRU cache size     2246, 56981299 req, miss ratio 0.8002, byte miss ratio 0.8002
result/tencentBlock.ns6814.oracleGeneral.zst B-LRU cache size     6739, 56981299 req, miss ratio 0.6764, byte miss ratio 0.6764
result/tencentBlock.ns6814.oracleGeneral.zst B-LRU cache size    22463, 56981299 req, miss ratio 0.5710, byte miss ratio 0.5710
result/tencentBlock.ns6814.oracleGeneral.zst B-LRU cache size    67390, 56981299 req, miss ratio 0.4536, byte miss ratio 0.4536
result/tencentBlock.ns6814.oracleGeneral.zst B-LRU cache size   224635, 56981299 req, miss ratio 0.2347, byte miss ratio 0.2347
result/tencentBlock.ns6814.oracleGeneral.zst B-LRU cache size   449271, 56981299 req, miss ratio 0.1521, byte miss ratio 0.1521
