result/io_traces.ns25.oracleGeneral.zst FIFO cache size  1741049, 10200000 req, miss ratio 0.5209, byte miss ratio 0.5209
result/io_traces.ns25.oracleGeneral.zst FIFO cache size  3482098, 10200000 req, miss ratio 0.4424, byte miss ratio 0.4424
result/io_traces.ns25.oracleGeneral.zst LRU cache size     4352, 10200000 req, miss ratio 0.7070, byte miss ratio 0.7070
result/io_traces.ns25.oracleGeneral.zst LRU cache size    13057, 10200000 req, miss ratio 0.7062, byte miss ratio 0.7062
result/io_traces.ns25.oracleGeneral.zst LRU cache size    43526, 10200000 req, miss ratio 0.6856, byte miss ratio 0.6856
result/io_traces.ns25.oracleGeneral.zst LRU cache size   130578, 10200000 req, miss ratio 0.6477, byte miss ratio 0.6477
result/io_traces.ns25.oracleGeneral.zst LRU cache size   435262, 10200000 req, miss ratio 0.5976, byte miss ratio 0.5976
result/io_traces.ns25.oracleGeneral.zst LRU cache size   870524, 10200000 req, miss ratio 0.5891, byte miss ratio 0.5891
result/io_traces.ns25.oracleGeneral.zst LRU cache size  1741049, 10200000 req, miss ratio 0.5111, byte miss ratio 0.5111
result/io_traces.ns25.oracleGeneral.zst LRU cache size  3482098, 10200000 req, miss ratio 0.4343, byte miss ratio 0.4343
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d-1 cache size     4352, 10200000 req, miss ratio 0.7070, byte miss ratio 0.7070
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d-1 cache size    13057, 10200000 req, miss ratio 0.7028, byte miss ratio 0.7028
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d-1 cache size    43526, 10200000 req, miss ratio 0.6702, byte miss ratio 0.6702
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d-1 cache size   130578, 10200000 req, miss ratio 0.5946, byte miss ratio 0.5946
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d-1 cache size   435262, 10200000 req, miss ratio 0.5734, byte miss ratio 0.5734
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d-1 cache size   870524, 10200000 req, miss ratio 0.5531, byte miss ratio 0.5531
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d-1 cache size  1741049, 10200000 req, miss ratio 0.5044, byte miss ratio 0.5044
result/io_traces.ns25.oracleGeneral.zst S3FIFO-d-1 cache size  3482098, 10200000 req, miss ratio 0.4375, byte miss ratio 0.4375
result/io_traces.ns25.oracleGeneral.zst LRB cache size     4352, 10200000 req, miss ratio 0.7280, byte miss ratio 0.7280
result/io_traces.ns25.oracleGeneral.zst LRB cache size    13057, 10200000 req, miss ratio 0.6796, byte miss ratio 0.6796
result/io_traces.ns25.oracleGeneral.zst LRB cache size    43526, 10200000 req, miss ratio 0.6075, byte miss ratio 0.6075
result/io_traces.ns25.oracleGeneral.zst LRB cache size   130578, 10200000 req, miss ratio 0.5919, byte miss ratio 0.5919
result/io_traces.ns25.oracleGeneral.zst LRB cache size   435262, 10200000 req, miss ratio 0.5650, byte miss ratio 0.5650
result/io_traces.ns25.oracleGeneral.zst LRB cache size   870524, 10200000 req, miss ratio 0.5433, byte miss ratio 0.5433
result/io_traces.ns25.oracleGeneral.zst LRB cache size  1741049, 10200000 req, miss ratio 0.4926, byte miss ratio 0.4926
result/io_traces.ns25.oracleGeneral.zst LRB cache size  3482098, 10200000 req, miss ratio 0.4333, byte miss ratio 0.4333
result/io_traces.ns25.oracleGeneral.zst TwoQ cache size     4352, 10200000 req, miss ratio 0.7061, byte miss ratio 0.7061
result/io_traces.ns25.oracleGeneral.zst TwoQ cache size    13057, 10200000 req, miss ratio 0.6895, byte miss ratio 0.6895
result/io_traces.ns25.oracleGeneral.zst TwoQ cache size    43526, 10200000 req, miss ratio 0.6189, byte miss ratio 0.6189
result/io_traces.ns25.oracleGeneral.zst TwoQ cache size   130578, 10200000 req, miss ratio 0.6000, byte miss ratio 0.6000
result/io_traces.ns25.oracleGeneral.zst TwoQ cache size   435262, 10200000 req, miss ratio 0.5935, byte miss ratio 0.5935
result/io_traces.ns25.oracleGeneral.zst TwoQ cache size   870524, 10200000 req, miss ratio 0.5688, byte miss ratio 0.5688
