result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d-1 cache size    30675, 2182987 req, miss ratio 0.2303, byte miss ratio 0.2303
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d-1 cache size    61350, 2182987 req, miss ratio 0.1716, byte miss ratio 0.1716
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d-1 cache size   122700, 2182987 req, miss ratio 0.0892, byte miss ratio 0.0892
result/tencentBlock.ns16764.oracleGeneral.zst LRB cache size      153, 2182987 req, miss ratio 0.5312, byte miss ratio 0.5312
result/tencentBlock.ns16764.oracleGeneral.zst LRB cache size      460, 2182987 req, miss ratio 0.4361, byte miss ratio 0.4361
result/tencentBlock.ns16764.oracleGeneral.zst LRB cache size     1533, 2182987 req, miss ratio 0.3661, byte miss ratio 0.3661
result/tencentBlock.ns16764.oracleGeneral.zst LRB cache size     4601, 2182987 req, miss ratio 0.3067, byte miss ratio 0.3067
result/tencentBlock.ns16764.oracleGeneral.zst LRB cache size    15337, 2182987 req, miss ratio 0.2605, byte miss ratio 0.2605
result/tencentBlock.ns16764.oracleGeneral.zst LRB cache size    30675, 2182987 req, miss ratio 0.2128, byte miss ratio 0.2128
result/tencentBlock.ns16764.oracleGeneral.zst LRB cache size    61350, 2182987 req, miss ratio 0.1271, byte miss ratio 0.1271
result/tencentBlock.ns16764.oracleGeneral.zst LRB cache size   122700, 2182987 req, miss ratio 0.0778, byte miss ratio 0.0778
result/tencentBlock.ns16764.oracleGeneral.zst B-LRU cache size      153, 2182987 req, miss ratio 0.5410, byte miss ratio 0.5410
result/tencentBlock.ns16764.oracleGeneral.zst B-LRU cache size      460, 2182987 req, miss ratio 0.4643, byte miss ratio 0.4643
result/tencentBlock.ns16764.oracleGeneral.zst B-LRU cache size     1533, 2182987 req, miss ratio 0.4115, byte miss ratio 0.4115
result/tencentBlock.ns16764.oracleGeneral.zst B-LRU cache size     4601, 2182987 req, miss ratio 0.3877, byte miss ratio 0.3877
result/tencentBlock.ns16764.oracleGeneral.zst B-LRU cache size    15337, 2182987 req, miss ratio 0.3210, byte miss ratio 0.3210
result/tencentBlock.ns16764.oracleGeneral.zst B-LRU cache size    30675, 2182987 req, miss ratio 0.2827, byte miss ratio 0.2827
result/tencentBlock.ns16764.oracleGeneral.zst B-LRU cache size    61350, 2182987 req, miss ratio 0.1979, byte miss ratio 0.1979
result/tencentBlock.ns16764.oracleGeneral.zst B-LRU cache size   122700, 2182987 req, miss ratio 0.1453, byte miss ratio 0.1453
result/tencentBlock.ns16764.oracleGeneral.zst S4LRU(25:25:25:25) cache size      153, 2182987 req, miss ratio 0.6108, byte miss ratio 0.6108
result/tencentBlock.ns16764.oracleGeneral.zst S4LRU(25:25:25:25) cache size      460, 2182987 req, miss ratio 0.4262, byte miss ratio 0.4262
result/tencentBlock.ns16764.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1533, 2182987 req, miss ratio 0.3727, byte miss ratio 0.3727
result/tencentBlock.ns16764.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4601, 2182987 req, miss ratio 0.3417, byte miss ratio 0.3417
result/tencentBlock.ns16764.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15337, 2182987 req, miss ratio 0.2894, byte miss ratio 0.2894
result/tencentBlock.ns16764.oracleGeneral.zst S4LRU(25:25:25:25) cache size    30675, 2182987 req, miss ratio 0.2674, byte miss ratio 0.2674
result/tencentBlock.ns16764.oracleGeneral.zst S4LRU(25:25:25:25) cache size    61350, 2182987 req, miss ratio 0.1919, byte miss ratio 0.1919
result/tencentBlock.ns16764.oracleGeneral.zst S4LRU(25:25:25:25) cache size   122700, 2182987 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns16764.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      153, 2182987 req, miss ratio 0.5516, byte miss ratio 0.5516
result/tencentBlock.ns16764.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      460, 2182987 req, miss ratio 0.4515, byte miss ratio 0.4515
result/tencentBlock.ns16764.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1533, 2182987 req, miss ratio 0.3856, byte miss ratio 0.3856
result/tencentBlock.ns16764.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4601, 2182987 req, miss ratio 0.3585, byte miss ratio 0.3585
result/tencentBlock.ns16764.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15337, 2182987 req, miss ratio 0.3067, byte miss ratio 0.3067
result/tencentBlock.ns16764.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    30675, 2182987 req, miss ratio 0.2663, byte miss ratio 0.2663
result/tencentBlock.ns16764.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    61350, 2182987 req, miss ratio 0.2142, byte miss ratio 0.2142
result/tencentBlock.ns16764.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   122700, 2182987 req, miss ratio 0.0999, byte miss ratio 0.0999
result/tencentBlock.ns16764.oracleGeneral.zst TwoQ cache size      153, 2182987 req, miss ratio 0.4731, byte miss ratio 0.4731
result/tencentBlock.ns16764.oracleGeneral.zst TwoQ cache size      460, 2182987 req, miss ratio 0.3878, byte miss ratio 0.3878
result/tencentBlock.ns16764.oracleGeneral.zst TwoQ cache size     1533, 2182987 req, miss ratio 0.3503, byte miss ratio 0.3503
result/tencentBlock.ns16764.oracleGeneral.zst TwoQ cache size     4601, 2182987 req, miss ratio 0.3194, byte miss ratio 0.3194
result/tencentBlock.ns16764.oracleGeneral.zst TwoQ cache size    15337, 2182987 req, miss ratio 0.2628, byte miss ratio 0.2628
result/tencentBlock.ns16764.oracleGeneral.zst TwoQ cache size    30675, 2182987 req, miss ratio 0.2222, byte miss ratio 0.2222
result/tencentBlock.ns16764.oracleGeneral.zst TwoQ cache size    61350, 2182987 req, miss ratio 0.1716, byte miss ratio 0.1716
result/tencentBlock.ns16764.oracleGeneral.zst TwoQ cache size   122700, 2182987 req, miss ratio 0.1046, byte miss ratio 0.1046
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d cache size      153, 2182987 req, miss ratio 0.4766, byte miss ratio 0.4766
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d cache size      460, 2182987 req, miss ratio 0.3957, byte miss ratio 0.3957
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d cache size     1533, 2182987 req, miss ratio 0.3645, byte miss ratio 0.3645
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d cache size     4601, 2182987 req, miss ratio 0.3205, byte miss ratio 0.3205
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d cache size    15337, 2182987 req, miss ratio 0.2689, byte miss ratio 0.2689
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d cache size    30675, 2182987 req, miss ratio 0.2288, byte miss ratio 0.2288
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d cache size    61350, 2182987 req, miss ratio 0.1684, byte miss ratio 0.1684
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO-d cache size   122700, 2182987 req, miss ratio 0.0833, byte miss ratio 0.0833
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO cache size      153, 2182987 req, miss ratio 0.4846, byte miss ratio 0.4846
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO cache size      460, 2182987 req, miss ratio 0.3959, byte miss ratio 0.3959
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO cache size     1533, 2182987 req, miss ratio 0.3648, byte miss ratio 0.3648
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO cache size     4601, 2182987 req, miss ratio 0.3204, byte miss ratio 0.3204
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO cache size    15337, 2182987 req, miss ratio 0.2691, byte miss ratio 0.2691
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO cache size    30675, 2182987 req, miss ratio 0.2286, byte miss ratio 0.2286
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO cache size    61350, 2182987 req, miss ratio 0.1692, byte miss ratio 0.1692
result/tencentBlock.ns16764.oracleGeneral.zst S3FIFO cache size   122700, 2182987 req, miss ratio 0.0830, byte miss ratio 0.0830
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      153, 2182987 req, miss ratio 0.5452, byte miss ratio 0.5452
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      460, 2182987 req, miss ratio 0.4818, byte miss ratio 0.4818
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1533, 2182987 req, miss ratio 0.3645, byte miss ratio 0.3645
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4601, 2182987 req, miss ratio 0.3187, byte miss ratio 0.3187
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15337, 2182987 req, miss ratio 0.2531, byte miss ratio 0.2531
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    30675, 2182987 req, miss ratio 0.2046, byte miss ratio 0.2046
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    61350, 2182987 req, miss ratio 0.1256, byte miss ratio 0.1256
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   122700, 2182987 req, miss ratio 0.0738, byte miss ratio 0.0738
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      153, 2182987 req, miss ratio 0.4694, byte miss ratio 0.4694
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      460, 2182987 req, miss ratio 0.3926, byte miss ratio 0.3926
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1533, 2182987 req, miss ratio 0.3487, byte miss ratio 0.3487
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4601, 2182987 req, miss ratio 0.3004, byte miss ratio 0.3004
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15337, 2182987 req, miss ratio 0.2561, byte miss ratio 0.2561
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    30675, 2182987 req, miss ratio 0.2114, byte miss ratio 0.2114
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    61350, 2182987 req, miss ratio 0.1327, byte miss ratio 0.1327
result/tencentBlock.ns16764.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   122700, 2182987 req, miss ratio 0.0778, byte miss ratio 0.0778
