result/cdn2_colo28.ns387.oracleGeneral.zst LeCaR cache size      528, 3131344 req, miss ratio 0.5771, byte miss ratio 0.5771
result/cdn2_colo28.ns387.oracleGeneral.zst LeCaR cache size     1585, 3131344 req, miss ratio 0.5608, byte miss ratio 0.5608
result/cdn2_colo28.ns387.oracleGeneral.zst LeCaR cache size     5284, 3131344 req, miss ratio 0.5470, byte miss ratio 0.5470
result/cdn2_colo28.ns387.oracleGeneral.zst LeCaR cache size    15852, 3131344 req, miss ratio 0.5330, byte miss ratio 0.5330
result/cdn2_colo28.ns387.oracleGeneral.zst LeCaR cache size    52843, 3131344 req, miss ratio 0.2362, byte miss ratio 0.2362
result/cdn2_colo28.ns387.oracleGeneral.zst LeCaR cache size   105686, 3131344 req, miss ratio 0.1877, byte miss ratio 0.1877
result/cdn2_colo28.ns387.oracleGeneral.zst LeCaR cache size   211372, 3131344 req, miss ratio 0.1722, byte miss ratio 0.1722
result/cdn2_colo28.ns387.oracleGeneral.zst LeCaR cache size   422745, 3131344 req, miss ratio 0.1690, byte miss ratio 0.1690
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d-1 cache size      528, 3131344 req, miss ratio 0.5761, byte miss ratio 0.5761
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d-1 cache size     1585, 3131344 req, miss ratio 0.5599, byte miss ratio 0.5599
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d-1 cache size     5284, 3131344 req, miss ratio 0.5486, byte miss ratio 0.5486
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d-1 cache size    15852, 3131344 req, miss ratio 0.5119, byte miss ratio 0.5119
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d-1 cache size    52843, 3131344 req, miss ratio 0.2252, byte miss ratio 0.2252
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d-1 cache size   105686, 3131344 req, miss ratio 0.1817, byte miss ratio 0.1817
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d-1 cache size   211372, 3131344 req, miss ratio 0.1712, byte miss ratio 0.1712
result/cdn2_colo28.ns387.oracleGeneral.zst S3FIFO-d-1 cache size   422745, 3131344 req, miss ratio 0.1689, byte miss ratio 0.1689
result/cdn2_colo28.ns387.oracleGeneral.zst LRB cache size      528, 3131344 req, miss ratio 0.6044, byte miss ratio 0.6044
result/cdn2_colo28.ns387.oracleGeneral.zst LRB cache size     1585, 3131344 req, miss ratio 0.5704, byte miss ratio 0.5704
result/cdn2_colo28.ns387.oracleGeneral.zst LRB cache size     5284, 3131344 req, miss ratio 0.5227, byte miss ratio 0.5227
result/cdn2_colo28.ns387.oracleGeneral.zst LRB cache size    15852, 3131344 req, miss ratio 0.4167, byte miss ratio 0.4167
result/cdn2_colo28.ns387.oracleGeneral.zst LRB cache size    52843, 3131344 req, miss ratio 0.2680, byte miss ratio 0.2680
