result/cdn1_sjc.ns330.oracleGeneral.bin.zst Clock cache size        5, 11295584 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn1_sjc.ns330.oracleGeneral.bin.zst Clock cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_sjc.ns330.oracleGeneral.bin.zst Clock cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst Clock cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst Clock cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst Clock cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst Clock cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S3FIFO-d-1 cache size        5, 11295584 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S3FIFO-d-1 cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S3FIFO-d-1 cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S3FIFO-d-1 cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S3FIFO-d-1 cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S3FIFO-d-1 cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRB cache size        5, 11295584 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRB cache size       17, 11295584 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRB cache size       52, 11295584 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRB cache size      175, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRB cache size      351, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRB cache size      703, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst LRB cache size     1406, 11295584 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_sjc.ns330.oracleGeneral.bin.zst B-LRU cache size        5, 11295584 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn1_sjc.ns330.oracleGeneral.bin.zst B-LRU cache size       17, 11295584 req, miss ratio 0.0006, byte miss ratio 0.0006
