result/cdn2_colo28.ns1315.oracleGeneral.zst LHD cache size   411012, 2335244 req, miss ratio 0.4932, byte miss ratio 0.4932
result/cdn2_colo28.ns1315.oracleGeneral.zst LHD cache size   822024, 2335244 req, miss ratio 0.4461, byte miss ratio 0.4461
result/cdn2_colo28.ns1315.oracleGeneral.zst ARC cache size     1027, 2335244 req, miss ratio 0.8201, byte miss ratio 0.8201
result/cdn2_colo28.ns1315.oracleGeneral.zst ARC cache size     3082, 2335244 req, miss ratio 0.7831, byte miss ratio 0.7831
result/cdn2_colo28.ns1315.oracleGeneral.zst ARC cache size    10275, 2335244 req, miss ratio 0.7279, byte miss ratio 0.7279
result/cdn2_colo28.ns1315.oracleGeneral.zst ARC cache size    30825, 2335244 req, miss ratio 0.6631, byte miss ratio 0.6631
result/cdn2_colo28.ns1315.oracleGeneral.zst ARC cache size   102753, 2335244 req, miss ratio 0.5783, byte miss ratio 0.5783
result/cdn2_colo28.ns1315.oracleGeneral.zst ARC cache size   205506, 2335244 req, miss ratio 0.5282, byte miss ratio 0.5282
result/cdn2_colo28.ns1315.oracleGeneral.zst ARC cache size   411012, 2335244 req, miss ratio 0.4844, byte miss ratio 0.4844
result/cdn2_colo28.ns1315.oracleGeneral.zst ARC cache size   822024, 2335244 req, miss ratio 0.4433, byte miss ratio 0.4433
result/cdn2_colo28.ns1315.oracleGeneral.zst LIRS cache size     1027, 2335244 req, miss ratio 0.8342, byte miss ratio 0.8342
result/cdn2_colo28.ns1315.oracleGeneral.zst LIRS cache size     3082, 2335244 req, miss ratio 0.7927, byte miss ratio 0.7927
result/cdn2_colo28.ns1315.oracleGeneral.zst LIRS cache size    10275, 2335244 req, miss ratio 0.7338, byte miss ratio 0.7338
result/cdn2_colo28.ns1315.oracleGeneral.zst LIRS cache size    30825, 2335244 req, miss ratio 0.6702, byte miss ratio 0.6702
result/cdn2_colo28.ns1315.oracleGeneral.zst LIRS cache size   102753, 2335244 req, miss ratio 0.5904, byte miss ratio 0.5904
result/cdn2_colo28.ns1315.oracleGeneral.zst LIRS cache size   205506, 2335244 req, miss ratio 0.5410, byte miss ratio 0.5410
result/cdn2_colo28.ns1315.oracleGeneral.zst LIRS cache size   411012, 2335244 req, miss ratio 0.4918, byte miss ratio 0.4918
result/cdn2_colo28.ns1315.oracleGeneral.zst LIRS cache size   822024, 2335244 req, miss ratio 0.4468, byte miss ratio 0.4468
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO cache size     1027, 2335244 req, miss ratio 0.8515, byte miss ratio 0.8515
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO cache size     3082, 2335244 req, miss ratio 0.8185, byte miss ratio 0.8185
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO cache size    10275, 2335244 req, miss ratio 0.7724, byte miss ratio 0.7724
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO cache size    30825, 2335244 req, miss ratio 0.7129, byte miss ratio 0.7129
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO cache size   102753, 2335244 req, miss ratio 0.6327, byte miss ratio 0.6327
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO cache size   205506, 2335244 req, miss ratio 0.5738, byte miss ratio 0.5738
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO cache size   411012, 2335244 req, miss ratio 0.5140, byte miss ratio 0.5140
result/cdn2_colo28.ns1315.oracleGeneral.zst FIFO cache size   822024, 2335244 req, miss ratio 0.4503, byte miss ratio 0.4503
result/cdn2_colo28.ns1315.oracleGeneral.zst Clock cache size     1027, 2335244 req, miss ratio 0.8379, byte miss ratio 0.8379
result/cdn2_colo28.ns1315.oracleGeneral.zst Clock cache size     3082, 2335244 req, miss ratio 0.8076, byte miss ratio 0.8076
result/cdn2_colo28.ns1315.oracleGeneral.zst Clock cache size    10275, 2335244 req, miss ratio 0.7555, byte miss ratio 0.7555
result/cdn2_colo28.ns1315.oracleGeneral.zst Clock cache size    30825, 2335244 req, miss ratio 0.6917, byte miss ratio 0.6917
result/cdn2_colo28.ns1315.oracleGeneral.zst Clock cache size   102753, 2335244 req, miss ratio 0.6049, byte miss ratio 0.6049
result/cdn2_colo28.ns1315.oracleGeneral.zst Clock cache size   205506, 2335244 req, miss ratio 0.5454, byte miss ratio 0.5454
result/cdn2_colo28.ns1315.oracleGeneral.zst Clock cache size   411012, 2335244 req, miss ratio 0.4899, byte miss ratio 0.4899
result/cdn2_colo28.ns1315.oracleGeneral.zst Clock cache size   822024, 2335244 req, miss ratio 0.4433, byte miss ratio 0.4433
result/cdn2_colo28.ns1315.oracleGeneral.zst Cacheus cache size     1027, 2335244 req, miss ratio 0.8227, byte miss ratio 0.8227
result/cdn2_colo28.ns1315.oracleGeneral.zst Cacheus cache size     3082, 2335244 req, miss ratio 0.7869, byte miss ratio 0.7869
result/cdn2_colo28.ns1315.oracleGeneral.zst Cacheus cache size    10275, 2335244 req, miss ratio 0.7313, byte miss ratio 0.7313
result/cdn2_colo28.ns1315.oracleGeneral.zst Cacheus cache size    30825, 2335244 req, miss ratio 0.6684, byte miss ratio 0.6684
result/cdn2_colo28.ns1315.oracleGeneral.zst Cacheus cache size   102753, 2335244 req, miss ratio 0.5853, byte miss ratio 0.5853
result/cdn2_colo28.ns1315.oracleGeneral.zst Cacheus cache size   205506, 2335244 req, miss ratio 0.5391, byte miss ratio 0.5391
result/cdn2_colo28.ns1315.oracleGeneral.zst Cacheus cache size   411012, 2335244 req, miss ratio 0.4952, byte miss ratio 0.4952
result/cdn2_colo28.ns1315.oracleGeneral.zst Cacheus cache size   822024, 2335244 req, miss ratio 0.4559, byte miss ratio 0.4559
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d-1 cache size     1027, 2335244 req, miss ratio 0.8148, byte miss ratio 0.8148
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d-1 cache size     3082, 2335244 req, miss ratio 0.7772, byte miss ratio 0.7772
result/cdn2_colo28.ns1315.oracleGeneral.zst S3FIFO-d-1 cache size    10275, 2335244 req, miss ratio 0.7212, byte miss ratio 0.7212
