result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size        8, 1007266 req, miss ratio 0.0613, byte miss ratio 0.0613
result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       25, 1007266 req, miss ratio 0.0442, byte miss ratio 0.0442
result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       86, 1007266 req, miss ratio 0.0278, byte miss ratio 0.0278
result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      172, 1007266 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      345, 1007266 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn1_nyc.ns211.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      691, 1007266 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn1_nyc.ns211.oracleGeneral.bin.zst TwoQ cache size        8, 1007266 req, miss ratio 0.0390, byte miss ratio 0.0390
result/cdn1_nyc.ns211.oracleGeneral.bin.zst TwoQ cache size       25, 1007266 req, miss ratio 0.0350, byte miss ratio 0.0350
result/cdn1_nyc.ns211.oracleGeneral.bin.zst TwoQ cache size       86, 1007266 req, miss ratio 0.0232, byte miss ratio 0.0232
result/cdn1_nyc.ns211.oracleGeneral.bin.zst TwoQ cache size      172, 1007266 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn1_nyc.ns211.oracleGeneral.bin.zst TwoQ cache size      345, 1007266 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn1_nyc.ns211.oracleGeneral.bin.zst TwoQ cache size      691, 1007266 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO cache size        8, 1007266 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO cache size       25, 1007266 req, miss ratio 0.0341, byte miss ratio 0.0341
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO cache size       86, 1007266 req, miss ratio 0.0218, byte miss ratio 0.0218
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO cache size      172, 1007266 req, miss ratio 0.0101, byte miss ratio 0.0101
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO cache size      345, 1007266 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO cache size      691, 1007266 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d cache size        8, 1007266 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d cache size       25, 1007266 req, miss ratio 0.0341, byte miss ratio 0.0341
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d cache size       86, 1007266 req, miss ratio 0.0218, byte miss ratio 0.0218
result/cdn1_nyc.ns211.oracleGeneral.bin.zst S3FIFO-d cache size      172, 1007266 req, miss ratio 0.0105, byte miss ratio 0.0105
