result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d-1 cache size    50038, 37307337 req, miss ratio 0.2333, byte miss ratio 0.2333
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d-1 cache size   150114, 37307337 req, miss ratio 0.2088, byte miss ratio 0.2088
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d-1 cache size   500382, 37307337 req, miss ratio 0.1870, byte miss ratio 0.1870
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d-1 cache size  1000765, 37307337 req, miss ratio 0.1619, byte miss ratio 0.1619
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d-1 cache size  2001530, 37307337 req, miss ratio 0.1431, byte miss ratio 0.1431
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d-1 cache size  4003061, 37307337 req, miss ratio 0.1343, byte miss ratio 0.1343
result/tencentBlock.ns5473.oracleGeneral.zst LRB cache size     5003, 37307337 req, miss ratio 0.4781, byte miss ratio 0.4781
result/tencentBlock.ns5473.oracleGeneral.zst LRB cache size    15011, 37307337 req, miss ratio 0.3883, byte miss ratio 0.3883
result/tencentBlock.ns5473.oracleGeneral.zst LRB cache size    50038, 37307337 req, miss ratio 0.2215, byte miss ratio 0.2215
result/tencentBlock.ns5473.oracleGeneral.zst LRB cache size   150114, 37307337 req, miss ratio 0.2100, byte miss ratio 0.2100
result/tencentBlock.ns5473.oracleGeneral.zst LRB cache size   500382, 37307337 req, miss ratio 0.1952, byte miss ratio 0.1952
result/tencentBlock.ns5473.oracleGeneral.zst LRB cache size  1000765, 37307337 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns5473.oracleGeneral.zst LRB cache size  2001530, 37307337 req, miss ratio 0.1439, byte miss ratio 0.1439
result/tencentBlock.ns5473.oracleGeneral.zst LRB cache size  4003061, 37307337 req, miss ratio 0.1342, byte miss ratio 0.1342
result/tencentBlock.ns5473.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5003, 37307337 req, miss ratio 0.4653, byte miss ratio 0.4653
result/tencentBlock.ns5473.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15011, 37307337 req, miss ratio 0.4383, byte miss ratio 0.4383
result/tencentBlock.ns5473.oracleGeneral.zst S4LRU(25:25:25:25) cache size    50038, 37307337 req, miss ratio 0.2716, byte miss ratio 0.2716
result/tencentBlock.ns5473.oracleGeneral.zst S4LRU(25:25:25:25) cache size   150114, 37307337 req, miss ratio 0.2101, byte miss ratio 0.2101
result/tencentBlock.ns5473.oracleGeneral.zst S4LRU(25:25:25:25) cache size   500382, 37307337 req, miss ratio 0.1882, byte miss ratio 0.1882
result/tencentBlock.ns5473.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1000765, 37307337 req, miss ratio 0.1636, byte miss ratio 0.1636
result/tencentBlock.ns5473.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2001530, 37307337 req, miss ratio 0.1450, byte miss ratio 0.1450
result/tencentBlock.ns5473.oracleGeneral.zst S4LRU(25:25:25:25) cache size  4003061, 37307337 req, miss ratio 0.1344, byte miss ratio 0.1344
result/tencentBlock.ns5473.oracleGeneral.zst TwoQ cache size     5003, 37307337 req, miss ratio 0.4495, byte miss ratio 0.4495
result/tencentBlock.ns5473.oracleGeneral.zst TwoQ cache size    15011, 37307337 req, miss ratio 0.3827, byte miss ratio 0.3827
result/tencentBlock.ns5473.oracleGeneral.zst TwoQ cache size    50038, 37307337 req, miss ratio 0.2239, byte miss ratio 0.2239
result/tencentBlock.ns5473.oracleGeneral.zst TwoQ cache size   150114, 37307337 req, miss ratio 0.2109, byte miss ratio 0.2109
result/tencentBlock.ns5473.oracleGeneral.zst TwoQ cache size   500382, 37307337 req, miss ratio 0.1930, byte miss ratio 0.1930
result/tencentBlock.ns5473.oracleGeneral.zst TwoQ cache size  1000765, 37307337 req, miss ratio 0.1643, byte miss ratio 0.1643
result/tencentBlock.ns5473.oracleGeneral.zst TwoQ cache size  2001530, 37307337 req, miss ratio 0.1411, byte miss ratio 0.1411
result/tencentBlock.ns5473.oracleGeneral.zst TwoQ cache size  4003061, 37307337 req, miss ratio 0.1356, byte miss ratio 0.1356
result/tencentBlock.ns5473.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5003, 37307337 req, miss ratio 0.4759, byte miss ratio 0.4759
result/tencentBlock.ns5473.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15011, 37307337 req, miss ratio 0.4294, byte miss ratio 0.4294
result/tencentBlock.ns5473.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    50038, 37307337 req, miss ratio 0.3234, byte miss ratio 0.3234
result/tencentBlock.ns5473.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   150114, 37307337 req, miss ratio 0.2215, byte miss ratio 0.2215
result/tencentBlock.ns5473.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   500382, 37307337 req, miss ratio 0.1933, byte miss ratio 0.1933
result/tencentBlock.ns5473.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1000765, 37307337 req, miss ratio 0.1686, byte miss ratio 0.1686
result/tencentBlock.ns5473.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2001530, 37307337 req, miss ratio 0.1420, byte miss ratio 0.1420
result/tencentBlock.ns5473.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  4003061, 37307337 req, miss ratio 0.1347, byte miss ratio 0.1347
result/tencentBlock.ns5473.oracleGeneral.zst B-LRU cache size     5003, 37307337 req, miss ratio 0.4905, byte miss ratio 0.4905
result/tencentBlock.ns5473.oracleGeneral.zst B-LRU cache size    15011, 37307337 req, miss ratio 0.4321, byte miss ratio 0.4321
result/tencentBlock.ns5473.oracleGeneral.zst B-LRU cache size    50038, 37307337 req, miss ratio 0.3076, byte miss ratio 0.3076
result/tencentBlock.ns5473.oracleGeneral.zst B-LRU cache size   150114, 37307337 req, miss ratio 0.2468, byte miss ratio 0.2468
result/tencentBlock.ns5473.oracleGeneral.zst B-LRU cache size   500382, 37307337 req, miss ratio 0.2234, byte miss ratio 0.2234
result/tencentBlock.ns5473.oracleGeneral.zst B-LRU cache size  1000765, 37307337 req, miss ratio 0.2059, byte miss ratio 0.2059
result/tencentBlock.ns5473.oracleGeneral.zst B-LRU cache size  2001530, 37307337 req, miss ratio 0.2033, byte miss ratio 0.2033
result/tencentBlock.ns5473.oracleGeneral.zst B-LRU cache size  4003061, 37307337 req, miss ratio 0.2032, byte miss ratio 0.2032
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO cache size     5003, 37307337 req, miss ratio 0.4528, byte miss ratio 0.4528
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO cache size    15011, 37307337 req, miss ratio 0.3915, byte miss ratio 0.3915
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO cache size    50038, 37307337 req, miss ratio 0.2221, byte miss ratio 0.2221
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO cache size   150114, 37307337 req, miss ratio 0.2101, byte miss ratio 0.2101
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO cache size   500382, 37307337 req, miss ratio 0.1872, byte miss ratio 0.1872
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO cache size  1000765, 37307337 req, miss ratio 0.1638, byte miss ratio 0.1638
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO cache size  2001530, 37307337 req, miss ratio 0.1415, byte miss ratio 0.1415
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO cache size  4003061, 37307337 req, miss ratio 0.1342, byte miss ratio 0.1342
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d cache size     5003, 37307337 req, miss ratio 0.4511, byte miss ratio 0.4511
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d cache size    15011, 37307337 req, miss ratio 0.3950, byte miss ratio 0.3950
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d cache size    50038, 37307337 req, miss ratio 0.2231, byte miss ratio 0.2231
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d cache size   150114, 37307337 req, miss ratio 0.2098, byte miss ratio 0.2098
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d cache size   500382, 37307337 req, miss ratio 0.1847, byte miss ratio 0.1847
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d cache size  1000765, 37307337 req, miss ratio 0.1646, byte miss ratio 0.1646
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d cache size  2001530, 37307337 req, miss ratio 0.1415, byte miss ratio 0.1415
result/tencentBlock.ns5473.oracleGeneral.zst S3FIFO-d cache size  4003061, 37307337 req, miss ratio 0.1342, byte miss ratio 0.1342
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5003, 37307337 req, miss ratio 0.4864, byte miss ratio 0.4864
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15011, 37307337 req, miss ratio 0.3942, byte miss ratio 0.3942
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    50038, 37307337 req, miss ratio 0.2302, byte miss ratio 0.2302
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   150114, 37307337 req, miss ratio 0.2179, byte miss ratio 0.2179
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   500382, 37307337 req, miss ratio 0.1954, byte miss ratio 0.1954
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1000765, 37307337 req, miss ratio 0.1792, byte miss ratio 0.1792
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2001530, 37307337 req, miss ratio 0.1578, byte miss ratio 0.1578
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  4003061, 37307337 req, miss ratio 0.1376, byte miss ratio 0.1376
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5003, 37307337 req, miss ratio 0.4543, byte miss ratio 0.4543
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15011, 37307337 req, miss ratio 0.4189, byte miss ratio 0.4189
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    50038, 37307337 req, miss ratio 0.2306, byte miss ratio 0.2306
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   150114, 37307337 req, miss ratio 0.2139, byte miss ratio 0.2139
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   500382, 37307337 req, miss ratio 0.1925, byte miss ratio 0.1925
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1000765, 37307337 req, miss ratio 0.1774, byte miss ratio 0.1774
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2001530, 37307337 req, miss ratio 0.1523, byte miss ratio 0.1523
result/tencentBlock.ns5473.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  4003061, 37307337 req, miss ratio 0.1356, byte miss ratio 0.1356
