result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Cacheus cache size     2455, 152732993 req, miss ratio 0.2471, byte miss ratio 0.2471
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Cacheus cache size     8186, 152732993 req, miss ratio 0.1379, byte miss ratio 0.1379
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Cacheus cache size    24558, 152732993 req, miss ratio 0.0838, byte miss ratio 0.0838
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Cacheus cache size    81862, 152732993 req, miss ratio 0.0377, byte miss ratio 0.0377
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Cacheus cache size   163725, 152732993 req, miss ratio 0.0227, byte miss ratio 0.0227
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Cacheus cache size   327450, 152732993 req, miss ratio 0.0102, byte miss ratio 0.0102
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst Cacheus cache size   654900, 152732993 req, miss ratio 0.0055, byte miss ratio 0.0055
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst clock2 cache size      818, 152732993 req, miss ratio 0.3200, byte miss ratio 0.3200
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst clock2 cache size     2455, 152732993 req, miss ratio 0.2515, byte miss ratio 0.2515
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst clock2 cache size     8186, 152732993 req, miss ratio 0.1372, byte miss ratio 0.1372
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst clock2 cache size    24558, 152732993 req, miss ratio 0.0779, byte miss ratio 0.0779
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst clock2 cache size    81862, 152732993 req, miss ratio 0.0372, byte miss ratio 0.0372
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst clock2 cache size   163725, 152732993 req, miss ratio 0.0225, byte miss ratio 0.0225
result/notificationservice_api_prod1_cache.1.oracleGeneral.sample10.zst clock2 cache size   327450, 152732993 req, miss ratio 0.0108, byte miss ratio 0.0108
