result/cdn2_colo28.ns70.oracleGeneral.zst S4LRU(25:25:25:25) cache size  6981190, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S4LRU(25:25:25:25) cache size 13962380, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst TwoQ cache size    17452, 24163184 req, miss ratio 0.7229, byte miss ratio 0.7229
result/cdn2_colo28.ns70.oracleGeneral.zst TwoQ cache size    52358, 24163184 req, miss ratio 0.7227, byte miss ratio 0.7227
result/cdn2_colo28.ns70.oracleGeneral.zst TwoQ cache size   174529, 24163184 req, miss ratio 0.7226, byte miss ratio 0.7226
result/cdn2_colo28.ns70.oracleGeneral.zst TwoQ cache size   523589, 24163184 req, miss ratio 0.7225, byte miss ratio 0.7225
result/cdn2_colo28.ns70.oracleGeneral.zst TwoQ cache size  1745297, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst TwoQ cache size  3490595, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst TwoQ cache size  6981190, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst TwoQ cache size 13962380, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst B-LRU cache size    17452, 24163184 req, miss ratio 0.7241, byte miss ratio 0.7241
result/cdn2_colo28.ns70.oracleGeneral.zst B-LRU cache size    52358, 24163184 req, miss ratio 0.7241, byte miss ratio 0.7241
result/cdn2_colo28.ns70.oracleGeneral.zst B-LRU cache size   174529, 24163184 req, miss ratio 0.7241, byte miss ratio 0.7241
result/cdn2_colo28.ns70.oracleGeneral.zst B-LRU cache size   523589, 24163184 req, miss ratio 0.7241, byte miss ratio 0.7241
result/cdn2_colo28.ns70.oracleGeneral.zst B-LRU cache size  1745297, 24163184 req, miss ratio 0.7241, byte miss ratio 0.7241
result/cdn2_colo28.ns70.oracleGeneral.zst B-LRU cache size  3490595, 24163184 req, miss ratio 0.7241, byte miss ratio 0.7241
result/cdn2_colo28.ns70.oracleGeneral.zst B-LRU cache size  6981190, 24163184 req, miss ratio 0.7241, byte miss ratio 0.7241
result/cdn2_colo28.ns70.oracleGeneral.zst B-LRU cache size 13962380, 24163184 req, miss ratio 0.7241, byte miss ratio 0.7241
result/cdn2_colo28.ns70.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17452, 24163184 req, miss ratio 0.7257, byte miss ratio 0.7257
result/cdn2_colo28.ns70.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    52358, 24163184 req, miss ratio 0.7236, byte miss ratio 0.7236
result/cdn2_colo28.ns70.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   174529, 24163184 req, miss ratio 0.7227, byte miss ratio 0.7227
result/cdn2_colo28.ns70.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   523589, 24163184 req, miss ratio 0.7225, byte miss ratio 0.7225
result/cdn2_colo28.ns70.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1745297, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3490595, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  6981190, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 13962380, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d cache size    17452, 24163184 req, miss ratio 0.7227, byte miss ratio 0.7227
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d cache size    52358, 24163184 req, miss ratio 0.7226, byte miss ratio 0.7226
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d cache size   174529, 24163184 req, miss ratio 0.7225, byte miss ratio 0.7225
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d cache size   523589, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d cache size  1745297, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d cache size  3490595, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d cache size  6981190, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO-d cache size 13962380, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO cache size    17452, 24163184 req, miss ratio 0.7227, byte miss ratio 0.7227
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO cache size    52358, 24163184 req, miss ratio 0.7226, byte miss ratio 0.7226
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO cache size   174529, 24163184 req, miss ratio 0.7225, byte miss ratio 0.7225
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO cache size   523589, 24163184 req, miss ratio 0.7224, byte miss ratio 0.7224
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO cache size  1745297, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO cache size  3490595, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO cache size  6981190, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst S3FIFO cache size 13962380, 24163184 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_colo28.ns70.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17452, 24163184 req, miss ratio 0.7242, byte miss ratio 0.7242
