result/tencentBlock.ns5268.oracleGeneral.zst LeCaR cache size    33709, 4867334 req, miss ratio 0.1223, byte miss ratio 0.1223
result/tencentBlock.ns5268.oracleGeneral.zst LeCaR cache size    67418, 4867334 req, miss ratio 0.0760, byte miss ratio 0.0760
result/tencentBlock.ns5268.oracleGeneral.zst LeCaR cache size   134836, 4867334 req, miss ratio 0.0351, byte miss ratio 0.0351
result/tencentBlock.ns5268.oracleGeneral.zst LHD cache size      168, 4867334 req, miss ratio 0.4354, byte miss ratio 0.4354
result/tencentBlock.ns5268.oracleGeneral.zst LHD cache size      505, 4867334 req, miss ratio 0.3519, byte miss ratio 0.3519
result/tencentBlock.ns5268.oracleGeneral.zst LHD cache size     1685, 4867334 req, miss ratio 0.2830, byte miss ratio 0.2830
result/tencentBlock.ns5268.oracleGeneral.zst LHD cache size     5056, 4867334 req, miss ratio 0.2152, byte miss ratio 0.2152
result/tencentBlock.ns5268.oracleGeneral.zst LHD cache size    16854, 4867334 req, miss ratio 0.1392, byte miss ratio 0.1392
result/tencentBlock.ns5268.oracleGeneral.zst LHD cache size    33709, 4867334 req, miss ratio 0.1147, byte miss ratio 0.1147
result/tencentBlock.ns5268.oracleGeneral.zst LHD cache size    67418, 4867334 req, miss ratio 0.0743, byte miss ratio 0.0743
result/tencentBlock.ns5268.oracleGeneral.zst LHD cache size   134836, 4867334 req, miss ratio 0.0357, byte miss ratio 0.0357
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d-1 cache size      168, 4867334 req, miss ratio 0.4234, byte miss ratio 0.4234
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d-1 cache size      505, 4867334 req, miss ratio 0.3253, byte miss ratio 0.3253
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d-1 cache size     1685, 4867334 req, miss ratio 0.2622, byte miss ratio 0.2622
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d-1 cache size     5056, 4867334 req, miss ratio 0.1849, byte miss ratio 0.1849
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d-1 cache size    16854, 4867334 req, miss ratio 0.1327, byte miss ratio 0.1327
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d-1 cache size    33709, 4867334 req, miss ratio 0.1174, byte miss ratio 0.1174
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d-1 cache size    67418, 4867334 req, miss ratio 0.0764, byte miss ratio 0.0764
result/tencentBlock.ns5268.oracleGeneral.zst S3FIFO-d-1 cache size   134836, 4867334 req, miss ratio 0.0355, byte miss ratio 0.0355
result/tencentBlock.ns5268.oracleGeneral.zst LRB cache size      168, 4867334 req, miss ratio 0.4667, byte miss ratio 0.4667
result/tencentBlock.ns5268.oracleGeneral.zst LRB cache size      505, 4867334 req, miss ratio 0.3320, byte miss ratio 0.3320
result/tencentBlock.ns5268.oracleGeneral.zst LRB cache size     1685, 4867334 req, miss ratio 0.2639, byte miss ratio 0.2639
result/tencentBlock.ns5268.oracleGeneral.zst LRB cache size     5056, 4867334 req, miss ratio 0.1902, byte miss ratio 0.1902
result/tencentBlock.ns5268.oracleGeneral.zst LRB cache size    16854, 4867334 req, miss ratio 0.1354, byte miss ratio 0.1354
result/tencentBlock.ns5268.oracleGeneral.zst LRB cache size    33709, 4867334 req, miss ratio 0.1104, byte miss ratio 0.1104
result/tencentBlock.ns5268.oracleGeneral.zst LRB cache size    67418, 4867334 req, miss ratio 0.0688, byte miss ratio 0.0688
