result/cdn2_allcolo.ns3273.oracleGeneral.zst clock2 cache size     2277, 2345499 req, miss ratio 0.3295, byte miss ratio 0.3295
result/cdn2_allcolo.ns3273.oracleGeneral.zst clock2 cache size     7592, 2345499 req, miss ratio 0.3277, byte miss ratio 0.3277
result/cdn2_allcolo.ns3273.oracleGeneral.zst clock2 cache size    22776, 2345499 req, miss ratio 0.3262, byte miss ratio 0.3262
result/cdn2_allcolo.ns3273.oracleGeneral.zst clock2 cache size    75921, 2345499 req, miss ratio 0.3244, byte miss ratio 0.3244
result/cdn2_allcolo.ns3273.oracleGeneral.zst clock2 cache size   151842, 2345499 req, miss ratio 0.3239, byte miss ratio 0.3239
result/cdn2_allcolo.ns3273.oracleGeneral.zst clock2 cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst clock2 cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst LeCaR cache size      759, 2345499 req, miss ratio 0.3338, byte miss ratio 0.3338
result/cdn2_allcolo.ns3273.oracleGeneral.zst LeCaR cache size     2277, 2345499 req, miss ratio 0.3298, byte miss ratio 0.3298
result/cdn2_allcolo.ns3273.oracleGeneral.zst LeCaR cache size     7592, 2345499 req, miss ratio 0.3280, byte miss ratio 0.3280
result/cdn2_allcolo.ns3273.oracleGeneral.zst LeCaR cache size    22776, 2345499 req, miss ratio 0.3263, byte miss ratio 0.3263
result/cdn2_allcolo.ns3273.oracleGeneral.zst LeCaR cache size    75921, 2345499 req, miss ratio 0.3246, byte miss ratio 0.3246
result/cdn2_allcolo.ns3273.oracleGeneral.zst LeCaR cache size   151842, 2345499 req, miss ratio 0.3240, byte miss ratio 0.3240
result/cdn2_allcolo.ns3273.oracleGeneral.zst LeCaR cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst LeCaR cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d-1 cache size      759, 2345499 req, miss ratio 0.3305, byte miss ratio 0.3305
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d-1 cache size     2277, 2345499 req, miss ratio 0.3281, byte miss ratio 0.3281
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d-1 cache size     7592, 2345499 req, miss ratio 0.3263, byte miss ratio 0.3263
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d-1 cache size    22776, 2345499 req, miss ratio 0.3255, byte miss ratio 0.3255
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d-1 cache size    75921, 2345499 req, miss ratio 0.3245, byte miss ratio 0.3245
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d-1 cache size   151842, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d-1 cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d-1 cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRB cache size      759, 2345499 req, miss ratio 0.3350, byte miss ratio 0.3350
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRB cache size     2277, 2345499 req, miss ratio 0.3305, byte miss ratio 0.3305
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRB cache size     7592, 2345499 req, miss ratio 0.3283, byte miss ratio 0.3283
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRB cache size    22776, 2345499 req, miss ratio 0.3268, byte miss ratio 0.3268
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRB cache size    75921, 2345499 req, miss ratio 0.3247, byte miss ratio 0.3247
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRB cache size   151842, 2345499 req, miss ratio 0.3241, byte miss ratio 0.3241
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRB cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst LRB cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst TwoQ cache size      759, 2345499 req, miss ratio 0.3303, byte miss ratio 0.3303
result/cdn2_allcolo.ns3273.oracleGeneral.zst TwoQ cache size     2277, 2345499 req, miss ratio 0.3275, byte miss ratio 0.3275
result/cdn2_allcolo.ns3273.oracleGeneral.zst TwoQ cache size     7592, 2345499 req, miss ratio 0.3267, byte miss ratio 0.3267
result/cdn2_allcolo.ns3273.oracleGeneral.zst TwoQ cache size    22776, 2345499 req, miss ratio 0.3260, byte miss ratio 0.3260
result/cdn2_allcolo.ns3273.oracleGeneral.zst TwoQ cache size    75921, 2345499 req, miss ratio 0.3246, byte miss ratio 0.3246
result/cdn2_allcolo.ns3273.oracleGeneral.zst TwoQ cache size   151842, 2345499 req, miss ratio 0.3242, byte miss ratio 0.3242
result/cdn2_allcolo.ns3273.oracleGeneral.zst TwoQ cache size   303685, 2345499 req, miss ratio 0.3241, byte miss ratio 0.3241
result/cdn2_allcolo.ns3273.oracleGeneral.zst TwoQ cache size   607370, 2345499 req, miss ratio 0.3239, byte miss ratio 0.3239
result/cdn2_allcolo.ns3273.oracleGeneral.zst B-LRU cache size      759, 2345499 req, miss ratio 0.3445, byte miss ratio 0.3445
result/cdn2_allcolo.ns3273.oracleGeneral.zst B-LRU cache size     2277, 2345499 req, miss ratio 0.3433, byte miss ratio 0.3433
result/cdn2_allcolo.ns3273.oracleGeneral.zst B-LRU cache size     7592, 2345499 req, miss ratio 0.3423, byte miss ratio 0.3423
result/cdn2_allcolo.ns3273.oracleGeneral.zst B-LRU cache size    22776, 2345499 req, miss ratio 0.3420, byte miss ratio 0.3420
result/cdn2_allcolo.ns3273.oracleGeneral.zst B-LRU cache size    75921, 2345499 req, miss ratio 0.3419, byte miss ratio 0.3419
result/cdn2_allcolo.ns3273.oracleGeneral.zst B-LRU cache size   151842, 2345499 req, miss ratio 0.3419, byte miss ratio 0.3419
result/cdn2_allcolo.ns3273.oracleGeneral.zst B-LRU cache size   303685, 2345499 req, miss ratio 0.3419, byte miss ratio 0.3419
result/cdn2_allcolo.ns3273.oracleGeneral.zst B-LRU cache size   607370, 2345499 req, miss ratio 0.3419, byte miss ratio 0.3419
result/cdn2_allcolo.ns3273.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      759, 2345499 req, miss ratio 0.3337, byte miss ratio 0.3337
result/cdn2_allcolo.ns3273.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2277, 2345499 req, miss ratio 0.3299, byte miss ratio 0.3299
result/cdn2_allcolo.ns3273.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7592, 2345499 req, miss ratio 0.3277, byte miss ratio 0.3277
result/cdn2_allcolo.ns3273.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22776, 2345499 req, miss ratio 0.3260, byte miss ratio 0.3260
result/cdn2_allcolo.ns3273.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    75921, 2345499 req, miss ratio 0.3248, byte miss ratio 0.3248
result/cdn2_allcolo.ns3273.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   151842, 2345499 req, miss ratio 0.3241, byte miss ratio 0.3241
result/cdn2_allcolo.ns3273.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst S4LRU(25:25:25:25) cache size      759, 2345499 req, miss ratio 0.3323, byte miss ratio 0.3323
result/cdn2_allcolo.ns3273.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2277, 2345499 req, miss ratio 0.3283, byte miss ratio 0.3283
result/cdn2_allcolo.ns3273.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7592, 2345499 req, miss ratio 0.3264, byte miss ratio 0.3264
result/cdn2_allcolo.ns3273.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22776, 2345499 req, miss ratio 0.3257, byte miss ratio 0.3257
result/cdn2_allcolo.ns3273.oracleGeneral.zst S4LRU(25:25:25:25) cache size    75921, 2345499 req, miss ratio 0.3251, byte miss ratio 0.3251
result/cdn2_allcolo.ns3273.oracleGeneral.zst S4LRU(25:25:25:25) cache size   151842, 2345499 req, miss ratio 0.3246, byte miss ratio 0.3246
result/cdn2_allcolo.ns3273.oracleGeneral.zst S4LRU(25:25:25:25) cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst S4LRU(25:25:25:25) cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO cache size      759, 2345499 req, miss ratio 0.3307, byte miss ratio 0.3307
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO cache size     2277, 2345499 req, miss ratio 0.3280, byte miss ratio 0.3280
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO cache size     7592, 2345499 req, miss ratio 0.3265, byte miss ratio 0.3265
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO cache size    22776, 2345499 req, miss ratio 0.3256, byte miss ratio 0.3256
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO cache size    75921, 2345499 req, miss ratio 0.3244, byte miss ratio 0.3244
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO cache size   151842, 2345499 req, miss ratio 0.3239, byte miss ratio 0.3239
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d cache size      759, 2345499 req, miss ratio 0.3303, byte miss ratio 0.3303
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d cache size     2277, 2345499 req, miss ratio 0.3279, byte miss ratio 0.3279
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d cache size     7592, 2345499 req, miss ratio 0.3265, byte miss ratio 0.3265
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d cache size    22776, 2345499 req, miss ratio 0.3256, byte miss ratio 0.3256
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d cache size    75921, 2345499 req, miss ratio 0.3244, byte miss ratio 0.3244
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d cache size   151842, 2345499 req, miss ratio 0.3239, byte miss ratio 0.3239
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d cache size   303685, 2345499 req, miss ratio 0.3238, byte miss ratio 0.3238
result/cdn2_allcolo.ns3273.oracleGeneral.zst S3FIFO-d cache size   607370, 2345499 req, miss ratio 0.3237, byte miss ratio 0.3237
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      759, 2345499 req, miss ratio 0.3355, byte miss ratio 0.3355
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2277, 2345499 req, miss ratio 0.3332, byte miss ratio 0.3332
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7592, 2345499 req, miss ratio 0.3307, byte miss ratio 0.3307
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22776, 2345499 req, miss ratio 0.3281, byte miss ratio 0.3281
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    75921, 2345499 req, miss ratio 0.3263, byte miss ratio 0.3263
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   151842, 2345499 req, miss ratio 0.3255, byte miss ratio 0.3255
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   303685, 2345499 req, miss ratio 0.3248, byte miss ratio 0.3248
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   607370, 2345499 req, miss ratio 0.3240, byte miss ratio 0.3240
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      759, 2345499 req, miss ratio 0.3327, byte miss ratio 0.3327
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2277, 2345499 req, miss ratio 0.3301, byte miss ratio 0.3301
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7592, 2345499 req, miss ratio 0.3278, byte miss ratio 0.3278
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22776, 2345499 req, miss ratio 0.3264, byte miss ratio 0.3264
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    75921, 2345499 req, miss ratio 0.3257, byte miss ratio 0.3257
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   151842, 2345499 req, miss ratio 0.3252, byte miss ratio 0.3252
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   303685, 2345499 req, miss ratio 0.3247, byte miss ratio 0.3247
result/cdn2_allcolo.ns3273.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   607370, 2345499 req, miss ratio 0.3239, byte miss ratio 0.3239
