result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10874, 1880174 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21748, 1880174 req, miss ratio 0.0147, byte miss ratio 0.0147
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       27, 1880174 req, miss ratio 0.0834, byte miss ratio 0.0834
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       81, 1880174 req, miss ratio 0.0330, byte miss ratio 0.0330
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      271, 1880174 req, miss ratio 0.0206, byte miss ratio 0.0206
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      815, 1880174 req, miss ratio 0.0173, byte miss ratio 0.0173
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2718, 1880174 req, miss ratio 0.0162, byte miss ratio 0.0162
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5437, 1880174 req, miss ratio 0.0155, byte miss ratio 0.0155
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10874, 1880174 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns493.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21748, 1880174 req, miss ratio 0.0146, byte miss ratio 0.0146
