result/cdn2_colo28.ns1129.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2896, 1206240 req, miss ratio 0.8062, byte miss ratio 0.8062
result/cdn2_colo28.ns1129.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9653, 1206240 req, miss ratio 0.8057, byte miss ratio 0.8057
result/cdn2_colo28.ns1129.oracleGeneral.zst S4LRU(25:25:25:25) cache size    28961, 1206240 req, miss ratio 0.8051, byte miss ratio 0.8051
result/cdn2_colo28.ns1129.oracleGeneral.zst S4LRU(25:25:25:25) cache size    96539, 1206240 req, miss ratio 0.8042, byte miss ratio 0.8042
result/cdn2_colo28.ns1129.oracleGeneral.zst S4LRU(25:25:25:25) cache size   193079, 1206240 req, miss ratio 0.8034, byte miss ratio 0.8034
result/cdn2_colo28.ns1129.oracleGeneral.zst S4LRU(25:25:25:25) cache size   386158, 1206240 req, miss ratio 0.8020, byte miss ratio 0.8020
result/cdn2_colo28.ns1129.oracleGeneral.zst S4LRU(25:25:25:25) cache size   772316, 1206240 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn2_colo28.ns1129.oracleGeneral.zst TwoQ cache size      965, 1206240 req, miss ratio 0.8063, byte miss ratio 0.8063
result/cdn2_colo28.ns1129.oracleGeneral.zst TwoQ cache size     2896, 1206240 req, miss ratio 0.8058, byte miss ratio 0.8058
result/cdn2_colo28.ns1129.oracleGeneral.zst TwoQ cache size     9653, 1206240 req, miss ratio 0.8052, byte miss ratio 0.8052
result/cdn2_colo28.ns1129.oracleGeneral.zst TwoQ cache size    28961, 1206240 req, miss ratio 0.8047, byte miss ratio 0.8047
result/cdn2_colo28.ns1129.oracleGeneral.zst TwoQ cache size    96539, 1206240 req, miss ratio 0.8040, byte miss ratio 0.8040
result/cdn2_colo28.ns1129.oracleGeneral.zst TwoQ cache size   193079, 1206240 req, miss ratio 0.8018, byte miss ratio 0.8018
result/cdn2_colo28.ns1129.oracleGeneral.zst TwoQ cache size   386158, 1206240 req, miss ratio 0.8007, byte miss ratio 0.8007
result/cdn2_colo28.ns1129.oracleGeneral.zst TwoQ cache size   772316, 1206240 req, miss ratio 0.8004, byte miss ratio 0.8004
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      965, 1206240 req, miss ratio 0.8064, byte miss ratio 0.8064
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2896, 1206240 req, miss ratio 0.8060, byte miss ratio 0.8060
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9653, 1206240 req, miss ratio 0.8054, byte miss ratio 0.8054
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    28961, 1206240 req, miss ratio 0.8048, byte miss ratio 0.8048
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    96539, 1206240 req, miss ratio 0.8037, byte miss ratio 0.8037
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   193079, 1206240 req, miss ratio 0.8027, byte miss ratio 0.8027
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   386158, 1206240 req, miss ratio 0.8008, byte miss ratio 0.8008
result/cdn2_colo28.ns1129.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   772316, 1206240 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn2_colo28.ns1129.oracleGeneral.zst B-LRU cache size      965, 1206240 req, miss ratio 0.8155, byte miss ratio 0.8155
result/cdn2_colo28.ns1129.oracleGeneral.zst B-LRU cache size     2896, 1206240 req, miss ratio 0.8153, byte miss ratio 0.8153
result/cdn2_colo28.ns1129.oracleGeneral.zst B-LRU cache size     9653, 1206240 req, miss ratio 0.8152, byte miss ratio 0.8152
result/cdn2_colo28.ns1129.oracleGeneral.zst B-LRU cache size    28961, 1206240 req, miss ratio 0.8152, byte miss ratio 0.8152
result/cdn2_colo28.ns1129.oracleGeneral.zst B-LRU cache size    96539, 1206240 req, miss ratio 0.8152, byte miss ratio 0.8152
result/cdn2_colo28.ns1129.oracleGeneral.zst B-LRU cache size   193079, 1206240 req, miss ratio 0.8152, byte miss ratio 0.8152
result/cdn2_colo28.ns1129.oracleGeneral.zst B-LRU cache size   386158, 1206240 req, miss ratio 0.8152, byte miss ratio 0.8152
result/cdn2_colo28.ns1129.oracleGeneral.zst B-LRU cache size   772316, 1206240 req, miss ratio 0.8152, byte miss ratio 0.8152
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO cache size      965, 1206240 req, miss ratio 0.8068, byte miss ratio 0.8068
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO cache size     2896, 1206240 req, miss ratio 0.8058, byte miss ratio 0.8058
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO cache size     9653, 1206240 req, miss ratio 0.8052, byte miss ratio 0.8052
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO cache size    28961, 1206240 req, miss ratio 0.8047, byte miss ratio 0.8047
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO cache size    96539, 1206240 req, miss ratio 0.8039, byte miss ratio 0.8039
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO cache size   193079, 1206240 req, miss ratio 0.8018, byte miss ratio 0.8018
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO cache size   386158, 1206240 req, miss ratio 0.8007, byte miss ratio 0.8007
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO cache size   772316, 1206240 req, miss ratio 0.8003, byte miss ratio 0.8003
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-d cache size      965, 1206240 req, miss ratio 0.8068, byte miss ratio 0.8068
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-d cache size     2896, 1206240 req, miss ratio 0.8058, byte miss ratio 0.8058
result/cdn2_colo28.ns1129.oracleGeneral.zst S3FIFO-d cache size     9653, 1206240 req, miss ratio 0.8052, byte miss ratio 0.8052
