result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      634, 21901362 req, miss ratio 0.0744, byte miss ratio 0.0744
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1902, 21901362 req, miss ratio 0.0553, byte miss ratio 0.0553
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6340, 21901362 req, miss ratio 0.0396, byte miss ratio 0.0396
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19022, 21901362 req, miss ratio 0.0325, byte miss ratio 0.0325
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    63409, 21901362 req, miss ratio 0.0299, byte miss ratio 0.0299
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   126819, 21901362 req, miss ratio 0.0293, byte miss ratio 0.0293
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst TwoQ cache size      634, 21901362 req, miss ratio 0.0700, byte miss ratio 0.0700
result/cdn2_allcolo.ns431.oracleGeneral.zst TwoQ cache size     1902, 21901362 req, miss ratio 0.0525, byte miss ratio 0.0525
result/cdn2_allcolo.ns431.oracleGeneral.zst TwoQ cache size     6340, 21901362 req, miss ratio 0.0404, byte miss ratio 0.0404
result/cdn2_allcolo.ns431.oracleGeneral.zst TwoQ cache size    19022, 21901362 req, miss ratio 0.0293, byte miss ratio 0.0293
result/cdn2_allcolo.ns431.oracleGeneral.zst TwoQ cache size    63409, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst TwoQ cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst TwoQ cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst TwoQ cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst B-LRU cache size      634, 21901362 req, miss ratio 0.0745, byte miss ratio 0.0745
result/cdn2_allcolo.ns431.oracleGeneral.zst B-LRU cache size     1902, 21901362 req, miss ratio 0.0575, byte miss ratio 0.0575
result/cdn2_allcolo.ns431.oracleGeneral.zst B-LRU cache size     6340, 21901362 req, miss ratio 0.0481, byte miss ratio 0.0481
result/cdn2_allcolo.ns431.oracleGeneral.zst B-LRU cache size    19022, 21901362 req, miss ratio 0.0475, byte miss ratio 0.0475
result/cdn2_allcolo.ns431.oracleGeneral.zst B-LRU cache size    63409, 21901362 req, miss ratio 0.0474, byte miss ratio 0.0474
result/cdn2_allcolo.ns431.oracleGeneral.zst B-LRU cache size   126819, 21901362 req, miss ratio 0.0474, byte miss ratio 0.0474
result/cdn2_allcolo.ns431.oracleGeneral.zst B-LRU cache size   253639, 21901362 req, miss ratio 0.0474, byte miss ratio 0.0474
result/cdn2_allcolo.ns431.oracleGeneral.zst B-LRU cache size   507279, 21901362 req, miss ratio 0.0474, byte miss ratio 0.0474
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO cache size      634, 21901362 req, miss ratio 0.0705, byte miss ratio 0.0705
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO cache size     1902, 21901362 req, miss ratio 0.0528, byte miss ratio 0.0528
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO cache size     6340, 21901362 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO cache size    19022, 21901362 req, miss ratio 0.0352, byte miss ratio 0.0352
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO cache size    63409, 21901362 req, miss ratio 0.0297, byte miss ratio 0.0297
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d cache size      634, 21901362 req, miss ratio 0.0687, byte miss ratio 0.0687
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d cache size     1902, 21901362 req, miss ratio 0.0513, byte miss ratio 0.0513
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d cache size     6340, 21901362 req, miss ratio 0.0355, byte miss ratio 0.0355
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d cache size    19022, 21901362 req, miss ratio 0.0309, byte miss ratio 0.0309
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d cache size    63409, 21901362 req, miss ratio 0.0294, byte miss ratio 0.0294
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d cache size   126819, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d cache size   253639, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst S3FIFO-d cache size   507279, 21901362 req, miss ratio 0.0290, byte miss ratio 0.0290
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      634, 21901362 req, miss ratio 0.0832, byte miss ratio 0.0832
result/cdn2_allcolo.ns431.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1902, 21901362 req, miss ratio 0.0728, byte miss ratio 0.0728
