result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    21457, 28647511 req, miss ratio 0.0755, byte miss ratio 0.0755
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    71524, 28647511 req, miss ratio 0.0455, byte miss ratio 0.0455
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   143048, 28647511 req, miss ratio 0.0332, byte miss ratio 0.0332
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   286097, 28647511 req, miss ratio 0.0274, byte miss ratio 0.0274
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   572194, 28647511 req, miss ratio 0.0253, byte miss ratio 0.0253
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      715, 28647511 req, miss ratio 0.3142, byte miss ratio 0.3142
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     2145, 28647511 req, miss ratio 0.1960, byte miss ratio 0.1960
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     7152, 28647511 req, miss ratio 0.1220, byte miss ratio 0.1220
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    21457, 28647511 req, miss ratio 0.0755, byte miss ratio 0.0755
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    71524, 28647511 req, miss ratio 0.0456, byte miss ratio 0.0456
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   143048, 28647511 req, miss ratio 0.0335, byte miss ratio 0.0335
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   286097, 28647511 req, miss ratio 0.0274, byte miss ratio 0.0274
result/user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   572194, 28647511 req, miss ratio 0.0253, byte miss ratio 0.0253
result/user_activity_cache.1.oracleGeneral.sample10.zst LRB cache size      715, 28647511 req, miss ratio 0.2845, byte miss ratio 0.2845
result/user_activity_cache.1.oracleGeneral.sample10.zst LRB cache size     2145, 28647511 req, miss ratio 0.1913, byte miss ratio 0.1913
result/user_activity_cache.1.oracleGeneral.sample10.zst LRB cache size     7152, 28647511 req, miss ratio 0.1172, byte miss ratio 0.1172
result/user_activity_cache.1.oracleGeneral.sample10.zst LRB cache size    21457, 28647511 req, miss ratio 0.0745, byte miss ratio 0.0745
result/user_activity_cache.1.oracleGeneral.sample10.zst LRB cache size    71524, 28647511 req, miss ratio 0.0487, byte miss ratio 0.0487
result/user_activity_cache.1.oracleGeneral.sample10.zst LRB cache size   143048, 28647511 req, miss ratio 0.0364, byte miss ratio 0.0364
result/user_activity_cache.1.oracleGeneral.sample10.zst LRB cache size   286097, 28647511 req, miss ratio 0.0282, byte miss ratio 0.0282
result/user_activity_cache.1.oracleGeneral.sample10.zst LRB cache size   572194, 28647511 req, miss ratio 0.0257, byte miss ratio 0.0257
result/user_activity_cache.1.oracleGeneral.sample10.zst B-LRU cache size      715, 28647511 req, miss ratio 0.4140, byte miss ratio 0.4140
result/user_activity_cache.1.oracleGeneral.sample10.zst B-LRU cache size     2145, 28647511 req, miss ratio 0.2344, byte miss ratio 0.2344
result/user_activity_cache.1.oracleGeneral.sample10.zst B-LRU cache size     7152, 28647511 req, miss ratio 0.1504, byte miss ratio 0.1504
result/user_activity_cache.1.oracleGeneral.sample10.zst B-LRU cache size    21457, 28647511 req, miss ratio 0.1003, byte miss ratio 0.1003
result/user_activity_cache.1.oracleGeneral.sample10.zst B-LRU cache size    71524, 28647511 req, miss ratio 0.0674, byte miss ratio 0.0674
result/user_activity_cache.1.oracleGeneral.sample10.zst B-LRU cache size   143048, 28647511 req, miss ratio 0.0551, byte miss ratio 0.0551
result/user_activity_cache.1.oracleGeneral.sample10.zst B-LRU cache size   286097, 28647511 req, miss ratio 0.0488, byte miss ratio 0.0488
result/user_activity_cache.1.oracleGeneral.sample10.zst B-LRU cache size   572194, 28647511 req, miss ratio 0.0474, byte miss ratio 0.0474
result/user_activity_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      715, 28647511 req, miss ratio 0.3256, byte miss ratio 0.3256
result/user_activity_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     2145, 28647511 req, miss ratio 0.2047, byte miss ratio 0.2047
result/user_activity_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     7152, 28647511 req, miss ratio 0.1248, byte miss ratio 0.1248
result/user_activity_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    21457, 28647511 req, miss ratio 0.0770, byte miss ratio 0.0770
result/user_activity_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    71524, 28647511 req, miss ratio 0.0459, byte miss ratio 0.0459
result/user_activity_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   143048, 28647511 req, miss ratio 0.0338, byte miss ratio 0.0338
result/user_activity_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   286097, 28647511 req, miss ratio 0.0268, byte miss ratio 0.0268
result/user_activity_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   572194, 28647511 req, miss ratio 0.0251, byte miss ratio 0.0251
result/user_activity_cache.1.oracleGeneral.sample10.zst TwoQ cache size      715, 28647511 req, miss ratio 0.3023, byte miss ratio 0.3023
result/user_activity_cache.1.oracleGeneral.sample10.zst TwoQ cache size     2145, 28647511 req, miss ratio 0.1927, byte miss ratio 0.1927
result/user_activity_cache.1.oracleGeneral.sample10.zst TwoQ cache size     7152, 28647511 req, miss ratio 0.1214, byte miss ratio 0.1214
result/user_activity_cache.1.oracleGeneral.sample10.zst TwoQ cache size    21457, 28647511 req, miss ratio 0.0758, byte miss ratio 0.0758
result/user_activity_cache.1.oracleGeneral.sample10.zst TwoQ cache size    71524, 28647511 req, miss ratio 0.0470, byte miss ratio 0.0470
result/user_activity_cache.1.oracleGeneral.sample10.zst TwoQ cache size   143048, 28647511 req, miss ratio 0.0348, byte miss ratio 0.0348
