result/strato_negative_result_cache.0.oracleGeneral.sample10.zst FIFO cache size  4516001, 507257408 req, miss ratio 0.0123, byte miss ratio 0.0123
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     5645, 507257408 req, miss ratio 0.2503, byte miss ratio 0.2503
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    16935, 507257408 req, miss ratio 0.1673, byte miss ratio 0.1673
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    56450, 507257408 req, miss ratio 0.0977, byte miss ratio 0.0977
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   169350, 507257408 req, miss ratio 0.0559, byte miss ratio 0.0559
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   564500, 507257408 req, miss ratio 0.0293, byte miss ratio 0.0293
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  1129000, 507257408 req, miss ratio 0.0202, byte miss ratio 0.0202
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  2258000, 507257408 req, miss ratio 0.0142, byte miss ratio 0.0142
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  4516001, 507257408 req, miss ratio 0.0115, byte miss ratio 0.0115
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LeCaR cache size     5645, 507257408 req, miss ratio 0.2851, byte miss ratio 0.2851
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LeCaR cache size    16935, 507257408 req, miss ratio 0.1890, byte miss ratio 0.1890
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LeCaR cache size    56450, 507257408 req, miss ratio 0.1078, byte miss ratio 0.1078
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LeCaR cache size   169350, 507257408 req, miss ratio 0.0604, byte miss ratio 0.0604
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LeCaR cache size   564500, 507257408 req, miss ratio 0.0311, byte miss ratio 0.0311
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LeCaR cache size  1129000, 507257408 req, miss ratio 0.0212, byte miss ratio 0.0212
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LeCaR cache size  2258000, 507257408 req, miss ratio 0.0143, byte miss ratio 0.0143
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst LeCaR cache size  4516001, 507257408 req, miss ratio 0.0113, byte miss ratio 0.0113
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     5645, 507257408 req, miss ratio 0.2513, byte miss ratio 0.2513
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    16935, 507257408 req, miss ratio 0.1674, byte miss ratio 0.1674
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    56450, 507257408 req, miss ratio 0.0977, byte miss ratio 0.0977
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   169350, 507257408 req, miss ratio 0.0561, byte miss ratio 0.0561
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   564500, 507257408 req, miss ratio 0.0297, byte miss ratio 0.0297
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1129000, 507257408 req, miss ratio 0.0203, byte miss ratio 0.0203
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  2258000, 507257408 req, miss ratio 0.0161, byte miss ratio 0.0161
