result/cdn2_allcolo.ns703.oracleGeneral.zst LRU cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d-1 cache size        6, 7557016 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d-1 cache size       22, 7557016 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d-1 cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d-1 cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d-1 cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d-1 cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d-1 cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LRB cache size        6, 7557016 req, miss ratio 0.3947, byte miss ratio 0.3947
result/cdn2_allcolo.ns703.oracleGeneral.zst LRB cache size       22, 7557016 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns703.oracleGeneral.zst LRB cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LRB cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LRB cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LRB cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst LRB cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        6, 7557016 req, miss ratio 0.5460, byte miss ratio 0.5460
result/cdn2_allcolo.ns703.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       22, 7557016 req, miss ratio 0.0072, byte miss ratio 0.0072
