result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO-d-1 cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst LRB cache size       18, 2714293 req, miss ratio 0.0611, byte miss ratio 0.0611
result/cdn2_colo28.ns495.oracleGeneral.zst LRB cache size       54, 2714293 req, miss ratio 0.0363, byte miss ratio 0.0363
result/cdn2_colo28.ns495.oracleGeneral.zst LRB cache size      181, 2714293 req, miss ratio 0.0172, byte miss ratio 0.0172
result/cdn2_colo28.ns495.oracleGeneral.zst LRB cache size      545, 2714293 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_colo28.ns495.oracleGeneral.zst LRB cache size     1816, 2714293 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_colo28.ns495.oracleGeneral.zst LRB cache size     3633, 2714293 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns495.oracleGeneral.zst LRB cache size     7267, 2714293 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_colo28.ns495.oracleGeneral.zst LRB cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       18, 2714293 req, miss ratio 0.1102, byte miss ratio 0.1102
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       54, 2714293 req, miss ratio 0.0559, byte miss ratio 0.0559
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      181, 2714293 req, miss ratio 0.0248, byte miss ratio 0.0248
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      545, 2714293 req, miss ratio 0.0128, byte miss ratio 0.0128
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1816, 2714293 req, miss ratio 0.0087, byte miss ratio 0.0087
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3633, 2714293 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7267, 2714293 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_colo28.ns495.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14535, 2714293 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_colo28.ns495.oracleGeneral.zst B-LRU cache size       18, 2714293 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cdn2_colo28.ns495.oracleGeneral.zst B-LRU cache size       54, 2714293 req, miss ratio 0.0428, byte miss ratio 0.0428
result/cdn2_colo28.ns495.oracleGeneral.zst B-LRU cache size      181, 2714293 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_colo28.ns495.oracleGeneral.zst B-LRU cache size      545, 2714293 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns495.oracleGeneral.zst B-LRU cache size     1816, 2714293 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_colo28.ns495.oracleGeneral.zst B-LRU cache size     3633, 2714293 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_colo28.ns495.oracleGeneral.zst B-LRU cache size     7267, 2714293 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn2_colo28.ns495.oracleGeneral.zst B-LRU cache size    14535, 2714293 req, miss ratio 0.0092, byte miss ratio 0.0092
result/cdn2_colo28.ns495.oracleGeneral.zst S4LRU(25:25:25:25) cache size       18, 2714293 req, miss ratio 0.0677, byte miss ratio 0.0677
result/cdn2_colo28.ns495.oracleGeneral.zst S4LRU(25:25:25:25) cache size       54, 2714293 req, miss ratio 0.0377, byte miss ratio 0.0377
result/cdn2_colo28.ns495.oracleGeneral.zst S4LRU(25:25:25:25) cache size      181, 2714293 req, miss ratio 0.0176, byte miss ratio 0.0176
result/cdn2_colo28.ns495.oracleGeneral.zst S4LRU(25:25:25:25) cache size      545, 2714293 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_colo28.ns495.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1816, 2714293 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_colo28.ns495.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3633, 2714293 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns495.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7267, 2714293 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_colo28.ns495.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst TwoQ cache size       18, 2714293 req, miss ratio 0.0688, byte miss ratio 0.0688
result/cdn2_colo28.ns495.oracleGeneral.zst TwoQ cache size       54, 2714293 req, miss ratio 0.0376, byte miss ratio 0.0376
result/cdn2_colo28.ns495.oracleGeneral.zst TwoQ cache size      181, 2714293 req, miss ratio 0.0172, byte miss ratio 0.0172
result/cdn2_colo28.ns495.oracleGeneral.zst TwoQ cache size      545, 2714293 req, miss ratio 0.0110, byte miss ratio 0.0110
result/cdn2_colo28.ns495.oracleGeneral.zst TwoQ cache size     1816, 2714293 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_colo28.ns495.oracleGeneral.zst TwoQ cache size     3633, 2714293 req, miss ratio 0.0075, byte miss ratio 0.0075
result/cdn2_colo28.ns495.oracleGeneral.zst TwoQ cache size     7267, 2714293 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns495.oracleGeneral.zst TwoQ cache size    14535, 2714293 req, miss ratio 0.0068, byte miss ratio 0.0068
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO cache size       18, 2714293 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO cache size       54, 2714293 req, miss ratio 0.0362, byte miss ratio 0.0362
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO cache size      181, 2714293 req, miss ratio 0.0165, byte miss ratio 0.0165
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO cache size      545, 2714293 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO cache size     1816, 2714293 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO cache size     3633, 2714293 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO cache size     7267, 2714293 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO-d cache size       18, 2714293 req, miss ratio 0.0605, byte miss ratio 0.0605
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO-d cache size       54, 2714293 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO-d cache size      181, 2714293 req, miss ratio 0.0166, byte miss ratio 0.0166
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO-d cache size      545, 2714293 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO-d cache size     1816, 2714293 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO-d cache size     3633, 2714293 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO-d cache size     7267, 2714293 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_colo28.ns495.oracleGeneral.zst S3FIFO-d cache size    14535, 2714293 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       18, 2714293 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       54, 2714293 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      181, 2714293 req, miss ratio 0.0250, byte miss ratio 0.0250
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      545, 2714293 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1816, 2714293 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3633, 2714293 req, miss ratio 0.0087, byte miss ratio 0.0087
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7267, 2714293 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14535, 2714293 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       18, 2714293 req, miss ratio 0.0669, byte miss ratio 0.0669
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       54, 2714293 req, miss ratio 0.0369, byte miss ratio 0.0369
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      181, 2714293 req, miss ratio 0.0180, byte miss ratio 0.0180
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      545, 2714293 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1816, 2714293 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3633, 2714293 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7267, 2714293 req, miss ratio 0.0074, byte miss ratio 0.0074
result/cdn2_colo28.ns495.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14535, 2714293 req, miss ratio 0.0068, byte miss ratio 0.0068
