result/cdn2_allcolo.ns256.oracleGeneral.zst LIRS cache size     1782, 21236651 req, miss ratio 0.5488, byte miss ratio 0.5488
result/cdn2_allcolo.ns256.oracleGeneral.zst LIRS cache size     5941, 21236651 req, miss ratio 0.3168, byte miss ratio 0.3168
result/cdn2_allcolo.ns256.oracleGeneral.zst LIRS cache size    17824, 21236651 req, miss ratio 0.1489, byte miss ratio 0.1489
result/cdn2_allcolo.ns256.oracleGeneral.zst LIRS cache size    59415, 21236651 req, miss ratio 0.0646, byte miss ratio 0.0646
result/cdn2_allcolo.ns256.oracleGeneral.zst LIRS cache size   118830, 21236651 req, miss ratio 0.0456, byte miss ratio 0.0456
result/cdn2_allcolo.ns256.oracleGeneral.zst LIRS cache size   237661, 21236651 req, miss ratio 0.0326, byte miss ratio 0.0326
result/cdn2_allcolo.ns256.oracleGeneral.zst LIRS cache size   475322, 21236651 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d-1 cache size      594, 21236651 req, miss ratio 0.6635, byte miss ratio 0.6635
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d-1 cache size     1782, 21236651 req, miss ratio 0.4883, byte miss ratio 0.4883
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d-1 cache size     5941, 21236651 req, miss ratio 0.2763, byte miss ratio 0.2763
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d-1 cache size    17824, 21236651 req, miss ratio 0.1341, byte miss ratio 0.1341
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d-1 cache size    59415, 21236651 req, miss ratio 0.0568, byte miss ratio 0.0568
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d-1 cache size   118830, 21236651 req, miss ratio 0.0419, byte miss ratio 0.0419
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d-1 cache size   237661, 21236651 req, miss ratio 0.0317, byte miss ratio 0.0317
result/cdn2_allcolo.ns256.oracleGeneral.zst S3FIFO-d-1 cache size   475322, 21236651 req, miss ratio 0.0282, byte miss ratio 0.0282
