result/tencentBlock.ns12963.oracleGeneral.zst S4LRU(25:25:25:25) cache size      690, 15000762 req, miss ratio 0.3944, byte miss ratio 0.3944
result/tencentBlock.ns12963.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2072, 15000762 req, miss ratio 0.1116, byte miss ratio 0.1116
result/tencentBlock.ns12963.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6908, 15000762 req, miss ratio 0.0882, byte miss ratio 0.0882
result/tencentBlock.ns12963.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13817, 15000762 req, miss ratio 0.0565, byte miss ratio 0.0565
result/tencentBlock.ns12963.oracleGeneral.zst S4LRU(25:25:25:25) cache size    27635, 15000762 req, miss ratio 0.0238, byte miss ratio 0.0238
result/tencentBlock.ns12963.oracleGeneral.zst S4LRU(25:25:25:25) cache size    55271, 15000762 req, miss ratio 0.0102, byte miss ratio 0.0102
result/tencentBlock.ns12963.oracleGeneral.zst B-LRU cache size       69, 15000762 req, miss ratio 0.8859, byte miss ratio 0.8859
result/tencentBlock.ns12963.oracleGeneral.zst B-LRU cache size      207, 15000762 req, miss ratio 0.7008, byte miss ratio 0.7008
result/tencentBlock.ns12963.oracleGeneral.zst B-LRU cache size      690, 15000762 req, miss ratio 0.4690, byte miss ratio 0.4690
result/tencentBlock.ns12963.oracleGeneral.zst B-LRU cache size     2072, 15000762 req, miss ratio 0.1171, byte miss ratio 0.1171
result/tencentBlock.ns12963.oracleGeneral.zst B-LRU cache size     6908, 15000762 req, miss ratio 0.0903, byte miss ratio 0.0903
result/tencentBlock.ns12963.oracleGeneral.zst B-LRU cache size    13817, 15000762 req, miss ratio 0.0630, byte miss ratio 0.0630
result/tencentBlock.ns12963.oracleGeneral.zst B-LRU cache size    27635, 15000762 req, miss ratio 0.0315, byte miss ratio 0.0315
result/tencentBlock.ns12963.oracleGeneral.zst B-LRU cache size    55271, 15000762 req, miss ratio 0.0140, byte miss ratio 0.0140
result/tencentBlock.ns12963.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       69, 15000762 req, miss ratio 0.8953, byte miss ratio 0.8953
result/tencentBlock.ns12963.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      207, 15000762 req, miss ratio 0.6596, byte miss ratio 0.6596
result/tencentBlock.ns12963.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      690, 15000762 req, miss ratio 0.3902, byte miss ratio 0.3902
result/tencentBlock.ns12963.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2072, 15000762 req, miss ratio 0.1324, byte miss ratio 0.1324
result/tencentBlock.ns12963.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6908, 15000762 req, miss ratio 0.0946, byte miss ratio 0.0946
result/tencentBlock.ns12963.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13817, 15000762 req, miss ratio 0.0670, byte miss ratio 0.0670
result/tencentBlock.ns12963.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    27635, 15000762 req, miss ratio 0.0320, byte miss ratio 0.0320
result/tencentBlock.ns12963.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    55271, 15000762 req, miss ratio 0.0113, byte miss ratio 0.0113
