result/cdn2_colo28.ns34.oracleGeneral.zst LRB cache size       74, 22199791 req, miss ratio 0.3945, byte miss ratio 0.3945
result/cdn2_colo28.ns34.oracleGeneral.zst LRB cache size      222, 22199791 req, miss ratio 0.3449, byte miss ratio 0.3449
result/cdn2_colo28.ns34.oracleGeneral.zst LRB cache size      741, 22199791 req, miss ratio 0.2678, byte miss ratio 0.2678
result/cdn2_colo28.ns34.oracleGeneral.zst LRB cache size     2225, 22199791 req, miss ratio 0.1724, byte miss ratio 0.1724
result/cdn2_colo28.ns34.oracleGeneral.zst LRB cache size     7419, 22199791 req, miss ratio 0.0570, byte miss ratio 0.0570
result/cdn2_colo28.ns34.oracleGeneral.zst LRB cache size    14838, 22199791 req, miss ratio 0.0204, byte miss ratio 0.0204
result/cdn2_colo28.ns34.oracleGeneral.zst LRB cache size    29677, 22199791 req, miss ratio 0.0087, byte miss ratio 0.0087
result/cdn2_colo28.ns34.oracleGeneral.zst LRB cache size    59354, 22199791 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       74, 22199791 req, miss ratio 0.4551, byte miss ratio 0.4551
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      222, 22199791 req, miss ratio 0.3954, byte miss ratio 0.3954
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      741, 22199791 req, miss ratio 0.3232, byte miss ratio 0.3232
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2225, 22199791 req, miss ratio 0.2228, byte miss ratio 0.2228
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7419, 22199791 req, miss ratio 0.0854, byte miss ratio 0.0854
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14838, 22199791 req, miss ratio 0.0314, byte miss ratio 0.0314
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    29677, 22199791 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn2_colo28.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    59354, 22199791 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn2_colo28.ns34.oracleGeneral.zst B-LRU cache size       74, 22199791 req, miss ratio 0.4533, byte miss ratio 0.4533
result/cdn2_colo28.ns34.oracleGeneral.zst B-LRU cache size      222, 22199791 req, miss ratio 0.4061, byte miss ratio 0.4061
result/cdn2_colo28.ns34.oracleGeneral.zst B-LRU cache size      741, 22199791 req, miss ratio 0.3335, byte miss ratio 0.3335
result/cdn2_colo28.ns34.oracleGeneral.zst B-LRU cache size     2225, 22199791 req, miss ratio 0.2337, byte miss ratio 0.2337
result/cdn2_colo28.ns34.oracleGeneral.zst B-LRU cache size     7419, 22199791 req, miss ratio 0.0894, byte miss ratio 0.0894
result/cdn2_colo28.ns34.oracleGeneral.zst B-LRU cache size    14838, 22199791 req, miss ratio 0.0313, byte miss ratio 0.0313
result/cdn2_colo28.ns34.oracleGeneral.zst B-LRU cache size    29677, 22199791 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_colo28.ns34.oracleGeneral.zst B-LRU cache size    59354, 22199791 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_colo28.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size       74, 22199791 req, miss ratio 0.4246, byte miss ratio 0.4246
result/cdn2_colo28.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size      222, 22199791 req, miss ratio 0.3754, byte miss ratio 0.3754
result/cdn2_colo28.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size      741, 22199791 req, miss ratio 0.3061, byte miss ratio 0.3061
