result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LIRS cache size     4203, 13334390 req, miss ratio 0.1265, byte miss ratio 0.1265
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LIRS cache size    12611, 13334390 req, miss ratio 0.0962, byte miss ratio 0.0962
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LIRS cache size    42038, 13334390 req, miss ratio 0.0652, byte miss ratio 0.0652
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LIRS cache size    84077, 13334390 req, miss ratio 0.0476, byte miss ratio 0.0476
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LIRS cache size   168154, 13334390 req, miss ratio 0.0373, byte miss ratio 0.0373
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LIRS cache size   336308, 13334390 req, miss ratio 0.0322, byte miss ratio 0.0322
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst ARC cache size      420, 13334390 req, miss ratio 0.2233, byte miss ratio 0.2233
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst ARC cache size     1261, 13334390 req, miss ratio 0.1674, byte miss ratio 0.1674
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst ARC cache size     4203, 13334390 req, miss ratio 0.1244, byte miss ratio 0.1244
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst ARC cache size    12611, 13334390 req, miss ratio 0.0942, byte miss ratio 0.0942
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst ARC cache size    42038, 13334390 req, miss ratio 0.0651, byte miss ratio 0.0651
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst ARC cache size    84077, 13334390 req, miss ratio 0.0474, byte miss ratio 0.0474
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst ARC cache size   168154, 13334390 req, miss ratio 0.0358, byte miss ratio 0.0358
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst ARC cache size   336308, 13334390 req, miss ratio 0.0318, byte miss ratio 0.0318
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LeCaR cache size      420, 13334390 req, miss ratio 0.2582, byte miss ratio 0.2582
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LeCaR cache size     1261, 13334390 req, miss ratio 0.1850, byte miss ratio 0.1850
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LeCaR cache size     4203, 13334390 req, miss ratio 0.1311, byte miss ratio 0.1311
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LeCaR cache size    12611, 13334390 req, miss ratio 0.0972, byte miss ratio 0.0972
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LeCaR cache size    42038, 13334390 req, miss ratio 0.0677, byte miss ratio 0.0677
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LeCaR cache size    84077, 13334390 req, miss ratio 0.0489, byte miss ratio 0.0489
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LeCaR cache size   168154, 13334390 req, miss ratio 0.0371, byte miss ratio 0.0371
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LeCaR cache size   336308, 13334390 req, miss ratio 0.0319, byte miss ratio 0.0319
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Cacheus cache size      420, 13334390 req, miss ratio 0.2277, byte miss ratio 0.2277
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Cacheus cache size     1261, 13334390 req, miss ratio 0.1746, byte miss ratio 0.1746
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Cacheus cache size     4203, 13334390 req, miss ratio 0.1250, byte miss ratio 0.1250
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Cacheus cache size    12611, 13334390 req, miss ratio 0.0937, byte miss ratio 0.0937
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Cacheus cache size    42038, 13334390 req, miss ratio 0.0659, byte miss ratio 0.0659
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Cacheus cache size    84077, 13334390 req, miss ratio 0.0498, byte miss ratio 0.0498
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Cacheus cache size   168154, 13334390 req, miss ratio 0.0372, byte miss ratio 0.0372
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst Cacheus cache size   336308, 13334390 req, miss ratio 0.0320, byte miss ratio 0.0320
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRU cache size      420, 13334390 req, miss ratio 0.2659, byte miss ratio 0.2659
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRU cache size     1261, 13334390 req, miss ratio 0.1893, byte miss ratio 0.1893
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRU cache size     4203, 13334390 req, miss ratio 0.1334, byte miss ratio 0.1334
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRU cache size    12611, 13334390 req, miss ratio 0.0990, byte miss ratio 0.0990
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRU cache size    42038, 13334390 req, miss ratio 0.0696, byte miss ratio 0.0696
result/entity_real_graph_entities_cache.1.oracleGeneral.sample10.zst LRU cache size    84077, 13334390 req, miss ratio 0.0534, byte miss ratio 0.0534
