result/cdn2_allcolo.ns1597.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3303, 2226245 req, miss ratio 0.2862, byte miss ratio 0.2862
result/cdn2_allcolo.ns1597.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9911, 2226245 req, miss ratio 0.2346, byte miss ratio 0.2346
result/cdn2_allcolo.ns1597.oracleGeneral.zst S4LRU(25:25:25:25) cache size    33037, 2226245 req, miss ratio 0.1890, byte miss ratio 0.1890
result/cdn2_allcolo.ns1597.oracleGeneral.zst S4LRU(25:25:25:25) cache size    66074, 2226245 req, miss ratio 0.1709, byte miss ratio 0.1709
result/cdn2_allcolo.ns1597.oracleGeneral.zst S4LRU(25:25:25:25) cache size   132148, 2226245 req, miss ratio 0.1577, byte miss ratio 0.1577
result/cdn2_allcolo.ns1597.oracleGeneral.zst S4LRU(25:25:25:25) cache size   264297, 2226245 req, miss ratio 0.1491, byte miss ratio 0.1491
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      330, 2226245 req, miss ratio 0.4565, byte miss ratio 0.4565
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      991, 2226245 req, miss ratio 0.3780, byte miss ratio 0.3780
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3303, 2226245 req, miss ratio 0.3063, byte miss ratio 0.3063
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9911, 2226245 req, miss ratio 0.2507, byte miss ratio 0.2507
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    33037, 2226245 req, miss ratio 0.1992, byte miss ratio 0.1992
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    66074, 2226245 req, miss ratio 0.1762, byte miss ratio 0.1762
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   132148, 2226245 req, miss ratio 0.1595, byte miss ratio 0.1595
result/cdn2_allcolo.ns1597.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   264297, 2226245 req, miss ratio 0.1508, byte miss ratio 0.1508
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d cache size      330, 2226245 req, miss ratio 0.4136, byte miss ratio 0.4136
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d cache size      991, 2226245 req, miss ratio 0.3351, byte miss ratio 0.3351
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d cache size     3303, 2226245 req, miss ratio 0.2679, byte miss ratio 0.2679
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d cache size     9911, 2226245 req, miss ratio 0.2186, byte miss ratio 0.2186
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d cache size    33037, 2226245 req, miss ratio 0.1817, byte miss ratio 0.1817
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d cache size    66074, 2226245 req, miss ratio 0.1685, byte miss ratio 0.1685
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d cache size   132148, 2226245 req, miss ratio 0.1580, byte miss ratio 0.1580
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO-d cache size   264297, 2226245 req, miss ratio 0.1494, byte miss ratio 0.1494
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO cache size      330, 2226245 req, miss ratio 0.4219, byte miss ratio 0.4219
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO cache size      991, 2226245 req, miss ratio 0.3361, byte miss ratio 0.3361
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO cache size     3303, 2226245 req, miss ratio 0.2679, byte miss ratio 0.2679
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO cache size     9911, 2226245 req, miss ratio 0.2186, byte miss ratio 0.2186
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO cache size    33037, 2226245 req, miss ratio 0.1817, byte miss ratio 0.1817
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO cache size    66074, 2226245 req, miss ratio 0.1685, byte miss ratio 0.1685
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO cache size   132148, 2226245 req, miss ratio 0.1580, byte miss ratio 0.1580
result/cdn2_allcolo.ns1597.oracleGeneral.zst S3FIFO cache size   264297, 2226245 req, miss ratio 0.1494, byte miss ratio 0.1494
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      330, 2226245 req, miss ratio 0.4844, byte miss ratio 0.4844
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      991, 2226245 req, miss ratio 0.3789, byte miss ratio 0.3789
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3303, 2226245 req, miss ratio 0.2739, byte miss ratio 0.2739
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9911, 2226245 req, miss ratio 0.2212, byte miss ratio 0.2212
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    33037, 2226245 req, miss ratio 0.1873, byte miss ratio 0.1873
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    66074, 2226245 req, miss ratio 0.1720, byte miss ratio 0.1720
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   132148, 2226245 req, miss ratio 0.1593, byte miss ratio 0.1593
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   264297, 2226245 req, miss ratio 0.1504, byte miss ratio 0.1504
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      330, 2226245 req, miss ratio 0.4151, byte miss ratio 0.4151
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      991, 2226245 req, miss ratio 0.3318, byte miss ratio 0.3318
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3303, 2226245 req, miss ratio 0.2658, byte miss ratio 0.2658
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9911, 2226245 req, miss ratio 0.2236, byte miss ratio 0.2236
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    33037, 2226245 req, miss ratio 0.1886, byte miss ratio 0.1886
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    66074, 2226245 req, miss ratio 0.1742, byte miss ratio 0.1742
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   132148, 2226245 req, miss ratio 0.1625, byte miss ratio 0.1625
result/cdn2_allcolo.ns1597.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   264297, 2226245 req, miss ratio 0.1524, byte miss ratio 0.1524
