result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LIRS cache size    36636, 40325268 req, miss ratio 0.4220, byte miss ratio 0.4220
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LIRS cache size   122122, 40325268 req, miss ratio 0.3040, byte miss ratio 0.3040
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LIRS cache size   366367, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LIRS cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LIRS cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LIRS cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LIRS cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    12212, 40325268 req, miss ratio 0.3032, byte miss ratio 0.3032
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   122122, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   366367, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LRB cache size    12212, 40325268 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LRB cache size    36636, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LRB cache size   122122, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LRB cache size   366367, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LRB cache size  1221223, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LRB cache size  2442446, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LRB cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst LRB cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst B-LRU cache size    12212, 40325268 req, miss ratio 0.5947, byte miss ratio 0.5947
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst B-LRU cache size    36636, 40325268 req, miss ratio 0.5947, byte miss ratio 0.5947
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst B-LRU cache size   122122, 40325268 req, miss ratio 0.5947, byte miss ratio 0.5947
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst B-LRU cache size   366367, 40325268 req, miss ratio 0.5947, byte miss ratio 0.5947
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1221223, 40325268 req, miss ratio 0.5946, byte miss ratio 0.5946
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst B-LRU cache size  2442446, 40325268 req, miss ratio 0.5946, byte miss ratio 0.5946
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst B-LRU cache size  4884893, 40325268 req, miss ratio 0.5946, byte miss ratio 0.5946
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst B-LRU cache size  9769787, 40325268 req, miss ratio 0.5946, byte miss ratio 0.5946
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    12212, 40325268 req, miss ratio 0.3077, byte miss ratio 0.3077
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    36636, 40325268 req, miss ratio 0.3044, byte miss ratio 0.3044
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   122122, 40325268 req, miss ratio 0.3033, byte miss ratio 0.3033
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   366367, 40325268 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1221223, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2442446, 40325268 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  4884893, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tweetdeck_content_collector_events_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  9769787, 40325268 req, miss ratio 0.3028, byte miss ratio 0.3028
