result/devices_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1059872, 268091786 req, miss ratio 0.0265, byte miss ratio 0.0265
result/devices_cache.1.oracleGeneral.sample10.zst B-LRU cache size  2119744, 268091786 req, miss ratio 0.0223, byte miss ratio 0.0223
result/devices_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     2649, 268091786 req, miss ratio 0.5574, byte miss ratio 0.5574
result/devices_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     7949, 268091786 req, miss ratio 0.4608, byte miss ratio 0.4608
result/devices_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    26496, 268091786 req, miss ratio 0.3620, byte miss ratio 0.3620
result/devices_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    79490, 268091786 req, miss ratio 0.2812, byte miss ratio 0.2812
result/devices_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   264968, 268091786 req, miss ratio 0.1427, byte miss ratio 0.1427
result/devices_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   529936, 268091786 req, miss ratio 0.0388, byte miss ratio 0.0388
result/devices_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1059872, 268091786 req, miss ratio 0.0207, byte miss ratio 0.0207
result/devices_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2119744, 268091786 req, miss ratio 0.0131, byte miss ratio 0.0131
result/devices_cache.1.oracleGeneral.sample10.zst TwoQ cache size     2649, 268091786 req, miss ratio 0.5232, byte miss ratio 0.5232
result/devices_cache.1.oracleGeneral.sample10.zst TwoQ cache size     7949, 268091786 req, miss ratio 0.4186, byte miss ratio 0.4186
result/devices_cache.1.oracleGeneral.sample10.zst TwoQ cache size    26496, 268091786 req, miss ratio 0.3308, byte miss ratio 0.3308
result/devices_cache.1.oracleGeneral.sample10.zst TwoQ cache size    79490, 268091786 req, miss ratio 0.2469, byte miss ratio 0.2469
result/devices_cache.1.oracleGeneral.sample10.zst TwoQ cache size   264968, 268091786 req, miss ratio 0.0871, byte miss ratio 0.0871
result/devices_cache.1.oracleGeneral.sample10.zst TwoQ cache size   529936, 268091786 req, miss ratio 0.0308, byte miss ratio 0.0308
result/devices_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1059872, 268091786 req, miss ratio 0.0186, byte miss ratio 0.0186
result/devices_cache.1.oracleGeneral.sample10.zst TwoQ cache size  2119744, 268091786 req, miss ratio 0.0127, byte miss ratio 0.0127
result/devices_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     2649, 268091786 req, miss ratio 0.5307, byte miss ratio 0.5307
result/devices_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     7949, 268091786 req, miss ratio 0.4374, byte miss ratio 0.4374
result/devices_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    26496, 268091786 req, miss ratio 0.3416, byte miss ratio 0.3416
result/devices_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    79490, 268091786 req, miss ratio 0.2624, byte miss ratio 0.2624
result/devices_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   264968, 268091786 req, miss ratio 0.1025, byte miss ratio 0.1025
result/devices_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   529936, 268091786 req, miss ratio 0.0309, byte miss ratio 0.0309
result/devices_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1059872, 268091786 req, miss ratio 0.0181, byte miss ratio 0.0181
result/devices_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2119744, 268091786 req, miss ratio 0.0128, byte miss ratio 0.0128
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     2649, 268091786 req, miss ratio 0.5214, byte miss ratio 0.5214
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     7949, 268091786 req, miss ratio 0.4232, byte miss ratio 0.4232
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    26496, 268091786 req, miss ratio 0.3300, byte miss ratio 0.3300
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    79490, 268091786 req, miss ratio 0.2427, byte miss ratio 0.2427
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   264968, 268091786 req, miss ratio 0.1245, byte miss ratio 0.1245
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   529936, 268091786 req, miss ratio 0.0318, byte miss ratio 0.0318
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1059872, 268091786 req, miss ratio 0.0226, byte miss ratio 0.0226
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  2119744, 268091786 req, miss ratio 0.0140, byte miss ratio 0.0140
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     2649, 268091786 req, miss ratio 0.5188, byte miss ratio 0.5188
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     7949, 268091786 req, miss ratio 0.4211, byte miss ratio 0.4211
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    26496, 268091786 req, miss ratio 0.3267, byte miss ratio 0.3267
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    79490, 268091786 req, miss ratio 0.2455, byte miss ratio 0.2455
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   264968, 268091786 req, miss ratio 0.0946, byte miss ratio 0.0946
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   529936, 268091786 req, miss ratio 0.0285, byte miss ratio 0.0285
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1059872, 268091786 req, miss ratio 0.0174, byte miss ratio 0.0174
result/devices_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  2119744, 268091786 req, miss ratio 0.0121, byte miss ratio 0.0121
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     2649, 268091786 req, miss ratio 0.5424, byte miss ratio 0.5424
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     7949, 268091786 req, miss ratio 0.4810, byte miss ratio 0.4810
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    26496, 268091786 req, miss ratio 0.3483, byte miss ratio 0.3483
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    79490, 268091786 req, miss ratio 0.2416, byte miss ratio 0.2416
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   264968, 268091786 req, miss ratio 0.0674, byte miss ratio 0.0674
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   529936, 268091786 req, miss ratio 0.0251, byte miss ratio 0.0251
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1059872, 268091786 req, miss ratio 0.0162, byte miss ratio 0.0162
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2119744, 268091786 req, miss ratio 0.0108, byte miss ratio 0.0108
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     2649, 268091786 req, miss ratio 0.5365, byte miss ratio 0.5365
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     7949, 268091786 req, miss ratio 0.4539, byte miss ratio 0.4539
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    26496, 268091786 req, miss ratio 0.3358, byte miss ratio 0.3358
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    79490, 268091786 req, miss ratio 0.2388, byte miss ratio 0.2388
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   264968, 268091786 req, miss ratio 0.0683, byte miss ratio 0.0683
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   529936, 268091786 req, miss ratio 0.0257, byte miss ratio 0.0257
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1059872, 268091786 req, miss ratio 0.0170, byte miss ratio 0.0170
result/devices_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2119744, 268091786 req, miss ratio 0.0111, byte miss ratio 0.0111
