result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        5, 1099690 req, miss ratio 0.9323, byte miss ratio 0.9323
result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       17, 1099690 req, miss ratio 0.3917, byte miss ratio 0.3917
result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       57, 1099690 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      114, 1099690 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      456, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst S4LRU(25:25:25:25) cache size        5, 1099690 req, miss ratio 0.8352, byte miss ratio 0.8352
result/cdn2_colo28.ns2841.oracleGeneral.zst S4LRU(25:25:25:25) cache size       17, 1099690 req, miss ratio 0.2719, byte miss ratio 0.2719
result/cdn2_colo28.ns2841.oracleGeneral.zst S4LRU(25:25:25:25) cache size       57, 1099690 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_colo28.ns2841.oracleGeneral.zst S4LRU(25:25:25:25) cache size      114, 1099690 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns2841.oracleGeneral.zst S4LRU(25:25:25:25) cache size      228, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst S4LRU(25:25:25:25) cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst B-LRU cache size        5, 1099690 req, miss ratio 0.9330, byte miss ratio 0.9330
result/cdn2_colo28.ns2841.oracleGeneral.zst B-LRU cache size       17, 1099690 req, miss ratio 0.4111, byte miss ratio 0.4111
result/cdn2_colo28.ns2841.oracleGeneral.zst B-LRU cache size       57, 1099690 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns2841.oracleGeneral.zst B-LRU cache size      114, 1099690 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cdn2_colo28.ns2841.oracleGeneral.zst B-LRU cache size      228, 1099690 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns2841.oracleGeneral.zst B-LRU cache size      456, 1099690 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO cache size        5, 1099690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO cache size       17, 1099690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO cache size       57, 1099690 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO cache size      114, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d cache size        5, 1099690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d cache size       17, 1099690 req, miss ratio 0.2172, byte miss ratio 0.2172
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d cache size       57, 1099690 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d cache size      114, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst S3FIFO-d cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        5, 1099690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       17, 1099690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       57, 1099690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      114, 1099690 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      456, 1099690 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        5, 1099690 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       17, 1099690 req, miss ratio 0.2089, byte miss ratio 0.2089
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       57, 1099690 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      114, 1099690 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      228, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_colo28.ns2841.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      456, 1099690 req, miss ratio 0.0006, byte miss ratio 0.0006
