result/tencentBlock.ns19342.oracleGeneral.zst S4LRU(25:25:25:25) cache size      842, 3163841 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns19342.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2527, 3163841 req, miss ratio 0.1627, byte miss ratio 0.1627
result/tencentBlock.ns19342.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8424, 3163841 req, miss ratio 0.1493, byte miss ratio 0.1493
result/tencentBlock.ns19342.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16848, 3163841 req, miss ratio 0.1332, byte miss ratio 0.1332
result/tencentBlock.ns19342.oracleGeneral.zst S4LRU(25:25:25:25) cache size    33696, 3163841 req, miss ratio 0.0967, byte miss ratio 0.0967
result/tencentBlock.ns19342.oracleGeneral.zst S4LRU(25:25:25:25) cache size    67392, 3163841 req, miss ratio 0.0304, byte miss ratio 0.0304
result/tencentBlock.ns19342.oracleGeneral.zst B-LRU cache size       84, 3163841 req, miss ratio 0.4970, byte miss ratio 0.4970
result/tencentBlock.ns19342.oracleGeneral.zst B-LRU cache size      252, 3163841 req, miss ratio 0.3690, byte miss ratio 0.3690
result/tencentBlock.ns19342.oracleGeneral.zst B-LRU cache size      842, 3163841 req, miss ratio 0.1765, byte miss ratio 0.1765
result/tencentBlock.ns19342.oracleGeneral.zst B-LRU cache size     2527, 3163841 req, miss ratio 0.1709, byte miss ratio 0.1709
result/tencentBlock.ns19342.oracleGeneral.zst B-LRU cache size     8424, 3163841 req, miss ratio 0.1640, byte miss ratio 0.1640
result/tencentBlock.ns19342.oracleGeneral.zst B-LRU cache size    16848, 3163841 req, miss ratio 0.1615, byte miss ratio 0.1615
result/tencentBlock.ns19342.oracleGeneral.zst B-LRU cache size    33696, 3163841 req, miss ratio 0.1305, byte miss ratio 0.1305
result/tencentBlock.ns19342.oracleGeneral.zst B-LRU cache size    67392, 3163841 req, miss ratio 0.0477, byte miss ratio 0.0477
result/tencentBlock.ns19342.oracleGeneral.zst TwoQ cache size       84, 3163841 req, miss ratio 0.4177, byte miss ratio 0.4177
result/tencentBlock.ns19342.oracleGeneral.zst TwoQ cache size      252, 3163841 req, miss ratio 0.2973, byte miss ratio 0.2973
result/tencentBlock.ns19342.oracleGeneral.zst TwoQ cache size      842, 3163841 req, miss ratio 0.1709, byte miss ratio 0.1709
result/tencentBlock.ns19342.oracleGeneral.zst TwoQ cache size     2527, 3163841 req, miss ratio 0.1616, byte miss ratio 0.1616
result/tencentBlock.ns19342.oracleGeneral.zst TwoQ cache size     8424, 3163841 req, miss ratio 0.1583, byte miss ratio 0.1583
result/tencentBlock.ns19342.oracleGeneral.zst TwoQ cache size    16848, 3163841 req, miss ratio 0.1377, byte miss ratio 0.1377
result/tencentBlock.ns19342.oracleGeneral.zst TwoQ cache size    33696, 3163841 req, miss ratio 0.1109, byte miss ratio 0.1109
result/tencentBlock.ns19342.oracleGeneral.zst TwoQ cache size    67392, 3163841 req, miss ratio 0.0476, byte miss ratio 0.0476
