result/cdn1_lax.ns567.oracleGeneral.bin.zst LHD cache size     1967, 1772758 req, miss ratio 0.6790, byte miss ratio 0.6790
result/cdn1_lax.ns567.oracleGeneral.bin.zst LHD cache size     5902, 1772758 req, miss ratio 0.5120, byte miss ratio 0.5120
result/cdn1_lax.ns567.oracleGeneral.bin.zst LHD cache size    19673, 1772758 req, miss ratio 0.3194, byte miss ratio 0.3194
result/cdn1_lax.ns567.oracleGeneral.bin.zst LHD cache size    39347, 1772758 req, miss ratio 0.2129, byte miss ratio 0.2129
result/cdn1_lax.ns567.oracleGeneral.bin.zst LHD cache size    78695, 1772758 req, miss ratio 0.1357, byte miss ratio 0.1357
result/cdn1_lax.ns567.oracleGeneral.bin.zst LHD cache size   157390, 1772758 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRU cache size      196, 1772758 req, miss ratio 0.8763, byte miss ratio 0.8763
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRU cache size      590, 1772758 req, miss ratio 0.8171, byte miss ratio 0.8171
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRU cache size     1967, 1772758 req, miss ratio 0.6988, byte miss ratio 0.6988
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRU cache size     5902, 1772758 req, miss ratio 0.5371, byte miss ratio 0.5371
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRU cache size    19673, 1772758 req, miss ratio 0.3342, byte miss ratio 0.3342
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRU cache size    39347, 1772758 req, miss ratio 0.2218, byte miss ratio 0.2218
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRU cache size    78695, 1772758 req, miss ratio 0.1330, byte miss ratio 0.1330
result/cdn1_lax.ns567.oracleGeneral.bin.zst LRU cache size   157390, 1772758 req, miss ratio 0.1110, byte miss ratio 0.1110
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-1 cache size      196, 1772758 req, miss ratio 0.8341, byte miss ratio 0.8341
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-1 cache size      590, 1772758 req, miss ratio 0.7485, byte miss ratio 0.7485
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-1 cache size     1967, 1772758 req, miss ratio 0.6139, byte miss ratio 0.6139
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-1 cache size     5902, 1772758 req, miss ratio 0.4600, byte miss ratio 0.4600
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-1 cache size    19673, 1772758 req, miss ratio 0.2912, byte miss ratio 0.2912
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-1 cache size    39347, 1772758 req, miss ratio 0.2018, byte miss ratio 0.2018
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-1 cache size    78695, 1772758 req, miss ratio 0.1374, byte miss ratio 0.1374
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-1 cache size   157390, 1772758 req, miss ratio 0.1112, byte miss ratio 0.1112
result/cdn1_lax.ns567.oracleGeneral.bin.zst clock2 cache size      196, 1772758 req, miss ratio 0.8701, byte miss ratio 0.8701
result/cdn1_lax.ns567.oracleGeneral.bin.zst clock2 cache size      590, 1772758 req, miss ratio 0.8086, byte miss ratio 0.8086
result/cdn1_lax.ns567.oracleGeneral.bin.zst clock2 cache size     1967, 1772758 req, miss ratio 0.6782, byte miss ratio 0.6782
result/cdn1_lax.ns567.oracleGeneral.bin.zst clock2 cache size     5902, 1772758 req, miss ratio 0.5115, byte miss ratio 0.5115
result/cdn1_lax.ns567.oracleGeneral.bin.zst clock2 cache size    19673, 1772758 req, miss ratio 0.3122, byte miss ratio 0.3122
result/cdn1_lax.ns567.oracleGeneral.bin.zst clock2 cache size    39347, 1772758 req, miss ratio 0.2057, byte miss ratio 0.2057
result/cdn1_lax.ns567.oracleGeneral.bin.zst clock2 cache size    78695, 1772758 req, miss ratio 0.1351, byte miss ratio 0.1351
result/cdn1_lax.ns567.oracleGeneral.bin.zst clock2 cache size   157390, 1772758 req, miss ratio 0.1112, byte miss ratio 0.1112
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d-1 cache size      196, 1772758 req, miss ratio 0.8367, byte miss ratio 0.8367
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d-1 cache size      590, 1772758 req, miss ratio 0.7491, byte miss ratio 0.7491
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1967, 1772758 req, miss ratio 0.6132, byte miss ratio 0.6132
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d-1 cache size     5902, 1772758 req, miss ratio 0.4590, byte miss ratio 0.4590
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d-1 cache size    19673, 1772758 req, miss ratio 0.2911, byte miss ratio 0.2911
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d-1 cache size    39347, 1772758 req, miss ratio 0.2026, byte miss ratio 0.2026
result/cdn1_lax.ns567.oracleGeneral.bin.zst S3FIFO-d-1 cache size    78695, 1772758 req, miss ratio 0.1374, byte miss ratio 0.1374
