result/tencent_photo2.oracleGeneral.sample10.zst LRU cache size 40727394, 273066692 req, miss ratio 0.1870, byte miss ratio 0.1870
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    50909, 273066692 req, miss ratio 0.6556, byte miss ratio 0.6556
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   152727, 273066692 req, miss ratio 0.5293, byte miss ratio 0.5293
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   509092, 273066692 req, miss ratio 0.3987, byte miss ratio 0.3987
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1527277, 273066692 req, miss ratio 0.3077, byte miss ratio 0.3077
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  5090924, 273066692 req, miss ratio 0.2405, byte miss ratio 0.2405
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 10181848, 273066692 req, miss ratio 0.2209, byte miss ratio 0.2209
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 20363697, 273066692 req, miss ratio 0.2035, byte miss ratio 0.2035
result/tencent_photo2.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 40727394, 273066692 req, miss ratio 0.1869, byte miss ratio 0.1869
result/tencent_photo2.oracleGeneral.sample10.zst LRB cache size    50909, 273066692 req, miss ratio 0.6679, byte miss ratio 0.6679
result/tencent_photo2.oracleGeneral.sample10.zst LRB cache size   152727, 273066692 req, miss ratio 0.5484, byte miss ratio 0.5484
result/tencent_photo2.oracleGeneral.sample10.zst LRB cache size   509092, 273066692 req, miss ratio 0.4231, byte miss ratio 0.4231
result/tencent_photo2.oracleGeneral.sample10.zst LRB cache size  1527277, 273066692 req, miss ratio 0.3316, byte miss ratio 0.3316
result/tencent_photo2.oracleGeneral.sample10.zst LRB cache size  5090924, 273066692 req, miss ratio 0.2385, byte miss ratio 0.2385
result/tencent_photo2.oracleGeneral.sample10.zst LRB cache size 10181848, 273066692 req, miss ratio 0.2144, byte miss ratio 0.2144
result/tencent_photo2.oracleGeneral.sample10.zst LRB cache size 20363697, 273066692 req, miss ratio 0.1975, byte miss ratio 0.1975
