result/cdn1_nyc.ns685.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   101542, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   203085, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   406170, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   812340, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst TwoQ cache size     1015, 3571285 req, miss ratio 0.2922, byte miss ratio 0.2922
result/cdn1_nyc.ns685.oracleGeneral.bin.zst TwoQ cache size     3046, 3571285 req, miss ratio 0.2847, byte miss ratio 0.2847
result/cdn1_nyc.ns685.oracleGeneral.bin.zst TwoQ cache size    10154, 3571285 req, miss ratio 0.2846, byte miss ratio 0.2846
result/cdn1_nyc.ns685.oracleGeneral.bin.zst TwoQ cache size    30462, 3571285 req, miss ratio 0.2845, byte miss ratio 0.2845
result/cdn1_nyc.ns685.oracleGeneral.bin.zst TwoQ cache size   101542, 3571285 req, miss ratio 0.2845, byte miss ratio 0.2845
result/cdn1_nyc.ns685.oracleGeneral.bin.zst TwoQ cache size   203085, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst TwoQ cache size   406170, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst TwoQ cache size   812340, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d cache size     1015, 3571285 req, miss ratio 0.2891, byte miss ratio 0.2891
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d cache size     3046, 3571285 req, miss ratio 0.2870, byte miss ratio 0.2870
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d cache size    10154, 3571285 req, miss ratio 0.2850, byte miss ratio 0.2850
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d cache size    30462, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d cache size   101542, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d cache size   203085, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d cache size   406170, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO-d cache size   812340, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO cache size     1015, 3571285 req, miss ratio 0.2919, byte miss ratio 0.2919
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO cache size     3046, 3571285 req, miss ratio 0.2874, byte miss ratio 0.2874
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO cache size    10154, 3571285 req, miss ratio 0.2850, byte miss ratio 0.2850
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO cache size    30462, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO cache size   101542, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO cache size   203085, 3571285 req, miss ratio 0.2844, byte miss ratio 0.2844
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO cache size   406170, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst S3FIFO cache size   812340, 3571285 req, miss ratio 0.2843, byte miss ratio 0.2843
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1015, 3571285 req, miss ratio 0.3656, byte miss ratio 0.3656
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3046, 3571285 req, miss ratio 0.3140, byte miss ratio 0.3140
result/cdn1_nyc.ns685.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    10154, 3571285 req, miss ratio 0.2984, byte miss ratio 0.2984
