result/cdn1_lax.ns969.oracleGeneral.bin.zst FIFO cache size   474041, 1994940 req, miss ratio 0.5943, byte miss ratio 0.5943
result/cdn1_lax.ns969.oracleGeneral.bin.zst FIFO cache size   948083, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst LHD cache size     1185, 1994940 req, miss ratio 0.6018, byte miss ratio 0.6018
result/cdn1_lax.ns969.oracleGeneral.bin.zst LHD cache size     3555, 1994940 req, miss ratio 0.5975, byte miss ratio 0.5975
result/cdn1_lax.ns969.oracleGeneral.bin.zst LHD cache size    11851, 1994940 req, miss ratio 0.5964, byte miss ratio 0.5964
result/cdn1_lax.ns969.oracleGeneral.bin.zst LHD cache size    35553, 1994940 req, miss ratio 0.5950, byte miss ratio 0.5950
result/cdn1_lax.ns969.oracleGeneral.bin.zst LHD cache size   118510, 1994940 req, miss ratio 0.5944, byte miss ratio 0.5944
result/cdn1_lax.ns969.oracleGeneral.bin.zst LHD cache size   237020, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst LHD cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst LHD cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1185, 1994940 req, miss ratio 0.6134, byte miss ratio 0.6134
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3555, 1994940 req, miss ratio 0.6030, byte miss ratio 0.6030
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d-1 cache size    11851, 1994940 req, miss ratio 0.5958, byte miss ratio 0.5958
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d-1 cache size    35553, 1994940 req, miss ratio 0.5949, byte miss ratio 0.5949
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d-1 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d-1 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d-1 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst S3FIFO-d-1 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRB cache size     1185, 1994940 req, miss ratio 0.5995, byte miss ratio 0.5995
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRB cache size     3555, 1994940 req, miss ratio 0.5976, byte miss ratio 0.5976
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRB cache size    11851, 1994940 req, miss ratio 0.5964, byte miss ratio 0.5964
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRB cache size    35553, 1994940 req, miss ratio 0.5951, byte miss ratio 0.5951
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRB cache size   118510, 1994940 req, miss ratio 0.5944, byte miss ratio 0.5944
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRB cache size   237020, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRB cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
result/cdn1_lax.ns969.oracleGeneral.bin.zst LRB cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
