result/cdn2_allcolo.ns247.oracleGeneral.zst TwoQ cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst S4LRU(25:25:25:25) cache size       13, 2347927 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns247.oracleGeneral.zst S4LRU(25:25:25:25) cache size       39, 2347927 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns247.oracleGeneral.zst S4LRU(25:25:25:25) cache size      132, 2347927 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns247.oracleGeneral.zst S4LRU(25:25:25:25) cache size      264, 2347927 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns247.oracleGeneral.zst S4LRU(25:25:25:25) cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d cache size       13, 2347927 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d cache size       39, 2347927 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d cache size      132, 2347927 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d cache size      264, 2347927 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO-d cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO cache size       13, 2347927 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO cache size       39, 2347927 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO cache size      132, 2347927 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO cache size      264, 2347927 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst S3FIFO cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       13, 2347927 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       39, 2347927 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      132, 2347927 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      264, 2347927 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       13, 2347927 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       39, 2347927 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      132, 2347927 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      264, 2347927 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      528, 2347927 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cdn2_allcolo.ns247.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1056, 2347927 req, miss ratio 0.0006, byte miss ratio 0.0006
