result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size    21386, 257114254 req, miss ratio 0.0075, byte miss ratio 0.0075
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size    71287, 257114254 req, miss ratio 0.0038, byte miss ratio 0.0038
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size   142575, 257114254 req, miss ratio 0.0033, byte miss ratio 0.0033
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size   285150, 257114254 req, miss ratio 0.0030, byte miss ratio 0.0030
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst LIRS cache size   570301, 257114254 req, miss ratio 0.0028, byte miss ratio 0.0028
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO cache size      712, 257114254 req, miss ratio 0.3112, byte miss ratio 0.3112
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO cache size     2138, 257114254 req, miss ratio 0.1650, byte miss ratio 0.1650
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO cache size     7128, 257114254 req, miss ratio 0.0556, byte miss ratio 0.0556
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO cache size    21386, 257114254 req, miss ratio 0.0151, byte miss ratio 0.0151
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO cache size    71287, 257114254 req, miss ratio 0.0057, byte miss ratio 0.0057
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO cache size   142575, 257114254 req, miss ratio 0.0042, byte miss ratio 0.0042
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO cache size   285150, 257114254 req, miss ratio 0.0033, byte miss ratio 0.0033
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst FIFO cache size   570301, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst ARC cache size      712, 257114254 req, miss ratio 0.2556, byte miss ratio 0.2556
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst ARC cache size     2138, 257114254 req, miss ratio 0.1183, byte miss ratio 0.1183
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst ARC cache size     7128, 257114254 req, miss ratio 0.0320, byte miss ratio 0.0320
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst ARC cache size    21386, 257114254 req, miss ratio 0.0076, byte miss ratio 0.0076
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst ARC cache size    71287, 257114254 req, miss ratio 0.0038, byte miss ratio 0.0038
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst ARC cache size   142575, 257114254 req, miss ratio 0.0032, byte miss ratio 0.0032
result/blender_query_metadata_cache.1.oracleGeneral.sample10.zst ARC cache size   285150, 257114254 req, miss ratio 0.0029, byte miss ratio 0.0029
