result/w43.oracleGeneral.bin.zst FIFO cache size  2978066, 15617420 req, miss ratio 0.2622, byte miss ratio 0.2622
result/w43.oracleGeneral.bin.zst LHD cache size     3722, 15617420 req, miss ratio 0.8389, byte miss ratio 0.8389
result/w43.oracleGeneral.bin.zst LHD cache size    11167, 15617420 req, miss ratio 0.8213, byte miss ratio 0.8213
result/w43.oracleGeneral.bin.zst LHD cache size    37225, 15617420 req, miss ratio 0.7777, byte miss ratio 0.7777
result/w43.oracleGeneral.bin.zst LHD cache size   111677, 15617420 req, miss ratio 0.6925, byte miss ratio 0.6925
result/w43.oracleGeneral.bin.zst LHD cache size   372258, 15617420 req, miss ratio 0.5716, byte miss ratio 0.5716
result/w43.oracleGeneral.bin.zst LHD cache size   744516, 15617420 req, miss ratio 0.4299, byte miss ratio 0.4299
result/w43.oracleGeneral.bin.zst LHD cache size  1489033, 15617420 req, miss ratio 0.2888, byte miss ratio 0.2888
result/w43.oracleGeneral.bin.zst LHD cache size  2978066, 15617420 req, miss ratio 0.2417, byte miss ratio 0.2417
result/w43.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3722, 15617420 req, miss ratio 0.8309, byte miss ratio 0.8309
result/w43.oracleGeneral.bin.zst S3FIFO-d-1 cache size    11167, 15617420 req, miss ratio 0.8107, byte miss ratio 0.8107
result/w43.oracleGeneral.bin.zst S3FIFO-d-1 cache size    37225, 15617420 req, miss ratio 0.7430, byte miss ratio 0.7430
result/w43.oracleGeneral.bin.zst S3FIFO-d-1 cache size   111677, 15617420 req, miss ratio 0.6528, byte miss ratio 0.6528
result/w43.oracleGeneral.bin.zst S3FIFO-d-1 cache size   372258, 15617420 req, miss ratio 0.5965, byte miss ratio 0.5965
result/w43.oracleGeneral.bin.zst S3FIFO-d-1 cache size   744516, 15617420 req, miss ratio 0.4545, byte miss ratio 0.4545
result/w43.oracleGeneral.bin.zst S3FIFO-d-1 cache size  1489033, 15617420 req, miss ratio 0.2966, byte miss ratio 0.2966
result/w43.oracleGeneral.bin.zst S3FIFO-d-1 cache size  2978066, 15617420 req, miss ratio 0.2407, byte miss ratio 0.2407
result/w43.oracleGeneral.bin.zst LRB cache size     3722, 15617420 req, miss ratio 0.8427, byte miss ratio 0.8427
result/w43.oracleGeneral.bin.zst LRB cache size    11167, 15617420 req, miss ratio 0.8093, byte miss ratio 0.8093
result/w43.oracleGeneral.bin.zst LRB cache size    37225, 15617420 req, miss ratio 0.7377, byte miss ratio 0.7377
result/w43.oracleGeneral.bin.zst LRB cache size   111677, 15617420 req, miss ratio 0.6558, byte miss ratio 0.6558
result/w43.oracleGeneral.bin.zst LRB cache size   372258, 15617420 req, miss ratio 0.5268, byte miss ratio 0.5268
result/w43.oracleGeneral.bin.zst LRB cache size   744516, 15617420 req, miss ratio 0.4471, byte miss ratio 0.4471
result/w43.oracleGeneral.bin.zst LRB cache size  1489033, 15617420 req, miss ratio 0.2950, byte miss ratio 0.2950
result/w43.oracleGeneral.bin.zst LRB cache size  2978066, 15617420 req, miss ratio 0.2411, byte miss ratio 0.2411
result/w43.oracleGeneral.bin.zst B-LRU cache size     3722, 15617420 req, miss ratio 0.8565, byte miss ratio 0.8565
result/w43.oracleGeneral.bin.zst B-LRU cache size    11167, 15617420 req, miss ratio 0.8375, byte miss ratio 0.8375
result/w43.oracleGeneral.bin.zst B-LRU cache size    37225, 15617420 req, miss ratio 0.8076, byte miss ratio 0.8076
result/w43.oracleGeneral.bin.zst B-LRU cache size   111677, 15617420 req, miss ratio 0.7399, byte miss ratio 0.7399
result/w43.oracleGeneral.bin.zst B-LRU cache size   372258, 15617420 req, miss ratio 0.6459, byte miss ratio 0.6459
result/w43.oracleGeneral.bin.zst B-LRU cache size   744516, 15617420 req, miss ratio 0.4480, byte miss ratio 0.4480
result/w43.oracleGeneral.bin.zst B-LRU cache size  1489033, 15617420 req, miss ratio 0.3599, byte miss ratio 0.3599
result/w43.oracleGeneral.bin.zst B-LRU cache size  2978066, 15617420 req, miss ratio 0.3560, byte miss ratio 0.3560
result/w43.oracleGeneral.bin.zst TwoQ cache size     3722, 15617420 req, miss ratio 0.8308, byte miss ratio 0.8308
result/w43.oracleGeneral.bin.zst TwoQ cache size    11167, 15617420 req, miss ratio 0.8025, byte miss ratio 0.8025
result/w43.oracleGeneral.bin.zst TwoQ cache size    37225, 15617420 req, miss ratio 0.7424, byte miss ratio 0.7424
result/w43.oracleGeneral.bin.zst TwoQ cache size   111677, 15617420 req, miss ratio 0.6653, byte miss ratio 0.6653
result/w43.oracleGeneral.bin.zst TwoQ cache size   372258, 15617420 req, miss ratio 0.5958, byte miss ratio 0.5958
result/w43.oracleGeneral.bin.zst TwoQ cache size   744516, 15617420 req, miss ratio 0.3853, byte miss ratio 0.3853
result/w43.oracleGeneral.bin.zst TwoQ cache size  1489033, 15617420 req, miss ratio 0.3071, byte miss ratio 0.3071
result/w43.oracleGeneral.bin.zst TwoQ cache size  2978066, 15617420 req, miss ratio 0.2622, byte miss ratio 0.2622
result/w43.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3722, 15617420 req, miss ratio 0.8424, byte miss ratio 0.8424
result/w43.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    11167, 15617420 req, miss ratio 0.8276, byte miss ratio 0.8276
result/w43.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    37225, 15617420 req, miss ratio 0.8007, byte miss ratio 0.8007
result/w43.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   111677, 15617420 req, miss ratio 0.7427, byte miss ratio 0.7427
result/w43.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   372258, 15617420 req, miss ratio 0.5961, byte miss ratio 0.5961
result/w43.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   744516, 15617420 req, miss ratio 0.4523, byte miss ratio 0.4523
result/w43.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  1489033, 15617420 req, miss ratio 0.3067, byte miss ratio 0.3067
result/w43.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  2978066, 15617420 req, miss ratio 0.2542, byte miss ratio 0.2542
result/w43.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3722, 15617420 req, miss ratio 0.8360, byte miss ratio 0.8360
result/w43.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    11167, 15617420 req, miss ratio 0.8230, byte miss ratio 0.8230
result/w43.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    37225, 15617420 req, miss ratio 0.7703, byte miss ratio 0.7703
result/w43.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   111677, 15617420 req, miss ratio 0.6879, byte miss ratio 0.6879
result/w43.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   372258, 15617420 req, miss ratio 0.5885, byte miss ratio 0.5885
