result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LIRS cache size 10726458, 121795012 req, miss ratio 0.4828, byte miss ratio 0.4828
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LIRS cache size 21452916, 121795012 req, miss ratio 0.4639, byte miss ratio 0.4639
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LIRS cache size 42905832, 121795012 req, miss ratio 0.4440, byte miss ratio 0.4440
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Cacheus cache size    53632, 121795012 req, miss ratio 0.5289, byte miss ratio 0.5289
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Cacheus cache size   160896, 121795012 req, miss ratio 0.5133, byte miss ratio 0.5133
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Cacheus cache size   536322, 121795012 req, miss ratio 0.5051, byte miss ratio 0.5051
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Cacheus cache size  1608968, 121795012 req, miss ratio 0.4969, byte miss ratio 0.4969
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Cacheus cache size  5363229, 121795012 req, miss ratio 0.4820, byte miss ratio 0.4820
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Cacheus cache size 10726458, 121795012 req, miss ratio 0.4797, byte miss ratio 0.4797
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Cacheus cache size 21452916, 121795012 req, miss ratio 0.4648, byte miss ratio 0.4648
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst Cacheus cache size 42905832, 121795012 req, miss ratio 0.4427, byte miss ratio 0.4427
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size    53632, 121795012 req, miss ratio 0.5110, byte miss ratio 0.5110
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size   160896, 121795012 req, miss ratio 0.5030, byte miss ratio 0.5030
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size   536322, 121795012 req, miss ratio 0.4964, byte miss ratio 0.4964
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size  1608968, 121795012 req, miss ratio 0.4918, byte miss ratio 0.4918
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size  5363229, 121795012 req, miss ratio 0.4862, byte miss ratio 0.4862
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size 10726458, 121795012 req, miss ratio 0.4774, byte miss ratio 0.4774
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size 21452916, 121795012 req, miss ratio 0.4628, byte miss ratio 0.4628
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LHD cache size 42905832, 121795012 req, miss ratio 0.4427, byte miss ratio 0.4427
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    53632, 121795012 req, miss ratio 0.5373, byte miss ratio 0.5373
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   160896, 121795012 req, miss ratio 0.5233, byte miss ratio 0.5233
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   536322, 121795012 req, miss ratio 0.5093, byte miss ratio 0.5093
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  1608968, 121795012 req, miss ratio 0.5001, byte miss ratio 0.5001
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  5363229, 121795012 req, miss ratio 0.4876, byte miss ratio 0.4876
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 10726458, 121795012 req, miss ratio 0.4742, byte miss ratio 0.4742
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 21452916, 121795012 req, miss ratio 0.4583, byte miss ratio 0.4583
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size 42905832, 121795012 req, miss ratio 0.4418, byte miss ratio 0.4418
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    53632, 121795012 req, miss ratio 0.5187, byte miss ratio 0.5187
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   160896, 121795012 req, miss ratio 0.5101, byte miss ratio 0.5101
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   536322, 121795012 req, miss ratio 0.5015, byte miss ratio 0.5015
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1608968, 121795012 req, miss ratio 0.4916, byte miss ratio 0.4916
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  5363229, 121795012 req, miss ratio 0.4816, byte miss ratio 0.4816
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 10726458, 121795012 req, miss ratio 0.4707, byte miss ratio 0.4707
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 21452916, 121795012 req, miss ratio 0.4601, byte miss ratio 0.4601
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 42905832, 121795012 req, miss ratio 0.4448, byte miss ratio 0.4448
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size    53632, 121795012 req, miss ratio 0.5210, byte miss ratio 0.5210
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size   160896, 121795012 req, miss ratio 0.5134, byte miss ratio 0.5134
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size   536322, 121795012 req, miss ratio 0.5048, byte miss ratio 0.5048
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size  1608968, 121795012 req, miss ratio 0.4918, byte miss ratio 0.4918
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size  5363229, 121795012 req, miss ratio 0.4787, byte miss ratio 0.4787
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size 10726458, 121795012 req, miss ratio 0.4685, byte miss ratio 0.4685
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size 21452916, 121795012 req, miss ratio 0.4557, byte miss ratio 0.4557
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst LRB cache size 42905832, 121795012 req, miss ratio 0.4420, byte miss ratio 0.4420
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    53632, 121795012 req, miss ratio 0.5291, byte miss ratio 0.5291
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   160896, 121795012 req, miss ratio 0.5163, byte miss ratio 0.5163
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   536322, 121795012 req, miss ratio 0.5059, byte miss ratio 0.5059
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1608968, 121795012 req, miss ratio 0.4962, byte miss ratio 0.4962
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  5363229, 121795012 req, miss ratio 0.4829, byte miss ratio 0.4829
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 10726458, 121795012 req, miss ratio 0.4727, byte miss ratio 0.4727
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 21452916, 121795012 req, miss ratio 0.4561, byte miss ratio 0.4561
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 42905832, 121795012 req, miss ratio 0.4421, byte miss ratio 0.4421
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size    53632, 121795012 req, miss ratio 0.5265, byte miss ratio 0.5265
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size   160896, 121795012 req, miss ratio 0.5124, byte miss ratio 0.5124
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size   536322, 121795012 req, miss ratio 0.5017, byte miss ratio 0.5017
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1608968, 121795012 req, miss ratio 0.4902, byte miss ratio 0.4902
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size  5363229, 121795012 req, miss ratio 0.4805, byte miss ratio 0.4805
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size 10726458, 121795012 req, miss ratio 0.4696, byte miss ratio 0.4696
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size 21452916, 121795012 req, miss ratio 0.4567, byte miss ratio 0.4567
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst TwoQ cache size 42905832, 121795012 req, miss ratio 0.4423, byte miss ratio 0.4423
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    53632, 121795012 req, miss ratio 0.5277, byte miss ratio 0.5277
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   160896, 121795012 req, miss ratio 0.5145, byte miss ratio 0.5145
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   536322, 121795012 req, miss ratio 0.5049, byte miss ratio 0.5049
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1608968, 121795012 req, miss ratio 0.4968, byte miss ratio 0.4968
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  5363229, 121795012 req, miss ratio 0.4834, byte miss ratio 0.4834
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 10726458, 121795012 req, miss ratio 0.4730, byte miss ratio 0.4730
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 21452916, 121795012 req, miss ratio 0.4573, byte miss ratio 0.4573
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 42905832, 121795012 req, miss ratio 0.4417, byte miss ratio 0.4417
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size    53632, 121795012 req, miss ratio 0.8818, byte miss ratio 0.8818
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size   160896, 121795012 req, miss ratio 0.8789, byte miss ratio 0.8789
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size   536322, 121795012 req, miss ratio 0.8757, byte miss ratio 0.8757
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1608968, 121795012 req, miss ratio 0.8722, byte miss ratio 0.8722
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size  5363229, 121795012 req, miss ratio 0.8654, byte miss ratio 0.8654
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size 10726458, 121795012 req, miss ratio 0.8566, byte miss ratio 0.8566
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size 21452916, 121795012 req, miss ratio 0.8442, byte miss ratio 0.8442
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst B-LRU cache size 42905832, 121795012 req, miss ratio 0.8322, byte miss ratio 0.8322
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    53632, 121795012 req, miss ratio 0.5176, byte miss ratio 0.5176
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   160896, 121795012 req, miss ratio 0.5088, byte miss ratio 0.5088
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   536322, 121795012 req, miss ratio 0.5009, byte miss ratio 0.5009
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  1608968, 121795012 req, miss ratio 0.4921, byte miss ratio 0.4921
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  5363229, 121795012 req, miss ratio 0.4819, byte miss ratio 0.4819
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 10726458, 121795012 req, miss ratio 0.4697, byte miss ratio 0.4697
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 21452916, 121795012 req, miss ratio 0.4561, byte miss ratio 0.4561
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size 42905832, 121795012 req, miss ratio 0.4421, byte miss ratio 0.4421
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    53632, 121795012 req, miss ratio 0.5366, byte miss ratio 0.5366
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   160896, 121795012 req, miss ratio 0.5224, byte miss ratio 0.5224
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   536322, 121795012 req, miss ratio 0.5085, byte miss ratio 0.5085
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  1608968, 121795012 req, miss ratio 0.4979, byte miss ratio 0.4979
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size  5363229, 121795012 req, miss ratio 0.4824, byte miss ratio 0.4824
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 10726458, 121795012 req, miss ratio 0.4697, byte miss ratio 0.4697
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 21452916, 121795012 req, miss ratio 0.4561, byte miss ratio 0.4561
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size 42905832, 121795012 req, miss ratio 0.4421, byte miss ratio 0.4421
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    53632, 121795012 req, miss ratio 0.5829, byte miss ratio 0.5829
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   160896, 121795012 req, miss ratio 0.5586, byte miss ratio 0.5586
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   536322, 121795012 req, miss ratio 0.5353, byte miss ratio 0.5353
result/camera_tweet_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1608968, 121795012 req, miss ratio 0.5194, byte miss ratio 0.5194
