result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size    87839, 654038818 req, miss ratio 0.0014, byte miss ratio 0.0014
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size   175678, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRU cache size      439, 654038818 req, miss ratio 0.2421, byte miss ratio 0.2421
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRU cache size     1317, 654038818 req, miss ratio 0.1463, byte miss ratio 0.1463
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRU cache size     4391, 654038818 req, miss ratio 0.0663, byte miss ratio 0.0663
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRU cache size    13175, 654038818 req, miss ratio 0.0189, byte miss ratio 0.0189
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRU cache size    43919, 654038818 req, miss ratio 0.0033, byte miss ratio 0.0033
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRU cache size    87839, 654038818 req, miss ratio 0.0013, byte miss ratio 0.0013
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRU cache size   175678, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LRU cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size      439, 654038818 req, miss ratio 0.2308, byte miss ratio 0.2308
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size     1317, 654038818 req, miss ratio 0.1397, byte miss ratio 0.1397
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size     4391, 654038818 req, miss ratio 0.0640, byte miss ratio 0.0640
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size    13175, 654038818 req, miss ratio 0.0186, byte miss ratio 0.0186
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size    43919, 654038818 req, miss ratio 0.0033, byte miss ratio 0.0033
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size    87839, 654038818 req, miss ratio 0.0013, byte miss ratio 0.0013
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size   175678, 654038818 req, miss ratio 0.0008, byte miss ratio 0.0008
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst Cacheus cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size      439, 654038818 req, miss ratio 0.2165, byte miss ratio 0.2165
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     1317, 654038818 req, miss ratio 0.1269, byte miss ratio 0.1269
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     4391, 654038818 req, miss ratio 0.0577, byte miss ratio 0.0577
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    13175, 654038818 req, miss ratio 0.0172, byte miss ratio 0.0172
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    43919, 654038818 req, miss ratio 0.0032, byte miss ratio 0.0032
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    87839, 654038818 req, miss ratio 0.0012, byte miss ratio 0.0012
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   175678, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size      439, 654038818 req, miss ratio 0.2346, byte miss ratio 0.2346
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size     1317, 654038818 req, miss ratio 0.1396, byte miss ratio 0.1396
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size     4391, 654038818 req, miss ratio 0.0613, byte miss ratio 0.0613
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size    13175, 654038818 req, miss ratio 0.0182, byte miss ratio 0.0182
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size    43919, 654038818 req, miss ratio 0.0034, byte miss ratio 0.0034
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size    87839, 654038818 req, miss ratio 0.0013, byte miss ratio 0.0013
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size   175678, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst LeCaR cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size      439, 654038818 req, miss ratio 0.2795, byte miss ratio 0.2795
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size     1317, 654038818 req, miss ratio 0.1772, byte miss ratio 0.1772
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size     4391, 654038818 req, miss ratio 0.0866, byte miss ratio 0.0866
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size    13175, 654038818 req, miss ratio 0.0290, byte miss ratio 0.0290
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size    43919, 654038818 req, miss ratio 0.0057, byte miss ratio 0.0057
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size    87839, 654038818 req, miss ratio 0.0021, byte miss ratio 0.0021
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size   175678, 654038818 req, miss ratio 0.0009, byte miss ratio 0.0009
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst FIFO cache size   351357, 654038818 req, miss ratio 0.0007, byte miss ratio 0.0007
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      439, 654038818 req, miss ratio 0.2172, byte miss ratio 0.2172
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1317, 654038818 req, miss ratio 0.1272, byte miss ratio 0.1272
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     4391, 654038818 req, miss ratio 0.0565, byte miss ratio 0.0565
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    13175, 654038818 req, miss ratio 0.0172, byte miss ratio 0.0172
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    43919, 654038818 req, miss ratio 0.0032, byte miss ratio 0.0032
result/timelines_real_time_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    87839, 654038818 req, miss ratio 0.0012, byte miss ratio 0.0012
