result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst B-LRU cache size   969041, 111641628 req, miss ratio 0.1787, byte miss ratio 0.1787
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1938082, 111641628 req, miss ratio 0.1751, byte miss ratio 0.1751
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst B-LRU cache size  3876164, 111641628 req, miss ratio 0.1735, byte miss ratio 0.1735
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst B-LRU cache size  7752328, 111641628 req, miss ratio 0.1728, byte miss ratio 0.1728
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     9690, 111641628 req, miss ratio 0.2133, byte miss ratio 0.2133
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    29071, 111641628 req, miss ratio 0.1666, byte miss ratio 0.1666
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    96904, 111641628 req, miss ratio 0.1277, byte miss ratio 0.1277
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   290712, 111641628 req, miss ratio 0.1052, byte miss ratio 0.1052
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   969041, 111641628 req, miss ratio 0.0935, byte miss ratio 0.0935
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1938082, 111641628 req, miss ratio 0.0898, byte miss ratio 0.0898
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3876164, 111641628 req, miss ratio 0.0875, byte miss ratio 0.0875
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  7752328, 111641628 req, miss ratio 0.0869, byte miss ratio 0.0869
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     9690, 111641628 req, miss ratio 0.2010, byte miss ratio 0.2010
result/search_signal_ingester_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    29071, 111641628 req, miss ratio 0.1585, byte miss ratio 0.1585
