result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     2563, 13737445 req, miss ratio 0.5547, byte miss ratio 0.5547
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     7691, 13737445 req, miss ratio 0.4012, byte miss ratio 0.4012
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    25639, 13737445 req, miss ratio 0.1797, byte miss ratio 0.1797
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    51278, 13737445 req, miss ratio 0.1145, byte miss ratio 0.1145
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   102556, 13737445 req, miss ratio 0.0515, byte miss ratio 0.0515
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   205112, 13737445 req, miss ratio 0.0200, byte miss ratio 0.0200
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      256, 13737445 req, miss ratio 0.7027, byte miss ratio 0.7027
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size      769, 13737445 req, miss ratio 0.6694, byte miss ratio 0.6694
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     2563, 13737445 req, miss ratio 0.5265, byte miss ratio 0.5265
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     7691, 13737445 req, miss ratio 0.3650, byte miss ratio 0.3650
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    25639, 13737445 req, miss ratio 0.1791, byte miss ratio 0.1791
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    51278, 13737445 req, miss ratio 0.1161, byte miss ratio 0.1161
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   102556, 13737445 req, miss ratio 0.0474, byte miss ratio 0.0474
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   205112, 13737445 req, miss ratio 0.0202, byte miss ratio 0.0202
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      256, 13737445 req, miss ratio 0.7054, byte miss ratio 0.7054
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO cache size      769, 13737445 req, miss ratio 0.6681, byte miss ratio 0.6681
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     2563, 13737445 req, miss ratio 0.5284, byte miss ratio 0.5284
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     7691, 13737445 req, miss ratio 0.3678, byte miss ratio 0.3678
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    25639, 13737445 req, miss ratio 0.1853, byte miss ratio 0.1853
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    51278, 13737445 req, miss ratio 0.1165, byte miss ratio 0.1165
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   102556, 13737445 req, miss ratio 0.0476, byte miss ratio 0.0476
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   205112, 13737445 req, miss ratio 0.0201, byte miss ratio 0.0201
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      256, 13737445 req, miss ratio 0.9259, byte miss ratio 0.9259
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size      769, 13737445 req, miss ratio 0.8256, byte miss ratio 0.8256
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     2563, 13737445 req, miss ratio 0.5616, byte miss ratio 0.5616
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     7691, 13737445 req, miss ratio 0.5111, byte miss ratio 0.5111
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    25639, 13737445 req, miss ratio 0.2282, byte miss ratio 0.2282
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    51278, 13737445 req, miss ratio 0.1338, byte miss ratio 0.1338
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   102556, 13737445 req, miss ratio 0.0484, byte miss ratio 0.0484
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   205112, 13737445 req, miss ratio 0.0206, byte miss ratio 0.0206
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      256, 13737445 req, miss ratio 0.7147, byte miss ratio 0.7147
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size      769, 13737445 req, miss ratio 0.6584, byte miss ratio 0.6584
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     2563, 13737445 req, miss ratio 0.5640, byte miss ratio 0.5640
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     7691, 13737445 req, miss ratio 0.4024, byte miss ratio 0.4024
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    25639, 13737445 req, miss ratio 0.2058, byte miss ratio 0.2058
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    51278, 13737445 req, miss ratio 0.1116, byte miss ratio 0.1116
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   102556, 13737445 req, miss ratio 0.0459, byte miss ratio 0.0459
result/timelines_ranked_tweet_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   205112, 13737445 req, miss ratio 0.0215, byte miss ratio 0.0215
