result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   496607, 182558107 req, miss ratio 0.0966, byte miss ratio 0.0966
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1655357, 182558107 req, miss ratio 0.0926, byte miss ratio 0.0926
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  3310715, 182558107 req, miss ratio 0.0916, byte miss ratio 0.0916
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  6621430, 182558107 req, miss ratio 0.0910, byte miss ratio 0.0910
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    16553, 182558107 req, miss ratio 0.1914, byte miss ratio 0.1914
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    49660, 182558107 req, miss ratio 0.1646, byte miss ratio 0.1646
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   165535, 182558107 req, miss ratio 0.1411, byte miss ratio 0.1411
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   496607, 182558107 req, miss ratio 0.1167, byte miss ratio 0.1167
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1655357, 182558107 req, miss ratio 0.1086, byte miss ratio 0.1086
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3310715, 182558107 req, miss ratio 0.1038, byte miss ratio 0.1038
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  6621430, 182558107 req, miss ratio 0.0988, byte miss ratio 0.0988
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 13242861, 182558107 req, miss ratio 0.0924, byte miss ratio 0.0924
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    16553, 182558107 req, miss ratio 0.1381, byte miss ratio 0.1381
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    49660, 182558107 req, miss ratio 0.1275, byte miss ratio 0.1275
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   165535, 182558107 req, miss ratio 0.1186, byte miss ratio 0.1186
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   496607, 182558107 req, miss ratio 0.1095, byte miss ratio 0.1095
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1655357, 182558107 req, miss ratio 0.1014, byte miss ratio 0.1014
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3310715, 182558107 req, miss ratio 0.0971, byte miss ratio 0.0971
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  6621430, 182558107 req, miss ratio 0.0937, byte miss ratio 0.0937
result/cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 13242861, 182558107 req, miss ratio 0.0911, byte miss ratio 0.0911
