result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO cache size    39628, 825591125 req, miss ratio 0.2457, byte miss ratio 0.2457
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO cache size   118886, 825591125 req, miss ratio 0.1769, byte miss ratio 0.1769
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO cache size   396288, 825591125 req, miss ratio 0.1188, byte miss ratio 0.1188
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO cache size  1188865, 825591125 req, miss ratio 0.0829, byte miss ratio 0.0829
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO cache size  3962885, 825591125 req, miss ratio 0.0606, byte miss ratio 0.0606
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO cache size  7925770, 825591125 req, miss ratio 0.0537, byte miss ratio 0.0537
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO cache size 15851541, 825591125 req, miss ratio 0.0505, byte miss ratio 0.0505
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst FIFO cache size 31703082, 825591125 req, miss ratio 0.0487, byte miss ratio 0.0487
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst Clock cache size    39628, 825591125 req, miss ratio 0.2230, byte miss ratio 0.2230
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst Clock cache size   118886, 825591125 req, miss ratio 0.1582, byte miss ratio 0.1582
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst Clock cache size   396288, 825591125 req, miss ratio 0.1054, byte miss ratio 0.1054
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst Clock cache size  1188865, 825591125 req, miss ratio 0.0746, byte miss ratio 0.0746
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst Clock cache size  3962885, 825591125 req, miss ratio 0.0569, byte miss ratio 0.0569
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst Clock cache size  7925770, 825591125 req, miss ratio 0.0519, byte miss ratio 0.0519
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst Clock cache size 15851541, 825591125 req, miss ratio 0.0497, byte miss ratio 0.0497
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst Clock cache size 31703082, 825591125 req, miss ratio 0.0484, byte miss ratio 0.0484
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst clock2 cache size    39628, 825591125 req, miss ratio 0.2078, byte miss ratio 0.2078
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst clock2 cache size   118886, 825591125 req, miss ratio 0.1465, byte miss ratio 0.1465
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst clock2 cache size   396288, 825591125 req, miss ratio 0.0978, byte miss ratio 0.0978
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst clock2 cache size  1188865, 825591125 req, miss ratio 0.0704, byte miss ratio 0.0704
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst clock2 cache size  3962885, 825591125 req, miss ratio 0.0548, byte miss ratio 0.0548
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst clock2 cache size  7925770, 825591125 req, miss ratio 0.0509, byte miss ratio 0.0509
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst clock2 cache size 15851541, 825591125 req, miss ratio 0.0489, byte miss ratio 0.0489
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst clock2 cache size 31703082, 825591125 req, miss ratio 0.0481, byte miss ratio 0.0481
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    39628, 825591125 req, miss ratio 0.2010, byte miss ratio 0.2010
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   118886, 825591125 req, miss ratio 0.1419, byte miss ratio 0.1419
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   396288, 825591125 req, miss ratio 0.0956, byte miss ratio 0.0956
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1188865, 825591125 req, miss ratio 0.0697, byte miss ratio 0.0697
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3962885, 825591125 req, miss ratio 0.0551, byte miss ratio 0.0551
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  7925770, 825591125 req, miss ratio 0.0512, byte miss ratio 0.0512
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 15851541, 825591125 req, miss ratio 0.0494, byte miss ratio 0.0494
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 31703082, 825591125 req, miss ratio 0.0484, byte miss ratio 0.0484
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRB cache size    39628, 825591125 req, miss ratio 0.1828, byte miss ratio 0.1828
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRB cache size   118886, 825591125 req, miss ratio 0.1311, byte miss ratio 0.1311
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRB cache size   396288, 825591125 req, miss ratio 0.0956, byte miss ratio 0.0956
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRB cache size  1188865, 825591125 req, miss ratio 0.0712, byte miss ratio 0.0712
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRB cache size  3962885, 825591125 req, miss ratio 0.0554, byte miss ratio 0.0554
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRB cache size  7925770, 825591125 req, miss ratio 0.0511, byte miss ratio 0.0511
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRB cache size 15851541, 825591125 req, miss ratio 0.0491, byte miss ratio 0.0491
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst LRB cache size 31703082, 825591125 req, miss ratio 0.0481, byte miss ratio 0.0481
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst TwoQ cache size    39628, 825591125 req, miss ratio 0.1839, byte miss ratio 0.1839
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst TwoQ cache size   118886, 825591125 req, miss ratio 0.1334, byte miss ratio 0.1334
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst TwoQ cache size   396288, 825591125 req, miss ratio 0.0942, byte miss ratio 0.0942
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1188865, 825591125 req, miss ratio 0.0723, byte miss ratio 0.0723
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst TwoQ cache size  3962885, 825591125 req, miss ratio 0.0590, byte miss ratio 0.0590
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst TwoQ cache size  7925770, 825591125 req, miss ratio 0.0521, byte miss ratio 0.0521
result/simclusters_v2_entity_cluster_scores_cache.1.oracleGeneral.sample10.zst TwoQ cache size 15851541, 825591125 req, miss ratio 0.0501, byte miss ratio 0.0501
