result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    21597, 108901801 req, miss ratio 0.7221, byte miss ratio 0.7221
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    64792, 108901801 req, miss ratio 0.6372, byte miss ratio 0.6372
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   215976, 108901801 req, miss ratio 0.5189, byte miss ratio 0.5189
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   647929, 108901801 req, miss ratio 0.4125, byte miss ratio 0.4125
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  2159765, 108901801 req, miss ratio 0.3331, byte miss ratio 0.3331
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  4319531, 108901801 req, miss ratio 0.2998, byte miss ratio 0.2998
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  8639062, 108901801 req, miss ratio 0.2535, byte miss ratio 0.2535
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 17278124, 108901801 req, miss ratio 0.2005, byte miss ratio 0.2005
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LRB cache size    21597, 108901801 req, miss ratio 0.6988, byte miss ratio 0.6988
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LRB cache size    64792, 108901801 req, miss ratio 0.6180, byte miss ratio 0.6180
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LRB cache size   215976, 108901801 req, miss ratio 0.5231, byte miss ratio 0.5231
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LRB cache size   647929, 108901801 req, miss ratio 0.4508, byte miss ratio 0.4508
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LRB cache size  2159765, 108901801 req, miss ratio 0.3642, byte miss ratio 0.3642
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LRB cache size  4319531, 108901801 req, miss ratio 0.2873, byte miss ratio 0.2873
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LRB cache size  8639062, 108901801 req, miss ratio 0.2331, byte miss ratio 0.2331
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst LRB cache size 17278124, 108901801 req, miss ratio 0.2003, byte miss ratio 0.2003
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst TwoQ cache size    21597, 108901801 req, miss ratio 0.7183, byte miss ratio 0.7183
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst TwoQ cache size    64792, 108901801 req, miss ratio 0.6332, byte miss ratio 0.6332
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst TwoQ cache size   215976, 108901801 req, miss ratio 0.5334, byte miss ratio 0.5334
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst TwoQ cache size   647929, 108901801 req, miss ratio 0.4356, byte miss ratio 0.4356
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst TwoQ cache size  2159765, 108901801 req, miss ratio 0.3446, byte miss ratio 0.3446
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst TwoQ cache size  4319531, 108901801 req, miss ratio 0.2892, byte miss ratio 0.2892
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst TwoQ cache size  8639062, 108901801 req, miss ratio 0.2477, byte miss ratio 0.2477
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst TwoQ cache size 17278124, 108901801 req, miss ratio 0.2099, byte miss ratio 0.2099
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    21597, 108901801 req, miss ratio 0.7641, byte miss ratio 0.7641
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    64792, 108901801 req, miss ratio 0.6478, byte miss ratio 0.6478
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   215976, 108901801 req, miss ratio 0.5324, byte miss ratio 0.5324
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   647929, 108901801 req, miss ratio 0.4178, byte miss ratio 0.4178
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2159765, 108901801 req, miss ratio 0.3312, byte miss ratio 0.3312
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  4319531, 108901801 req, miss ratio 0.2882, byte miss ratio 0.2882
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  8639062, 108901801 req, miss ratio 0.2361, byte miss ratio 0.2361
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 17278124, 108901801 req, miss ratio 0.2005, byte miss ratio 0.2005
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    21597, 108901801 req, miss ratio 0.7612, byte miss ratio 0.7612
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    64792, 108901801 req, miss ratio 0.6634, byte miss ratio 0.6634
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   215976, 108901801 req, miss ratio 0.5475, byte miss ratio 0.5475
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   647929, 108901801 req, miss ratio 0.4360, byte miss ratio 0.4360
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2159765, 108901801 req, miss ratio 0.3424, byte miss ratio 0.3424
result/timelines_follow_socialproof_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  4319531, 108901801 req, miss ratio 0.3001, byte miss ratio 0.3001
