result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst Cacheus cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst Cacheus cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst Cacheus cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst Cacheus cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst Cacheus cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    17799, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRB cache size    17799, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRB cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRB cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRB cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRB cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRB cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRB cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst LRB cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    17799, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst TwoQ cache size    17799, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst TwoQ cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst TwoQ cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst TwoQ cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst TwoQ cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst TwoQ cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst TwoQ cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst B-LRU cache size    17799, 51790270 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst B-LRU cache size    53397, 51790270 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst B-LRU cache size   177992, 51790270 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst B-LRU cache size   533978, 51790270 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1779928, 51790270 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst B-LRU cache size  3559856, 51790270 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst B-LRU cache size  7119713, 51790270 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst B-LRU cache size 14239427, 51790270 req, miss ratio 0.5198, byte miss ratio 0.5198
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    17799, 51790270 req, miss ratio 0.3438, byte miss ratio 0.3438
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    53397, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   177992, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   533978, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1779928, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3559856, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  7119713, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
result/cuad_ner_url_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 14239427, 51790270 req, miss ratio 0.3437, byte miss ratio 0.3437
