result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst B-LRU cache size     4089, 99119244 req, miss ratio 0.4337, byte miss ratio 0.4337
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst B-LRU cache size    12268, 99119244 req, miss ratio 0.3343, byte miss ratio 0.3343
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst B-LRU cache size    40894, 99119244 req, miss ratio 0.2505, byte miss ratio 0.2505
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst B-LRU cache size   122684, 99119244 req, miss ratio 0.1849, byte miss ratio 0.1849
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst B-LRU cache size   408949, 99119244 req, miss ratio 0.1197, byte miss ratio 0.1197
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst B-LRU cache size   817899, 99119244 req, miss ratio 0.0968, byte miss ratio 0.0968
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1635798, 99119244 req, miss ratio 0.0804, byte miss ratio 0.0804
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst B-LRU cache size  3271596, 99119244 req, miss ratio 0.0768, byte miss ratio 0.0768
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     4089, 99119244 req, miss ratio 0.4446, byte miss ratio 0.4446
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    12268, 99119244 req, miss ratio 0.3482, byte miss ratio 0.3482
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    40894, 99119244 req, miss ratio 0.2541, byte miss ratio 0.2541
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   122684, 99119244 req, miss ratio 0.1829, byte miss ratio 0.1829
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   408949, 99119244 req, miss ratio 0.1179, byte miss ratio 0.1179
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   817899, 99119244 req, miss ratio 0.0876, byte miss ratio 0.0876
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1635798, 99119244 req, miss ratio 0.0625, byte miss ratio 0.0625
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3271596, 99119244 req, miss ratio 0.0431, byte miss ratio 0.0431
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     4089, 99119244 req, miss ratio 0.4351, byte miss ratio 0.4351
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    12268, 99119244 req, miss ratio 0.3313, byte miss ratio 0.3313
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    40894, 99119244 req, miss ratio 0.2360, byte miss ratio 0.2360
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   122684, 99119244 req, miss ratio 0.1664, byte miss ratio 0.1664
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   408949, 99119244 req, miss ratio 0.0999, byte miss ratio 0.0999
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   817899, 99119244 req, miss ratio 0.0718, byte miss ratio 0.0718
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1635798, 99119244 req, miss ratio 0.0502, byte miss ratio 0.0502
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3271596, 99119244 req, miss ratio 0.0421, byte miss ratio 0.0421
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO cache size     4089, 99119244 req, miss ratio 0.4270, byte miss ratio 0.4270
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    12268, 99119244 req, miss ratio 0.3351, byte miss ratio 0.3351
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    40894, 99119244 req, miss ratio 0.2429, byte miss ratio 0.2429
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   122684, 99119244 req, miss ratio 0.1674, byte miss ratio 0.1674
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   408949, 99119244 req, miss ratio 0.1047, byte miss ratio 0.1047
result/atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   817899, 99119244 req, miss ratio 0.0749, byte miss ratio 0.0749
