result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     1730, 15105328 req, miss ratio 0.4860, byte miss ratio 0.4860
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     5190, 15105328 req, miss ratio 0.2106, byte miss ratio 0.2106
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    17301, 15105328 req, miss ratio 0.1709, byte miss ratio 0.1709
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    51905, 15105328 req, miss ratio 0.1474, byte miss ratio 0.1474
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   173018, 15105328 req, miss ratio 0.1289, byte miss ratio 0.1289
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   346037, 15105328 req, miss ratio 0.1222, byte miss ratio 0.1222
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   692074, 15105328 req, miss ratio 0.1185, byte miss ratio 0.1185
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1384149, 15105328 req, miss ratio 0.1154, byte miss ratio 0.1154
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     1730, 15105328 req, miss ratio 0.2533, byte miss ratio 0.2533
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size     5190, 15105328 req, miss ratio 0.2054, byte miss ratio 0.2054
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    17301, 15105328 req, miss ratio 0.1713, byte miss ratio 0.1713
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    51905, 15105328 req, miss ratio 0.1479, byte miss ratio 0.1479
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   173018, 15105328 req, miss ratio 0.1294, byte miss ratio 0.1294
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   346037, 15105328 req, miss ratio 0.1223, byte miss ratio 0.1223
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   692074, 15105328 req, miss ratio 0.1185, byte miss ratio 0.1185
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1384149, 15105328 req, miss ratio 0.1154, byte miss ratio 0.1154
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1730, 15105328 req, miss ratio 0.4157, byte miss ratio 0.4157
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     5190, 15105328 req, miss ratio 0.3648, byte miss ratio 0.3648
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    17301, 15105328 req, miss ratio 0.3207, byte miss ratio 0.3207
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    51905, 15105328 req, miss ratio 0.2241, byte miss ratio 0.2241
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   173018, 15105328 req, miss ratio 0.1486, byte miss ratio 0.1486
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   346037, 15105328 req, miss ratio 0.1385, byte miss ratio 0.1385
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   692074, 15105328 req, miss ratio 0.1285, byte miss ratio 0.1285
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1384149, 15105328 req, miss ratio 0.1178, byte miss ratio 0.1178
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1730, 15105328 req, miss ratio 0.4179, byte miss ratio 0.4179
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     5190, 15105328 req, miss ratio 0.3495, byte miss ratio 0.3495
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    17301, 15105328 req, miss ratio 0.1800, byte miss ratio 0.1800
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    51905, 15105328 req, miss ratio 0.1650, byte miss ratio 0.1650
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   173018, 15105328 req, miss ratio 0.1406, byte miss ratio 0.1406
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   346037, 15105328 req, miss ratio 0.1316, byte miss ratio 0.1316
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   692074, 15105328 req, miss ratio 0.1240, byte miss ratio 0.1240
result/search_signal_query_engagements_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1384149, 15105328 req, miss ratio 0.1163, byte miss ratio 0.1163
