result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    18277, 716920741 req, miss ratio 0.0376, byte miss ratio 0.0376
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    54833, 716920741 req, miss ratio 0.0067, byte miss ratio 0.0067
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   182779, 716920741 req, miss ratio 0.0029, byte miss ratio 0.0029
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   365558, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   731117, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     1827, 716920741 req, miss ratio 0.2871, byte miss ratio 0.2871
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO cache size     5483, 716920741 req, miss ratio 0.1310, byte miss ratio 0.1310
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    18277, 716920741 req, miss ratio 0.0370, byte miss ratio 0.0370
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    54833, 716920741 req, miss ratio 0.0067, byte miss ratio 0.0067
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   182779, 716920741 req, miss ratio 0.0030, byte miss ratio 0.0030
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   365558, 716920741 req, miss ratio 0.0027, byte miss ratio 0.0027
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   731117, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1827, 716920741 req, miss ratio 0.2991, byte miss ratio 0.2991
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     5483, 716920741 req, miss ratio 0.1236, byte miss ratio 0.1236
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    18277, 716920741 req, miss ratio 0.0488, byte miss ratio 0.0488
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    54833, 716920741 req, miss ratio 0.0138, byte miss ratio 0.0138
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   182779, 716920741 req, miss ratio 0.0047, byte miss ratio 0.0047
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   365558, 716920741 req, miss ratio 0.0043, byte miss ratio 0.0043
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   731117, 716920741 req, miss ratio 0.0037, byte miss ratio 0.0037
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1462234, 716920741 req, miss ratio 0.0030, byte miss ratio 0.0030
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1827, 716920741 req, miss ratio 0.2636, byte miss ratio 0.2636
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     5483, 716920741 req, miss ratio 0.1302, byte miss ratio 0.1302
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    18277, 716920741 req, miss ratio 0.0693, byte miss ratio 0.0693
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    54833, 716920741 req, miss ratio 0.0398, byte miss ratio 0.0398
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   182779, 716920741 req, miss ratio 0.0059, byte miss ratio 0.0059
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   365558, 716920741 req, miss ratio 0.0045, byte miss ratio 0.0045
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   731117, 716920741 req, miss ratio 0.0033, byte miss ratio 0.0033
result/content_recommender_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1462234, 716920741 req, miss ratio 0.0026, byte miss ratio 0.0026
