result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size    35975, 282251551 req, miss ratio 0.0284, byte miss ratio 0.0284
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   119917, 282251551 req, miss ratio 0.0129, byte miss ratio 0.0129
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   239835, 282251551 req, miss ratio 0.0084, byte miss ratio 0.0084
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   479670, 282251551 req, miss ratio 0.0062, byte miss ratio 0.0062
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO cache size   959340, 282251551 req, miss ratio 0.0044, byte miss ratio 0.0044
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     1199, 282251551 req, miss ratio 0.2146, byte miss ratio 0.2146
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size     3597, 282251551 req, miss ratio 0.1246, byte miss ratio 0.1246
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    11991, 282251551 req, miss ratio 0.0603, byte miss ratio 0.0603
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size    35975, 282251551 req, miss ratio 0.0284, byte miss ratio 0.0284
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   119917, 282251551 req, miss ratio 0.0129, byte miss ratio 0.0129
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   239835, 282251551 req, miss ratio 0.0084, byte miss ratio 0.0084
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   479670, 282251551 req, miss ratio 0.0062, byte miss ratio 0.0062
result/media_metadata_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size   959340, 282251551 req, miss ratio 0.0044, byte miss ratio 0.0044
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1199, 282251551 req, miss ratio 0.2201, byte miss ratio 0.2201
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     3597, 282251551 req, miss ratio 0.1247, byte miss ratio 0.1247
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    11991, 282251551 req, miss ratio 0.0606, byte miss ratio 0.0606
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    35975, 282251551 req, miss ratio 0.0286, byte miss ratio 0.0286
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   119917, 282251551 req, miss ratio 0.0127, byte miss ratio 0.0127
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   239835, 282251551 req, miss ratio 0.0083, byte miss ratio 0.0083
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   479670, 282251551 req, miss ratio 0.0061, byte miss ratio 0.0061
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   959340, 282251551 req, miss ratio 0.0045, byte miss ratio 0.0045
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1199, 282251551 req, miss ratio 0.2105, byte miss ratio 0.2105
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     3597, 282251551 req, miss ratio 0.1225, byte miss ratio 0.1225
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    11991, 282251551 req, miss ratio 0.0595, byte miss ratio 0.0595
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    35975, 282251551 req, miss ratio 0.0281, byte miss ratio 0.0281
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   119917, 282251551 req, miss ratio 0.0127, byte miss ratio 0.0127
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   239835, 282251551 req, miss ratio 0.0085, byte miss ratio 0.0085
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   479670, 282251551 req, miss ratio 0.0063, byte miss ratio 0.0063
result/media_metadata_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   959340, 282251551 req, miss ratio 0.0046, byte miss ratio 0.0046
