result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size 21079992, 1235361853 req, miss ratio 0.0442, byte miss ratio 0.0442
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst LRB cache size 42159985, 1235361853 req, miss ratio 0.0427, byte miss ratio 0.0427
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    52699, 1235361853 req, miss ratio 0.3241, byte miss ratio 0.3241
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   158099, 1235361853 req, miss ratio 0.1825, byte miss ratio 0.1825
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   526999, 1235361853 req, miss ratio 0.1168, byte miss ratio 0.1168
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1580999, 1235361853 req, miss ratio 0.0880, byte miss ratio 0.0880
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  5269998, 1235361853 req, miss ratio 0.0634, byte miss ratio 0.0634
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 10539996, 1235361853 req, miss ratio 0.0506, byte miss ratio 0.0506
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 21079992, 1235361853 req, miss ratio 0.0446, byte miss ratio 0.0446
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 42159985, 1235361853 req, miss ratio 0.0427, byte miss ratio 0.0427
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    52699, 1235361853 req, miss ratio 0.3472, byte miss ratio 0.3472
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   158099, 1235361853 req, miss ratio 0.2089, byte miss ratio 0.2089
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   526999, 1235361853 req, miss ratio 0.1311, byte miss ratio 0.1311
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1580999, 1235361853 req, miss ratio 0.0961, byte miss ratio 0.0961
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  5269998, 1235361853 req, miss ratio 0.0683, byte miss ratio 0.0683
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 10539996, 1235361853 req, miss ratio 0.0556, byte miss ratio 0.0556
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 21079992, 1235361853 req, miss ratio 0.0462, byte miss ratio 0.0462
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 42159985, 1235361853 req, miss ratio 0.0429, byte miss ratio 0.0429
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size    52699, 1235361853 req, miss ratio 0.3179, byte miss ratio 0.3179
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size   158099, 1235361853 req, miss ratio 0.1894, byte miss ratio 0.1894
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size   526999, 1235361853 req, miss ratio 0.1262, byte miss ratio 0.1262
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1580999, 1235361853 req, miss ratio 0.0919, byte miss ratio 0.0919
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size  5269998, 1235361853 req, miss ratio 0.0652, byte miss ratio 0.0652
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size 10539996, 1235361853 req, miss ratio 0.0560, byte miss ratio 0.0560
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size 21079992, 1235361853 req, miss ratio 0.0467, byte miss ratio 0.0467
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst TwoQ cache size 42159985, 1235361853 req, miss ratio 0.0430, byte miss ratio 0.0430
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size    52699, 1235361853 req, miss ratio 0.3428, byte miss ratio 0.3428
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size   158099, 1235361853 req, miss ratio 0.1985, byte miss ratio 0.1985
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size   526999, 1235361853 req, miss ratio 0.1386, byte miss ratio 0.1386
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size  1580999, 1235361853 req, miss ratio 0.1120, byte miss ratio 0.1120
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size  5269998, 1235361853 req, miss ratio 0.0901, byte miss ratio 0.0901
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size 10539996, 1235361853 req, miss ratio 0.0780, byte miss ratio 0.0780
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size 21079992, 1235361853 req, miss ratio 0.0741, byte miss ratio 0.0741
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst B-LRU cache size 42159985, 1235361853 req, miss ratio 0.0738, byte miss ratio 0.0738
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    52699, 1235361853 req, miss ratio 0.3208, byte miss ratio 0.3208
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   158099, 1235361853 req, miss ratio 0.1806, byte miss ratio 0.1806
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   526999, 1235361853 req, miss ratio 0.1153, byte miss ratio 0.1153
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1580999, 1235361853 req, miss ratio 0.0871, byte miss ratio 0.0871
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  5269998, 1235361853 req, miss ratio 0.0630, byte miss ratio 0.0630
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 10539996, 1235361853 req, miss ratio 0.0543, byte miss ratio 0.0543
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 21079992, 1235361853 req, miss ratio 0.0456, byte miss ratio 0.0456
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 42159985, 1235361853 req, miss ratio 0.0427, byte miss ratio 0.0427
result/exchange_adgroup_metadata_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    52699, 1235361853 req, miss ratio 0.3236, byte miss ratio 0.3236
