result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Cacheus cache size   852468, 9601695 req, miss ratio 0.4441, byte miss ratio 0.4441
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Cacheus cache size  1704936, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Cacheus cache size  3409872, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Clock cache size     4262, 9601695 req, miss ratio 0.4788, byte miss ratio 0.4788
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Clock cache size    12787, 9601695 req, miss ratio 0.4765, byte miss ratio 0.4765
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Clock cache size    42623, 9601695 req, miss ratio 0.4639, byte miss ratio 0.4639
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Clock cache size   127870, 9601695 req, miss ratio 0.4539, byte miss ratio 0.4539
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Clock cache size   426234, 9601695 req, miss ratio 0.4462, byte miss ratio 0.4462
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Clock cache size   852468, 9601695 req, miss ratio 0.4440, byte miss ratio 0.4440
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Clock cache size  1704936, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst Clock cache size  3409872, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     4262, 9601695 req, miss ratio 0.4789, byte miss ratio 0.4789
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    12787, 9601695 req, miss ratio 0.4762, byte miss ratio 0.4762
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    42623, 9601695 req, miss ratio 0.4633, byte miss ratio 0.4633
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   127870, 9601695 req, miss ratio 0.4534, byte miss ratio 0.4534
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   426234, 9601695 req, miss ratio 0.4461, byte miss ratio 0.4461
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   852468, 9601695 req, miss ratio 0.4441, byte miss ratio 0.4441
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1704936, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3409872, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LRB cache size     4262, 9601695 req, miss ratio 0.4788, byte miss ratio 0.4788
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LRB cache size    12787, 9601695 req, miss ratio 0.4764, byte miss ratio 0.4764
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LRB cache size    42623, 9601695 req, miss ratio 0.4636, byte miss ratio 0.4636
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LRB cache size   127870, 9601695 req, miss ratio 0.4536, byte miss ratio 0.4536
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LRB cache size   426234, 9601695 req, miss ratio 0.4460, byte miss ratio 0.4460
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LRB cache size   852468, 9601695 req, miss ratio 0.4440, byte miss ratio 0.4440
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LRB cache size  1704936, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst LRB cache size  3409872, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     4262, 9601695 req, miss ratio 0.4786, byte miss ratio 0.4786
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    12787, 9601695 req, miss ratio 0.4751, byte miss ratio 0.4751
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    42623, 9601695 req, miss ratio 0.4666, byte miss ratio 0.4666
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   127870, 9601695 req, miss ratio 0.4567, byte miss ratio 0.4567
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   426234, 9601695 req, miss ratio 0.4483, byte miss ratio 0.4483
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   852468, 9601695 req, miss ratio 0.4452, byte miss ratio 0.4452
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1704936, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3409872, 9601695 req, miss ratio 0.4439, byte miss ratio 0.4439
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst TwoQ cache size     4262, 9601695 req, miss ratio 0.4802, byte miss ratio 0.4802
result/twemcache_video_spam_cache.1.oracleGeneral.sample10.zst TwoQ cache size    12787, 9601695 req, miss ratio 0.4776, byte miss ratio 0.4776
