result/user_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size    59545, 35514911 req, miss ratio 0.0691, byte miss ratio 0.0691
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size   119090, 35514911 req, miss ratio 0.0501, byte miss ratio 0.0501
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size   238181, 35514911 req, miss ratio 0.0304, byte miss ratio 0.0304
result/user_aggregates_cache.1.oracleGeneral.sample10.zst Clock cache size   476362, 35514911 req, miss ratio 0.0183, byte miss ratio 0.0183
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      595, 35514911 req, miss ratio 0.2889, byte miss ratio 0.2889
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1786, 35514911 req, miss ratio 0.2192, byte miss ratio 0.2192
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     5954, 35514911 req, miss ratio 0.1512, byte miss ratio 0.1512
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    17863, 35514911 req, miss ratio 0.1055, byte miss ratio 0.1055
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    59545, 35514911 req, miss ratio 0.0654, byte miss ratio 0.0654
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   119090, 35514911 req, miss ratio 0.0441, byte miss ratio 0.0441
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   238181, 35514911 req, miss ratio 0.0274, byte miss ratio 0.0274
result/user_aggregates_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   476362, 35514911 req, miss ratio 0.0183, byte miss ratio 0.0183
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size      595, 35514911 req, miss ratio 0.3407, byte miss ratio 0.3407
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size     1786, 35514911 req, miss ratio 0.2447, byte miss ratio 0.2447
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size     5954, 35514911 req, miss ratio 0.1635, byte miss ratio 0.1635
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size    17863, 35514911 req, miss ratio 0.1114, byte miss ratio 0.1114
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size    59545, 35514911 req, miss ratio 0.0690, byte miss ratio 0.0690
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size   119090, 35514911 req, miss ratio 0.0469, byte miss ratio 0.0469
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size   238181, 35514911 req, miss ratio 0.0294, byte miss ratio 0.0294
result/user_aggregates_cache.1.oracleGeneral.sample10.zst LRB cache size   476362, 35514911 req, miss ratio 0.0179, byte miss ratio 0.0179
result/user_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size      595, 35514911 req, miss ratio 0.3041, byte miss ratio 0.3041
result/user_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size     1786, 35514911 req, miss ratio 0.2380, byte miss ratio 0.2380
result/user_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size     5954, 35514911 req, miss ratio 0.1698, byte miss ratio 0.1698
result/user_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size    17863, 35514911 req, miss ratio 0.1250, byte miss ratio 0.1250
result/user_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size    59545, 35514911 req, miss ratio 0.0841, byte miss ratio 0.0841
result/user_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size   119090, 35514911 req, miss ratio 0.0653, byte miss ratio 0.0653
result/user_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size   238181, 35514911 req, miss ratio 0.0451, byte miss ratio 0.0451
result/user_aggregates_cache.1.oracleGeneral.sample10.zst B-LRU cache size   476362, 35514911 req, miss ratio 0.0342, byte miss ratio 0.0342
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      595, 35514911 req, miss ratio 0.3074, byte miss ratio 0.3074
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1786, 35514911 req, miss ratio 0.2362, byte miss ratio 0.2362
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     5954, 35514911 req, miss ratio 0.1652, byte miss ratio 0.1652
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    17863, 35514911 req, miss ratio 0.1158, byte miss ratio 0.1158
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    59545, 35514911 req, miss ratio 0.0710, byte miss ratio 0.0710
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   119090, 35514911 req, miss ratio 0.0479, byte miss ratio 0.0479
result/user_aggregates_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   238181, 35514911 req, miss ratio 0.0298, byte miss ratio 0.0298
