w32.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     3690, 20776392 req, miss ratio 0.7797, byte miss ratio 0.7797
w32.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    11071, 20776392 req, miss ratio 0.7649, byte miss ratio 0.7649
w32.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    36903, 20776392 req, miss ratio 0.7332, byte miss ratio 0.7332
w32.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   110711, 20776392 req, miss ratio 0.6968, byte miss ratio 0.6968
w32.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   369039, 20776392 req, miss ratio 0.6543, byte miss ratio 0.6543
w32.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   738079, 20776392 req, miss ratio 0.4766, byte miss ratio 0.4766
w32.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3347, byte miss ratio 0.3347
w32.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size  2952319, 20776392 req, miss ratio 0.2165, byte miss ratio 0.2165
w32.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     3690, 20776392 req, miss ratio 0.7679, byte miss ratio 0.7679
w32.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    11071, 20776392 req, miss ratio 0.7504, byte miss ratio 0.7504
w32.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    36903, 20776392 req, miss ratio 0.7229, byte miss ratio 0.7229
w32.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   110711, 20776392 req, miss ratio 0.6983, byte miss ratio 0.6983
w32.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   369039, 20776392 req, miss ratio 0.6684, byte miss ratio 0.6684
w32.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   738079, 20776392 req, miss ratio 0.5220, byte miss ratio 0.5220
w32.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size  1476159, 20776392 req, miss ratio 0.3828, byte miss ratio 0.3828
w32.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size  2952319, 20776392 req, miss ratio 0.2542, byte miss ratio 0.2542
w32.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size     3690, 20776392 req, miss ratio 0.7810, byte miss ratio 0.7810
w32.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size    11071, 20776392 req, miss ratio 0.7653, byte miss ratio 0.7653
w32.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size    36903, 20776392 req, miss ratio 0.7336, byte miss ratio 0.7336
w32.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size   110711, 20776392 req, miss ratio 0.6971, byte miss ratio 0.6971
w32.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size   369039, 20776392 req, miss ratio 0.6596, byte miss ratio 0.6596
w32.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size   738079, 20776392 req, miss ratio 0.4790, byte miss ratio 0.4790
w32.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size  1476159, 20776392 req, miss ratio 0.3347, byte miss ratio 0.3347
w32.oracleGeneral.bin.zst S3FIFO-0.0050-0.9000 cache size  2952319, 20776392 req, miss ratio 0.2165, byte miss ratio 0.2165
w32.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size     3690, 20776392 req, miss ratio 0.7835, byte miss ratio 0.7835
w32.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size    11071, 20776392 req, miss ratio 0.7660, byte miss ratio 0.7660
w32.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size    36903, 20776392 req, miss ratio 0.7345, byte miss ratio 0.7345
w32.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size   110711, 20776392 req, miss ratio 0.6983, byte miss ratio 0.6983
w32.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size   369039, 20776392 req, miss ratio 0.6642, byte miss ratio 0.6642
w32.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size   738079, 20776392 req, miss ratio 0.4905, byte miss ratio 0.4905
w32.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size  1476159, 20776392 req, miss ratio 0.3367, byte miss ratio 0.3367
w32.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size  2952319, 20776392 req, miss ratio 0.2166, byte miss ratio 0.2166
w32.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size     3690, 20776392 req, miss ratio 0.7716, byte miss ratio 0.7716
w32.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size    11071, 20776392 req, miss ratio 0.7551, byte miss ratio 0.7551
w32.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size    36903, 20776392 req, miss ratio 0.7314, byte miss ratio 0.7314
w32.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size   110711, 20776392 req, miss ratio 0.7101, byte miss ratio 0.7101
w32.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size   369039, 20776392 req, miss ratio 0.6355, byte miss ratio 0.6355
w32.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size   738079, 20776392 req, miss ratio 0.5258, byte miss ratio 0.5258
w32.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3944, byte miss ratio 0.3944
w32.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size  2952319, 20776392 req, miss ratio 0.2724, byte miss ratio 0.2724
w32.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size     3690, 20776392 req, miss ratio 0.7749, byte miss ratio 0.7749
w32.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size    11071, 20776392 req, miss ratio 0.7516, byte miss ratio 0.7516
w32.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size    36903, 20776392 req, miss ratio 0.7178, byte miss ratio 0.7178
w32.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   110711, 20776392 req, miss ratio 0.6842, byte miss ratio 0.6842
w32.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   369039, 20776392 req, miss ratio 0.6610, byte miss ratio 0.6610
w32.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size   738079, 20776392 req, miss ratio 0.5047, byte miss ratio 0.5047
w32.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3564, byte miss ratio 0.3564
w32.oracleGeneral.bin.zst S3FIFO-0.2500-1.9000 cache size  2952319, 20776392 req, miss ratio 0.2416, byte miss ratio 0.2416
w32.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     3690, 20776392 req, miss ratio 0.7776, byte miss ratio 0.7776
w32.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size    11071, 20776392 req, miss ratio 0.7593, byte miss ratio 0.7593
w32.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size    36903, 20776392 req, miss ratio 0.7185, byte miss ratio 0.7185
w32.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size   110711, 20776392 req, miss ratio 0.6836, byte miss ratio 0.6836
w32.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size   369039, 20776392 req, miss ratio 0.6507, byte miss ratio 0.6507
w32.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size   738079, 20776392 req, miss ratio 0.4804, byte miss ratio 0.4804
w32.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size  1476159, 20776392 req, miss ratio 0.3345, byte miss ratio 0.3345
w32.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size  2952319, 20776392 req, miss ratio 0.2254, byte miss ratio 0.2254
w32.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size     3690, 20776392 req, miss ratio 0.7681, byte miss ratio 0.7681
w32.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    11071, 20776392 req, miss ratio 0.7500, byte miss ratio 0.7500
w32.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    36903, 20776392 req, miss ratio 0.7213, byte miss ratio 0.7213
