notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.1000 cache size   100054, 103050873 req, miss ratio 0.9756, byte miss ratio 0.9756
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.1000 cache size   300164, 103050873 req, miss ratio 0.9742, byte miss ratio 0.9742
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.1000 cache size  1000547, 103050873 req, miss ratio 0.9718, byte miss ratio 0.9718
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.1000 cache size  3001641, 103050873 req, miss ratio 0.9716, byte miss ratio 0.9716
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.1000 cache size 10005472, 103050873 req, miss ratio 0.9714, byte miss ratio 0.9714
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.1000 cache size 20010944, 103050873 req, miss ratio 0.9712, byte miss ratio 0.9712
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.1000 cache size 40021889, 103050873 req, miss ratio 0.9711, byte miss ratio 0.9711
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.1000 cache size 80043778, 103050873 req, miss ratio 0.9709, byte miss ratio 0.9709
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.7000 cache size   100054, 103050873 req, miss ratio 0.9745, byte miss ratio 0.9745
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.7000 cache size   300164, 103050873 req, miss ratio 0.9719, byte miss ratio 0.9719
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.7000 cache size  1000547, 103050873 req, miss ratio 0.9718, byte miss ratio 0.9718
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.7000 cache size  3001641, 103050873 req, miss ratio 0.9716, byte miss ratio 0.9716
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.7000 cache size 10005472, 103050873 req, miss ratio 0.9714, byte miss ratio 0.9714
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.7000 cache size 20010944, 103050873 req, miss ratio 0.9712, byte miss ratio 0.9712
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.7000 cache size 40021889, 103050873 req, miss ratio 0.9711, byte miss ratio 0.9711
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.7000 cache size 80043778, 103050873 req, miss ratio 0.9709, byte miss ratio 0.9709
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.8000 cache size   100054, 103050873 req, miss ratio 0.9750, byte miss ratio 0.9750
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.8000 cache size   300164, 103050873 req, miss ratio 0.9719, byte miss ratio 0.9719
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.8000 cache size  1000547, 103050873 req, miss ratio 0.9718, byte miss ratio 0.9718
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.8000 cache size  3001641, 103050873 req, miss ratio 0.9716, byte miss ratio 0.9716
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.8000 cache size 10005472, 103050873 req, miss ratio 0.9714, byte miss ratio 0.9714
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.8000 cache size 20010944, 103050873 req, miss ratio 0.9712, byte miss ratio 0.9712
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.8000 cache size 40021889, 103050873 req, miss ratio 0.9711, byte miss ratio 0.9711
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.8000 cache size 80043778, 103050873 req, miss ratio 0.9709, byte miss ratio 0.9709
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.5000 cache size   100054, 103050873 req, miss ratio 0.9770, byte miss ratio 0.9770
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.5000 cache size   300164, 103050873 req, miss ratio 0.9719, byte miss ratio 0.9719
notification_deduping_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7500-0.5000 cache size  1000547, 103050873 req, miss ratio 0.9718, byte miss ratio 0.9718
