timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size 16516789, 103671855 req, miss ratio 0.2050, byte miss ratio 0.2050
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    20645, 103671855 req, miss ratio 0.7283, byte miss ratio 0.7283
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    61937, 103671855 req, miss ratio 0.6365, byte miss ratio 0.6365
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   206459, 103671855 req, miss ratio 0.5209, byte miss ratio 0.5209
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   619379, 103671855 req, miss ratio 0.4131, byte miss ratio 0.4131
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  2064598, 103671855 req, miss ratio 0.3307, byte miss ratio 0.3307
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  4129197, 103671855 req, miss ratio 0.2852, byte miss ratio 0.2852
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  8258394, 103671855 req, miss ratio 0.2343, byte miss ratio 0.2343
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size 16516789, 103671855 req, miss ratio 0.2013, byte miss ratio 0.2013
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    20645, 103671855 req, miss ratio 0.7493, byte miss ratio 0.7493
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    61937, 103671855 req, miss ratio 0.6570, byte miss ratio 0.6570
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   206459, 103671855 req, miss ratio 0.5475, byte miss ratio 0.5475
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   619379, 103671855 req, miss ratio 0.4306, byte miss ratio 0.4306
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  2064598, 103671855 req, miss ratio 0.3443, byte miss ratio 0.3443
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  4129197, 103671855 req, miss ratio 0.2996, byte miss ratio 0.2996
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size  8258394, 103671855 req, miss ratio 0.2441, byte miss ratio 0.2441
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size 16516789, 103671855 req, miss ratio 0.2019, byte miss ratio 0.2019
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    20645, 103671855 req, miss ratio 0.7726, byte miss ratio 0.7726
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    61937, 103671855 req, miss ratio 0.6828, byte miss ratio 0.6828
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   206459, 103671855 req, miss ratio 0.5707, byte miss ratio 0.5707
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   619379, 103671855 req, miss ratio 0.4548, byte miss ratio 0.4548
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  2064598, 103671855 req, miss ratio 0.3580, byte miss ratio 0.3580
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  4129197, 103671855 req, miss ratio 0.3107, byte miss ratio 0.3107
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  8258394, 103671855 req, miss ratio 0.2534, byte miss ratio 0.2534
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size 16516789, 103671855 req, miss ratio 0.2063, byte miss ratio 0.2063
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    20645, 103671855 req, miss ratio 0.7239, byte miss ratio 0.7239
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    61937, 103671855 req, miss ratio 0.6352, byte miss ratio 0.6352
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   206459, 103671855 req, miss ratio 0.5197, byte miss ratio 0.5197
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   619379, 103671855 req, miss ratio 0.4114, byte miss ratio 0.4114
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  2064598, 103671855 req, miss ratio 0.3310, byte miss ratio 0.3310
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  4129197, 103671855 req, miss ratio 0.2863, byte miss ratio 0.2863
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  8258394, 103671855 req, miss ratio 0.2338, byte miss ratio 0.2338
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 16516789, 103671855 req, miss ratio 0.2013, byte miss ratio 0.2013
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    20645, 103671855 req, miss ratio 0.7241, byte miss ratio 0.7241
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    61937, 103671855 req, miss ratio 0.6336, byte miss ratio 0.6336
timelines_follow_socialproof_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   206459, 103671855 req, miss ratio 0.5205, byte miss ratio 0.5205
