cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size    38864, 239772077 req, miss ratio 0.0298, byte miss ratio 0.0298
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   129548, 239772077 req, miss ratio 0.0103, byte miss ratio 0.0103
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   259096, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size     1295, 239772077 req, miss ratio 0.1865, byte miss ratio 0.1865
cluster30.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size     3886, 239772077 req, miss ratio 0.1111, byte miss ratio 0.1111
cluster30.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size    12954, 239772077 req, miss ratio 0.0574, byte miss ratio 0.0574
cluster30.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size    38864, 239772077 req, miss ratio 0.0234, byte miss ratio 0.0234
cluster30.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size   129548, 239772077 req, miss ratio 0.0086, byte miss ratio 0.0086
cluster30.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size   259096, 239772077 req, miss ratio 0.0057, byte miss ratio 0.0057
cluster30.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size     1295, 239772077 req, miss ratio 0.1752, byte miss ratio 0.1752
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size     3886, 239772077 req, miss ratio 0.1046, byte miss ratio 0.1046
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    12954, 239772077 req, miss ratio 0.0541, byte miss ratio 0.0541
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    38864, 239772077 req, miss ratio 0.0221, byte miss ratio 0.0221
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   129548, 239772077 req, miss ratio 0.0085, byte miss ratio 0.0085
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   259096, 239772077 req, miss ratio 0.0059, byte miss ratio 0.0059
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   518192, 239772077 req, miss ratio 0.0055, byte miss ratio 0.0055
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     1295, 239772077 req, miss ratio 0.1997, byte miss ratio 0.1997
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     3886, 239772077 req, miss ratio 0.1187, byte miss ratio 0.1187
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    12954, 239772077 req, miss ratio 0.0609, byte miss ratio 0.0609
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    38864, 239772077 req, miss ratio 0.0250, byte miss ratio 0.0250
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   129548, 239772077 req, miss ratio 0.0090, byte miss ratio 0.0090
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   259096, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size     1295, 239772077 req, miss ratio 0.1729, byte miss ratio 0.1729
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size     3886, 239772077 req, miss ratio 0.1030, byte miss ratio 0.1030
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    12954, 239772077 req, miss ratio 0.0517, byte miss ratio 0.0517
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    38864, 239772077 req, miss ratio 0.0209, byte miss ratio 0.0209
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   129548, 239772077 req, miss ratio 0.0087, byte miss ratio 0.0087
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   259096, 239772077 req, miss ratio 0.0069, byte miss ratio 0.0069
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   518192, 239772077 req, miss ratio 0.0055, byte miss ratio 0.0055
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size     1295, 239772077 req, miss ratio 0.2047, byte miss ratio 0.2047
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size     3886, 239772077 req, miss ratio 0.1215, byte miss ratio 0.1215
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    12954, 239772077 req, miss ratio 0.0621, byte miss ratio 0.0621
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    38864, 239772077 req, miss ratio 0.0255, byte miss ratio 0.0255
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   129548, 239772077 req, miss ratio 0.0091, byte miss ratio 0.0091
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   259096, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size     1295, 239772077 req, miss ratio 0.1728, byte miss ratio 0.1728
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size     3886, 239772077 req, miss ratio 0.1022, byte miss ratio 0.1022
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    12954, 239772077 req, miss ratio 0.0528, byte miss ratio 0.0528
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    38864, 239772077 req, miss ratio 0.0212, byte miss ratio 0.0212
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   129548, 239772077 req, miss ratio 0.0087, byte miss ratio 0.0087
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   259096, 239772077 req, miss ratio 0.0069, byte miss ratio 0.0069
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   518192, 239772077 req, miss ratio 0.0055, byte miss ratio 0.0055
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size     1295, 239772077 req, miss ratio 0.2525, byte miss ratio 0.2525
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size     3886, 239772077 req, miss ratio 0.1490, byte miss ratio 0.1490
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    12954, 239772077 req, miss ratio 0.0739, byte miss ratio 0.0739
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    38864, 239772077 req, miss ratio 0.0309, byte miss ratio 0.0309
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   129548, 239772077 req, miss ratio 0.0107, byte miss ratio 0.0107
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   259096, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size     1295, 239772077 req, miss ratio 0.1761, byte miss ratio 0.1761
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size     3886, 239772077 req, miss ratio 0.1055, byte miss ratio 0.1055
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    12954, 239772077 req, miss ratio 0.0544, byte miss ratio 0.0544
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    38864, 239772077 req, miss ratio 0.0219, byte miss ratio 0.0219
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   129548, 239772077 req, miss ratio 0.0085, byte miss ratio 0.0085
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   259096, 239772077 req, miss ratio 0.0062, byte miss ratio 0.0062
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size     1295, 239772077 req, miss ratio 0.2455, byte miss ratio 0.2455
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size     3886, 239772077 req, miss ratio 0.1449, byte miss ratio 0.1449
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size    12954, 239772077 req, miss ratio 0.0721, byte miss ratio 0.0721
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size    38864, 239772077 req, miss ratio 0.0301, byte miss ratio 0.0301
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   129548, 239772077 req, miss ratio 0.0103, byte miss ratio 0.0103
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   259096, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size     1295, 239772077 req, miss ratio 0.2335, byte miss ratio 0.2335
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size     3886, 239772077 req, miss ratio 0.1370, byte miss ratio 0.1370
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    12954, 239772077 req, miss ratio 0.0681, byte miss ratio 0.0681
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size    38864, 239772077 req, miss ratio 0.0284, byte miss ratio 0.0284
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   129548, 239772077 req, miss ratio 0.0097, byte miss ratio 0.0097
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   259096, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7500-1.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size     1295, 239772077 req, miss ratio 0.2208, byte miss ratio 0.2208
cluster30.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size     3886, 239772077 req, miss ratio 0.1306, byte miss ratio 0.1306
cluster30.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    12954, 239772077 req, miss ratio 0.0661, byte miss ratio 0.0661
cluster30.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    38864, 239772077 req, miss ratio 0.0273, byte miss ratio 0.0273
cluster30.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   129548, 239772077 req, miss ratio 0.0094, byte miss ratio 0.0094
cluster30.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   259096, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size     1295, 239772077 req, miss ratio 0.1831, byte miss ratio 0.1831
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size     3886, 239772077 req, miss ratio 0.1095, byte miss ratio 0.1095
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    12954, 239772077 req, miss ratio 0.0563, byte miss ratio 0.0563
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    38864, 239772077 req, miss ratio 0.0226, byte miss ratio 0.0226
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   129548, 239772077 req, miss ratio 0.0086, byte miss ratio 0.0086
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   259096, 239772077 req, miss ratio 0.0056, byte miss ratio 0.0056
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     1295, 239772077 req, miss ratio 0.1724, byte miss ratio 0.1724
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     3886, 239772077 req, miss ratio 0.1027, byte miss ratio 0.1027
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    12954, 239772077 req, miss ratio 0.0531, byte miss ratio 0.0531
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    38864, 239772077 req, miss ratio 0.0213, byte miss ratio 0.0213
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   129548, 239772077 req, miss ratio 0.0086, byte miss ratio 0.0086
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   259096, 239772077 req, miss ratio 0.0068, byte miss ratio 0.0068
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   518192, 239772077 req, miss ratio 0.0055, byte miss ratio 0.0055
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size     1295, 239772077 req, miss ratio 0.2625, byte miss ratio 0.2625
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size     3886, 239772077 req, miss ratio 0.1538, byte miss ratio 0.1538
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size    12954, 239772077 req, miss ratio 0.0754, byte miss ratio 0.0754
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size    38864, 239772077 req, miss ratio 0.0321, byte miss ratio 0.0321
