cdn1_allcolo.ns2507 S3FIFO-0.9000-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.3500-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3500-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3500-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3500-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3500-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.1500-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.1500-0.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.5500-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.5500-0.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7000-1.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.7000-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.7000-1.9000 cache size    14985, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.7000-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7000-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7000-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7000-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7000-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-1.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.5000-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.5000-1.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.8500-1.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.8500-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.8500-1.9000 cache size    14985, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.8500-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.8500-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.8500-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.8500-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.8500-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-1.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.1500-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.1500-1.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.1500-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0010-0.9000 cache size     1498, 1514403 req, miss ratio 0.9898, byte miss ratio 0.9898
cdn1_allcolo.ns2507 S3FIFO-0.0010-0.9000 cache size     4495, 1514403 req, miss ratio 0.9898, byte miss ratio 0.9898
cdn1_allcolo.ns2507 S3FIFO-0.0010-0.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0010-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0010-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0010-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0010-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0010-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7500-1.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.7500-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.7500-1.9000 cache size    14985, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.7500-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7500-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7500-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7500-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7500-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0050-1.9000 cache size     1498, 1514403 req, miss ratio 0.9898, byte miss ratio 0.9898
cdn1_allcolo.ns2507 S3FIFO-0.0050-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.0050-1.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0050-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0050-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0050-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0050-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0050-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.9000-1.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.9000-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.9000-1.9000 cache size    14985, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.9000-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.9000-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.9000-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.9000-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.9000-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7000-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.7000-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.7000-0.9000 cache size    14985, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.7000-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7000-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7000-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7000-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.7000-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-1.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.3000-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.3000-1.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.3000-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.3000-0.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.3000-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.8000-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.8000-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.8000-0.9000 cache size    14985, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.8000-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.8000-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.8000-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.8000-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.8000-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.5000-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.5000-0.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5000-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-1.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.2000-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.2000-1.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.2000-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-1.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.5500-1.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.5500-1.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-1.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-1.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-1.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-1.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.5500-1.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0500-0.9000 cache size     1498, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.0500-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.0500-0.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0500-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0500-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0500-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0500-0.9000 cache size   599437, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0500-0.9000 cache size  1198874, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0100-0.9000 cache size     1498, 1514403 req, miss ratio 0.9898, byte miss ratio 0.9898
cdn1_allcolo.ns2507 S3FIFO-0.0100-0.9000 cache size     4495, 1514403 req, miss ratio 0.9897, byte miss ratio 0.9897
cdn1_allcolo.ns2507 S3FIFO-0.0100-0.9000 cache size    14985, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0100-0.9000 cache size    44957, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0100-0.9000 cache size   149859, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
cdn1_allcolo.ns2507 S3FIFO-0.0100-0.9000 cache size   299718, 1514403 req, miss ratio 0.9896, byte miss ratio 0.9896
