sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     4092, 4080605 req, miss ratio 0.3243, byte miss ratio 0.3243
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    13640, 4080605 req, miss ratio 0.2002, byte miss ratio 0.2002
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    27280, 4080605 req, miss ratio 0.1310, byte miss ratio 0.1310
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    54560, 4080605 req, miss ratio 0.0699, byte miss ratio 0.0699
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   109121, 4080605 req, miss ratio 0.0383, byte miss ratio 0.0383
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.3000 cache size      136, 4080605 req, miss ratio 0.7149, byte miss ratio 0.7149
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.3000 cache size      409, 4080605 req, miss ratio 0.5827, byte miss ratio 0.5827
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.3000 cache size     1364, 4080605 req, miss ratio 0.4226, byte miss ratio 0.4226
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.3000 cache size     4092, 4080605 req, miss ratio 0.3119, byte miss ratio 0.3119
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.3000 cache size    13640, 4080605 req, miss ratio 0.2049, byte miss ratio 0.2049
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.3000 cache size    27280, 4080605 req, miss ratio 0.1470, byte miss ratio 0.1470
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.3000 cache size    54560, 4080605 req, miss ratio 0.0913, byte miss ratio 0.0913
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.3000 cache size   109121, 4080605 req, miss ratio 0.0406, byte miss ratio 0.0406
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size      136, 4080605 req, miss ratio 0.6978, byte miss ratio 0.6978
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size      409, 4080605 req, miss ratio 0.5753, byte miss ratio 0.5753
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     1364, 4080605 req, miss ratio 0.4227, byte miss ratio 0.4227
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     4092, 4080605 req, miss ratio 0.3030, byte miss ratio 0.3030
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    13640, 4080605 req, miss ratio 0.1932, byte miss ratio 0.1932
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    27280, 4080605 req, miss ratio 0.1304, byte miss ratio 0.1304
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    54560, 4080605 req, miss ratio 0.0719, byte miss ratio 0.0719
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   109121, 4080605 req, miss ratio 0.0383, byte miss ratio 0.0383
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size      136, 4080605 req, miss ratio 0.7022, byte miss ratio 0.7022
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size      409, 4080605 req, miss ratio 0.5748, byte miss ratio 0.5748
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size     1364, 4080605 req, miss ratio 0.4185, byte miss ratio 0.4185
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size     4092, 4080605 req, miss ratio 0.3006, byte miss ratio 0.3006
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size    13640, 4080605 req, miss ratio 0.1928, byte miss ratio 0.1928
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size    27280, 4080605 req, miss ratio 0.1316, byte miss ratio 0.1316
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size    54560, 4080605 req, miss ratio 0.0731, byte miss ratio 0.0731
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-0.6000 cache size   109121, 4080605 req, miss ratio 0.0383, byte miss ratio 0.0383
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.5000 cache size      136, 4080605 req, miss ratio 0.7032, byte miss ratio 0.7032
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.5000 cache size      409, 4080605 req, miss ratio 0.5713, byte miss ratio 0.5713
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.5000 cache size     1364, 4080605 req, miss ratio 0.4127, byte miss ratio 0.4127
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.5000 cache size     4092, 4080605 req, miss ratio 0.2991, byte miss ratio 0.2991
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.5000 cache size    13640, 4080605 req, miss ratio 0.1936, byte miss ratio 0.1936
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.5000 cache size    27280, 4080605 req, miss ratio 0.1343, byte miss ratio 0.1343
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.5000 cache size    54560, 4080605 req, miss ratio 0.0760, byte miss ratio 0.0760
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.5000 cache size   109121, 4080605 req, miss ratio 0.0383, byte miss ratio 0.0383
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.5000 cache size      136, 4080605 req, miss ratio 0.7154, byte miss ratio 0.7154
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.5000 cache size      409, 4080605 req, miss ratio 0.5830, byte miss ratio 0.5830
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.5000 cache size     1364, 4080605 req, miss ratio 0.4229, byte miss ratio 0.4229
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.5000 cache size     4092, 4080605 req, miss ratio 0.3121, byte miss ratio 0.3121
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.5000 cache size    13640, 4080605 req, miss ratio 0.2049, byte miss ratio 0.2049
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.5000 cache size    27280, 4080605 req, miss ratio 0.1470, byte miss ratio 0.1470
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.5000 cache size    54560, 4080605 req, miss ratio 0.0913, byte miss ratio 0.0913
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-1.5000 cache size   109121, 4080605 req, miss ratio 0.0406, byte miss ratio 0.0406
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.3000 cache size      136, 4080605 req, miss ratio 0.7068, byte miss ratio 0.7068
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.3000 cache size      409, 4080605 req, miss ratio 0.5742, byte miss ratio 0.5742
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.3000 cache size     1364, 4080605 req, miss ratio 0.4147, byte miss ratio 0.4147
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.3000 cache size     4092, 4080605 req, miss ratio 0.3057, byte miss ratio 0.3057
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.3000 cache size    13640, 4080605 req, miss ratio 0.2001, byte miss ratio 0.2001
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.3000 cache size    27280, 4080605 req, miss ratio 0.1429, byte miss ratio 0.1429
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.3000 cache size    54560, 4080605 req, miss ratio 0.0864, byte miss ratio 0.0864
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-1.3000 cache size   109121, 4080605 req, miss ratio 0.0391, byte miss ratio 0.0391
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.5000 cache size      136, 4080605 req, miss ratio 0.7028, byte miss ratio 0.7028
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.5000 cache size      409, 4080605 req, miss ratio 0.5696, byte miss ratio 0.5696
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.5000 cache size     1364, 4080605 req, miss ratio 0.4106, byte miss ratio 0.4106
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.5000 cache size     4092, 4080605 req, miss ratio 0.2998, byte miss ratio 0.2998
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.5000 cache size    13640, 4080605 req, miss ratio 0.1952, byte miss ratio 0.1952
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.5000 cache size    27280, 4080605 req, miss ratio 0.1371, byte miss ratio 0.1371
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.5000 cache size    54560, 4080605 req, miss ratio 0.0792, byte miss ratio 0.0792
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3500-0.5000 cache size   109121, 4080605 req, miss ratio 0.0384, byte miss ratio 0.0384
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size      136, 4080605 req, miss ratio 0.7222, byte miss ratio 0.7222
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size      409, 4080605 req, miss ratio 0.5908, byte miss ratio 0.5908
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size     1364, 4080605 req, miss ratio 0.4311, byte miss ratio 0.4311
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size     4092, 4080605 req, miss ratio 0.3179, byte miss ratio 0.3179
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    13640, 4080605 req, miss ratio 0.2090, byte miss ratio 0.2090
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    27280, 4080605 req, miss ratio 0.1502, byte miss ratio 0.1502
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    54560, 4080605 req, miss ratio 0.0941, byte miss ratio 0.0941
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   109121, 4080605 req, miss ratio 0.0422, byte miss ratio 0.0422
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.8000 cache size      136, 4080605 req, miss ratio 0.6959, byte miss ratio 0.6959
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.8000 cache size      409, 4080605 req, miss ratio 0.5706, byte miss ratio 0.5706
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.8000 cache size     1364, 4080605 req, miss ratio 0.4160, byte miss ratio 0.4160
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.8000 cache size     4092, 4080605 req, miss ratio 0.3002, byte miss ratio 0.3002
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.8000 cache size    13640, 4080605 req, miss ratio 0.1932, byte miss ratio 0.1932
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.8000 cache size    27280, 4080605 req, miss ratio 0.1316, byte miss ratio 0.1316
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.8000 cache size    54560, 4080605 req, miss ratio 0.0731, byte miss ratio 0.0731
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1500-1.8000 cache size   109121, 4080605 req, miss ratio 0.0383, byte miss ratio 0.0383
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size      136, 4080605 req, miss ratio 0.7073, byte miss ratio 0.7073
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size      409, 4080605 req, miss ratio 0.5727, byte miss ratio 0.5727
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size     1364, 4080605 req, miss ratio 0.4121, byte miss ratio 0.4121
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size     4092, 4080605 req, miss ratio 0.2994, byte miss ratio 0.2994
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size    13640, 4080605 req, miss ratio 0.1941, byte miss ratio 0.1941
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size    27280, 4080605 req, miss ratio 0.1356, byte miss ratio 0.1356
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size    54560, 4080605 req, miss ratio 0.0775, byte miss ratio 0.0775
sc_knownfors_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.3000 cache size   109121, 4080605 req, miss ratio 0.0384, byte miss ratio 0.0384
