prn_0.IQI.bin S3FIFO-0.0100-0.9000 cache size    21341, 5585886 req, miss ratio 0.2861, byte miss ratio 0.2861
prn_0.IQI.bin S3FIFO-0.0100-0.9000 cache size    71138, 5585886 req, miss ratio 0.2153, byte miss ratio 0.2153
prn_0.IQI.bin S3FIFO-0.0100-0.9000 cache size   142277, 5585886 req, miss ratio 0.1761, byte miss ratio 0.1761
prn_0.IQI.bin S3FIFO-0.0100-0.9000 cache size   284554, 5585886 req, miss ratio 0.1360, byte miss ratio 0.1360
prn_0.IQI.bin S3FIFO-0.0100-0.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.3500-0.9000 cache size      711, 5585886 req, miss ratio 0.3737, byte miss ratio 0.3737
prn_0.IQI.bin S3FIFO-0.3500-0.9000 cache size     2134, 5585886 req, miss ratio 0.3428, byte miss ratio 0.3428
prn_0.IQI.bin S3FIFO-0.3500-0.9000 cache size     7113, 5585886 req, miss ratio 0.3177, byte miss ratio 0.3177
prn_0.IQI.bin S3FIFO-0.3500-0.9000 cache size    21341, 5585886 req, miss ratio 0.2862, byte miss ratio 0.2862
prn_0.IQI.bin S3FIFO-0.3500-0.9000 cache size    71138, 5585886 req, miss ratio 0.2164, byte miss ratio 0.2164
prn_0.IQI.bin S3FIFO-0.3500-0.9000 cache size   142277, 5585886 req, miss ratio 0.1793, byte miss ratio 0.1793
prn_0.IQI.bin S3FIFO-0.3500-0.9000 cache size   284554, 5585886 req, miss ratio 0.1445, byte miss ratio 0.1445
prn_0.IQI.bin S3FIFO-0.3500-0.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.8500-0.9000 cache size      711, 5585886 req, miss ratio 0.3835, byte miss ratio 0.3835
prn_0.IQI.bin S3FIFO-0.8500-0.9000 cache size     2134, 5585886 req, miss ratio 0.3525, byte miss ratio 0.3525
