user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     7152, 28647511 req, miss ratio 0.1234, byte miss ratio 0.1234
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    21457, 28647511 req, miss ratio 0.0765, byte miss ratio 0.0765
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    71524, 28647511 req, miss ratio 0.0461, byte miss ratio 0.0461
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   143048, 28647511 req, miss ratio 0.0335, byte miss ratio 0.0335
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   286097, 28647511 req, miss ratio 0.0277, byte miss ratio 0.0277
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   572194, 28647511 req, miss ratio 0.0253, byte miss ratio 0.0253
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size      715, 28647511 req, miss ratio 0.3852, byte miss ratio 0.3852
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size     2145, 28647511 req, miss ratio 0.2202, byte miss ratio 0.2202
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size     7152, 28647511 req, miss ratio 0.1343, byte miss ratio 0.1343
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    21457, 28647511 req, miss ratio 0.0833, byte miss ratio 0.0833
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size    71524, 28647511 req, miss ratio 0.0488, byte miss ratio 0.0488
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   143048, 28647511 req, miss ratio 0.0365, byte miss ratio 0.0365
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   286097, 28647511 req, miss ratio 0.0281, byte miss ratio 0.0281
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-1.9000 cache size   572194, 28647511 req, miss ratio 0.0255, byte miss ratio 0.0255
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size      715, 28647511 req, miss ratio 0.3232, byte miss ratio 0.3232
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     2145, 28647511 req, miss ratio 0.2000, byte miss ratio 0.2000
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size     7152, 28647511 req, miss ratio 0.1227, byte miss ratio 0.1227
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    21457, 28647511 req, miss ratio 0.0765, byte miss ratio 0.0765
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    71524, 28647511 req, miss ratio 0.0458, byte miss ratio 0.0458
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   143048, 28647511 req, miss ratio 0.0333, byte miss ratio 0.0333
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   286097, 28647511 req, miss ratio 0.0275, byte miss ratio 0.0275
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   572194, 28647511 req, miss ratio 0.0253, byte miss ratio 0.0253
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size      715, 28647511 req, miss ratio 0.4161, byte miss ratio 0.4161
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size     2145, 28647511 req, miss ratio 0.2601, byte miss ratio 0.2601
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size     7152, 28647511 req, miss ratio 0.1518, byte miss ratio 0.1518
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    21457, 28647511 req, miss ratio 0.0941, byte miss ratio 0.0941
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    71524, 28647511 req, miss ratio 0.0545, byte miss ratio 0.0545
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   143048, 28647511 req, miss ratio 0.0398, byte miss ratio 0.0398
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   286097, 28647511 req, miss ratio 0.0305, byte miss ratio 0.0305
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   572194, 28647511 req, miss ratio 0.0261, byte miss ratio 0.0261
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size      715, 28647511 req, miss ratio 1.0000, byte miss ratio 1.0000
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size     2145, 28647511 req, miss ratio 0.2048, byte miss ratio 0.2048
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size     7152, 28647511 req, miss ratio 0.1279, byte miss ratio 0.1279
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    21457, 28647511 req, miss ratio 0.0787, byte miss ratio 0.0787
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size    71524, 28647511 req, miss ratio 0.0469, byte miss ratio 0.0469
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   143048, 28647511 req, miss ratio 0.0341, byte miss ratio 0.0341
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   286097, 28647511 req, miss ratio 0.0280, byte miss ratio 0.0280
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size   572194, 28647511 req, miss ratio 0.0254, byte miss ratio 0.0254
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size      715, 28647511 req, miss ratio 0.3707, byte miss ratio 0.3707
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     2145, 28647511 req, miss ratio 0.2119, byte miss ratio 0.2119
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size     7152, 28647511 req, miss ratio 0.1301, byte miss ratio 0.1301
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    21457, 28647511 req, miss ratio 0.0808, byte miss ratio 0.0808
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    71524, 28647511 req, miss ratio 0.0477, byte miss ratio 0.0477
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   143048, 28647511 req, miss ratio 0.0360, byte miss ratio 0.0360
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   286097, 28647511 req, miss ratio 0.0278, byte miss ratio 0.0278
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   572194, 28647511 req, miss ratio 0.0255, byte miss ratio 0.0255
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size      715, 28647511 req, miss ratio 0.3874, byte miss ratio 0.3874
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size     2145, 28647511 req, miss ratio 0.2229, byte miss ratio 0.2229
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size     7152, 28647511 req, miss ratio 0.1357, byte miss ratio 0.1357
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size    21457, 28647511 req, miss ratio 0.0844, byte miss ratio 0.0844
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size    71524, 28647511 req, miss ratio 0.0494, byte miss ratio 0.0494
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   143048, 28647511 req, miss ratio 0.0369, byte miss ratio 0.0369
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   286097, 28647511 req, miss ratio 0.0283, byte miss ratio 0.0283
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-0.9000 cache size   572194, 28647511 req, miss ratio 0.0255, byte miss ratio 0.0255
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size      715, 28647511 req, miss ratio 0.3800, byte miss ratio 0.3800
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size     2145, 28647511 req, miss ratio 0.2167, byte miss ratio 0.2167
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size     7152, 28647511 req, miss ratio 0.1325, byte miss ratio 0.1325
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size    21457, 28647511 req, miss ratio 0.0822, byte miss ratio 0.0822
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size    71524, 28647511 req, miss ratio 0.0483, byte miss ratio 0.0483
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   143048, 28647511 req, miss ratio 0.0363, byte miss ratio 0.0363
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   286097, 28647511 req, miss ratio 0.0280, byte miss ratio 0.0280
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size   572194, 28647511 req, miss ratio 0.0255, byte miss ratio 0.0255
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size      715, 28647511 req, miss ratio 0.3191, byte miss ratio 0.3191
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     2145, 28647511 req, miss ratio 0.1954, byte miss ratio 0.1954
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     7152, 28647511 req, miss ratio 0.1219, byte miss ratio 0.1219
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    21457, 28647511 req, miss ratio 0.0755, byte miss ratio 0.0755
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    71524, 28647511 req, miss ratio 0.0455, byte miss ratio 0.0455
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   143048, 28647511 req, miss ratio 0.0332, byte miss ratio 0.0332
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   286097, 28647511 req, miss ratio 0.0274, byte miss ratio 0.0274
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   572194, 28647511 req, miss ratio 0.0253, byte miss ratio 0.0253
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size      715, 28647511 req, miss ratio 0.3594, byte miss ratio 0.3594
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     2145, 28647511 req, miss ratio 0.2050, byte miss ratio 0.2050
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     7152, 28647511 req, miss ratio 0.1265, byte miss ratio 0.1265
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    21457, 28647511 req, miss ratio 0.0785, byte miss ratio 0.0785
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    71524, 28647511 req, miss ratio 0.0465, byte miss ratio 0.0465
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   143048, 28647511 req, miss ratio 0.0347, byte miss ratio 0.0347
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   286097, 28647511 req, miss ratio 0.0275, byte miss ratio 0.0275
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   572194, 28647511 req, miss ratio 0.0254, byte miss ratio 0.0254
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size      715, 28647511 req, miss ratio 0.3454, byte miss ratio 0.3454
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     2145, 28647511 req, miss ratio 0.2008, byte miss ratio 0.2008
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     7152, 28647511 req, miss ratio 0.1244, byte miss ratio 0.1244
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    21457, 28647511 req, miss ratio 0.0771, byte miss ratio 0.0771
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    71524, 28647511 req, miss ratio 0.0461, byte miss ratio 0.0461
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   143048, 28647511 req, miss ratio 0.0343, byte miss ratio 0.0343
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   286097, 28647511 req, miss ratio 0.0275, byte miss ratio 0.0275
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   572194, 28647511 req, miss ratio 0.0254, byte miss ratio 0.0254
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size      715, 28647511 req, miss ratio 0.4104, byte miss ratio 0.4104
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size     2145, 28647511 req, miss ratio 0.2537, byte miss ratio 0.2537
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size     7152, 28647511 req, miss ratio 0.1481, byte miss ratio 0.1481
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size    21457, 28647511 req, miss ratio 0.0916, byte miss ratio 0.0916
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size    71524, 28647511 req, miss ratio 0.0534, byte miss ratio 0.0534
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   143048, 28647511 req, miss ratio 0.0392, byte miss ratio 0.0392
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   286097, 28647511 req, miss ratio 0.0302, byte miss ratio 0.0302
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   572194, 28647511 req, miss ratio 0.0258, byte miss ratio 0.0258
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size      715, 28647511 req, miss ratio 0.4065, byte miss ratio 0.4065
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size     2145, 28647511 req, miss ratio 0.2486, byte miss ratio 0.2486
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size     7152, 28647511 req, miss ratio 0.1454, byte miss ratio 0.1454
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    21457, 28647511 req, miss ratio 0.0899, byte miss ratio 0.0899
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size    71524, 28647511 req, miss ratio 0.0525, byte miss ratio 0.0525
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   143048, 28647511 req, miss ratio 0.0386, byte miss ratio 0.0386
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   286097, 28647511 req, miss ratio 0.0297, byte miss ratio 0.0297
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-1.9000 cache size   572194, 28647511 req, miss ratio 0.0257, byte miss ratio 0.0257
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size      715, 28647511 req, miss ratio 0.4228, byte miss ratio 0.4228
