cdn1_colo28.ns241 S3FIFO-0.9500-0.9000 cache size     1398, 32126732 req, miss ratio 0.7971, byte miss ratio 0.7971
cdn1_colo28.ns241 S3FIFO-0.9500-0.9000 cache size     4196, 32126732 req, miss ratio 0.5970, byte miss ratio 0.5970
cdn1_colo28.ns241 S3FIFO-0.9500-0.9000 cache size    13987, 32126732 req, miss ratio 0.3440, byte miss ratio 0.3440
cdn1_colo28.ns241 S3FIFO-0.9500-0.9000 cache size    41961, 32126732 req, miss ratio 0.2000, byte miss ratio 0.2000
cdn1_colo28.ns241 S3FIFO-0.9500-0.9000 cache size   139870, 32126732 req, miss ratio 0.1226, byte miss ratio 0.1226
cdn1_colo28.ns241 S3FIFO-0.9500-0.9000 cache size   279740, 32126732 req, miss ratio 0.0893, byte miss ratio 0.0893
cdn1_colo28.ns241 S3FIFO-0.9500-0.9000 cache size   559480, 32126732 req, miss ratio 0.0628, byte miss ratio 0.0628
cdn1_colo28.ns241 S3FIFO-0.9500-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0469, byte miss ratio 0.0469
cdn1_colo28.ns241 S3FIFO-0.9900-0.9000 cache size     1398, 32126732 req, miss ratio 0.8027, byte miss ratio 0.8027
cdn1_colo28.ns241 S3FIFO-0.9900-0.9000 cache size     4196, 32126732 req, miss ratio 0.6034, byte miss ratio 0.6034
cdn1_colo28.ns241 S3FIFO-0.9900-0.9000 cache size    13987, 32126732 req, miss ratio 0.3507, byte miss ratio 0.3507
cdn1_colo28.ns241 S3FIFO-0.9900-0.9000 cache size    41961, 32126732 req, miss ratio 0.2056, byte miss ratio 0.2056
cdn1_colo28.ns241 S3FIFO-0.9900-0.9000 cache size   139870, 32126732 req, miss ratio 0.1263, byte miss ratio 0.1263
cdn1_colo28.ns241 S3FIFO-0.9900-0.9000 cache size   279740, 32126732 req, miss ratio 0.0915, byte miss ratio 0.0915
cdn1_colo28.ns241 S3FIFO-0.9900-0.9000 cache size   559480, 32126732 req, miss ratio 0.0641, byte miss ratio 0.0641
cdn1_colo28.ns241 S3FIFO-0.9900-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0479, byte miss ratio 0.0479
