tencentBlock.ns21914 S3FIFO-0.3000-1.9000 cache size      387, 1247611 req, miss ratio 0.1509, byte miss ratio 0.1509
tencentBlock.ns21914 S3FIFO-0.3000-1.9000 cache size     1162, 1247611 req, miss ratio 0.1346, byte miss ratio 0.1346
tencentBlock.ns21914 S3FIFO-0.3000-1.9000 cache size     3875, 1247611 req, miss ratio 0.1226, byte miss ratio 0.1226
tencentBlock.ns21914 S3FIFO-0.3000-1.9000 cache size     7750, 1247611 req, miss ratio 0.1037, byte miss ratio 0.1037
tencentBlock.ns21914 S3FIFO-0.3000-1.9000 cache size    15501, 1247611 req, miss ratio 0.0675, byte miss ratio 0.0675
tencentBlock.ns21914 S3FIFO-0.3000-1.9000 cache size    31003, 1247611 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns21914 S3FIFO-0.4500-1.9000 cache size       38, 1247611 req, miss ratio 0.3776, byte miss ratio 0.3776
tencentBlock.ns21914 S3FIFO-0.4500-1.9000 cache size      116, 1247611 req, miss ratio 0.1718, byte miss ratio 0.1718
tencentBlock.ns21914 S3FIFO-0.4500-1.9000 cache size      387, 1247611 req, miss ratio 0.1534, byte miss ratio 0.1534
tencentBlock.ns21914 S3FIFO-0.4500-1.9000 cache size     1162, 1247611 req, miss ratio 0.1385, byte miss ratio 0.1385
tencentBlock.ns21914 S3FIFO-0.4500-1.9000 cache size     3875, 1247611 req, miss ratio 0.1235, byte miss ratio 0.1235
tencentBlock.ns21914 S3FIFO-0.4500-1.9000 cache size     7750, 1247611 req, miss ratio 0.1170, byte miss ratio 0.1170
tencentBlock.ns21914 S3FIFO-0.4500-1.9000 cache size    15501, 1247611 req, miss ratio 0.0705, byte miss ratio 0.0705
tencentBlock.ns21914 S3FIFO-0.4500-1.9000 cache size    31003, 1247611 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns21914 S3FIFO-0.3000-0.9000 cache size       38, 1247611 req, miss ratio 0.3531, byte miss ratio 0.3531
tencentBlock.ns21914 S3FIFO-0.3000-0.9000 cache size      116, 1247611 req, miss ratio 0.1722, byte miss ratio 0.1722
tencentBlock.ns21914 S3FIFO-0.3000-0.9000 cache size      387, 1247611 req, miss ratio 0.1505, byte miss ratio 0.1505
tencentBlock.ns21914 S3FIFO-0.3000-0.9000 cache size     1162, 1247611 req, miss ratio 0.1352, byte miss ratio 0.1352
tencentBlock.ns21914 S3FIFO-0.3000-0.9000 cache size     3875, 1247611 req, miss ratio 0.1210, byte miss ratio 0.1210
tencentBlock.ns21914 S3FIFO-0.3000-0.9000 cache size     7750, 1247611 req, miss ratio 0.1034, byte miss ratio 0.1034
tencentBlock.ns21914 S3FIFO-0.3000-0.9000 cache size    15501, 1247611 req, miss ratio 0.0675, byte miss ratio 0.0675
tencentBlock.ns21914 S3FIFO-0.3000-0.9000 cache size    31003, 1247611 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns21914 S3FIFO-0.0010-0.9000 cache size       38, 1247611 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21914 S3FIFO-0.0010-0.9000 cache size      116, 1247611 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21914 S3FIFO-0.0010-0.9000 cache size      387, 1247611 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns21914 S3FIFO-0.0010-0.9000 cache size     1162, 1247611 req, miss ratio 0.1666, byte miss ratio 0.1666
tencentBlock.ns21914 S3FIFO-0.0010-0.9000 cache size     3875, 1247611 req, miss ratio 0.1243, byte miss ratio 0.1243
tencentBlock.ns21914 S3FIFO-0.0010-0.9000 cache size     7750, 1247611 req, miss ratio 0.1016, byte miss ratio 0.1016
tencentBlock.ns21914 S3FIFO-0.0010-0.9000 cache size    15501, 1247611 req, miss ratio 0.0656, byte miss ratio 0.0656
tencentBlock.ns21914 S3FIFO-0.0010-0.9000 cache size    31003, 1247611 req, miss ratio 0.0318, byte miss ratio 0.0318
tencentBlock.ns21914 S3FIFO-0.8500-1.9000 cache size       38, 1247611 req, miss ratio 0.4263, byte miss ratio 0.4263
tencentBlock.ns21914 S3FIFO-0.8500-1.9000 cache size      116, 1247611 req, miss ratio 0.2076, byte miss ratio 0.2076
tencentBlock.ns21914 S3FIFO-0.8500-1.9000 cache size      387, 1247611 req, miss ratio 0.1652, byte miss ratio 0.1652
tencentBlock.ns21914 S3FIFO-0.8500-1.9000 cache size     1162, 1247611 req, miss ratio 0.1476, byte miss ratio 0.1476
tencentBlock.ns21914 S3FIFO-0.8500-1.9000 cache size     3875, 1247611 req, miss ratio 0.1307, byte miss ratio 0.1307
tencentBlock.ns21914 S3FIFO-0.8500-1.9000 cache size     7750, 1247611 req, miss ratio 0.1110, byte miss ratio 0.1110
tencentBlock.ns21914 S3FIFO-0.8500-1.9000 cache size    15501, 1247611 req, miss ratio 0.0763, byte miss ratio 0.0763
tencentBlock.ns21914 S3FIFO-0.8500-1.9000 cache size    31003, 1247611 req, miss ratio 0.0324, byte miss ratio 0.0324
tencentBlock.ns21914 S3FIFO-0.2000-0.9000 cache size       38, 1247611 req, miss ratio 0.3405, byte miss ratio 0.3405
tencentBlock.ns21914 S3FIFO-0.2000-0.9000 cache size      116, 1247611 req, miss ratio 0.1729, byte miss ratio 0.1729
tencentBlock.ns21914 S3FIFO-0.2000-0.9000 cache size      387, 1247611 req, miss ratio 0.1498, byte miss ratio 0.1498
tencentBlock.ns21914 S3FIFO-0.2000-0.9000 cache size     1162, 1247611 req, miss ratio 0.1331, byte miss ratio 0.1331
tencentBlock.ns21914 S3FIFO-0.2000-0.9000 cache size     3875, 1247611 req, miss ratio 0.1201, byte miss ratio 0.1201
tencentBlock.ns21914 S3FIFO-0.2000-0.9000 cache size     7750, 1247611 req, miss ratio 0.1032, byte miss ratio 0.1032
tencentBlock.ns21914 S3FIFO-0.2000-0.9000 cache size    15501, 1247611 req, miss ratio 0.0682, byte miss ratio 0.0682
tencentBlock.ns21914 S3FIFO-0.2000-0.9000 cache size    31003, 1247611 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns21914 S3FIFO-0.9000-0.9000 cache size       38, 1247611 req, miss ratio 0.4350, byte miss ratio 0.4350
tencentBlock.ns21914 S3FIFO-0.9000-0.9000 cache size      116, 1247611 req, miss ratio 0.2159, byte miss ratio 0.2159
tencentBlock.ns21914 S3FIFO-0.9000-0.9000 cache size      387, 1247611 req, miss ratio 0.1673, byte miss ratio 0.1673
tencentBlock.ns21914 S3FIFO-0.9000-0.9000 cache size     1162, 1247611 req, miss ratio 0.1497, byte miss ratio 0.1497
tencentBlock.ns21914 S3FIFO-0.9000-0.9000 cache size     3875, 1247611 req, miss ratio 0.1319, byte miss ratio 0.1319
tencentBlock.ns21914 S3FIFO-0.9000-0.9000 cache size     7750, 1247611 req, miss ratio 0.1117, byte miss ratio 0.1117
tencentBlock.ns21914 S3FIFO-0.9000-0.9000 cache size    15501, 1247611 req, miss ratio 0.0764, byte miss ratio 0.0764
tencentBlock.ns21914 S3FIFO-0.9000-0.9000 cache size    31003, 1247611 req, miss ratio 0.0331, byte miss ratio 0.0331
tencentBlock.ns21914 S3FIFO-0.1000-1.9000 cache size       38, 1247611 req, miss ratio 0.3284, byte miss ratio 0.3284
tencentBlock.ns21914 S3FIFO-0.1000-1.9000 cache size      116, 1247611 req, miss ratio 0.1765, byte miss ratio 0.1765
tencentBlock.ns21914 S3FIFO-0.1000-1.9000 cache size      387, 1247611 req, miss ratio 0.1497, byte miss ratio 0.1497
tencentBlock.ns21914 S3FIFO-0.1000-1.9000 cache size     1162, 1247611 req, miss ratio 0.1305, byte miss ratio 0.1305
tencentBlock.ns21914 S3FIFO-0.1000-1.9000 cache size     3875, 1247611 req, miss ratio 0.1215, byte miss ratio 0.1215
tencentBlock.ns21914 S3FIFO-0.1000-1.9000 cache size     7750, 1247611 req, miss ratio 0.1019, byte miss ratio 0.1019
tencentBlock.ns21914 S3FIFO-0.1000-1.9000 cache size    15501, 1247611 req, miss ratio 0.0686, byte miss ratio 0.0686
tencentBlock.ns21914 S3FIFO-0.1000-1.9000 cache size    31003, 1247611 req, miss ratio 0.0318, byte miss ratio 0.0318
tencentBlock.ns21914 S3FIFO-0.5000-1.9000 cache size       38, 1247611 req, miss ratio 0.3820, byte miss ratio 0.3820
tencentBlock.ns21914 S3FIFO-0.5000-1.9000 cache size      116, 1247611 req, miss ratio 0.1730, byte miss ratio 0.1730
