cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   165535, 182558107 req, miss ratio 0.1058, byte miss ratio 0.1058
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size   496607, 182558107 req, miss ratio 0.0976, byte miss ratio 0.0976
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  1655357, 182558107 req, miss ratio 0.0928, byte miss ratio 0.0928
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  3310715, 182558107 req, miss ratio 0.0916, byte miss ratio 0.0916
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size  6621430, 182558107 req, miss ratio 0.0910, byte miss ratio 0.0910
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    16553, 182558107 req, miss ratio 0.1351, byte miss ratio 0.1351
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    49660, 182558107 req, miss ratio 0.1179, byte miss ratio 0.1179
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   165535, 182558107 req, miss ratio 0.1045, byte miss ratio 0.1045
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   496607, 182558107 req, miss ratio 0.0968, byte miss ratio 0.0968
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  1655357, 182558107 req, miss ratio 0.0926, byte miss ratio 0.0926
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  3310715, 182558107 req, miss ratio 0.0915, byte miss ratio 0.0915
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  6621430, 182558107 req, miss ratio 0.0910, byte miss ratio 0.0910
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    16553, 182558107 req, miss ratio 0.1401, byte miss ratio 0.1401
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size    49660, 182558107 req, miss ratio 0.1219, byte miss ratio 0.1219
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   165535, 182558107 req, miss ratio 0.1071, byte miss ratio 0.1071
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size   496607, 182558107 req, miss ratio 0.0984, byte miss ratio 0.0984
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  1655357, 182558107 req, miss ratio 0.0931, byte miss ratio 0.0931
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6000-1.9000 cache size  3310715, 182558107 req, miss ratio 0.0917, byte miss ratio 0.0917
