io_traces.ns58 S3FIFO-0.9500-1.9000 cache size    61246, 382600000 req, miss ratio 0.5900, byte miss ratio 0.5900
io_traces.ns58 S3FIFO-0.9500-1.9000 cache size   183738, 382600000 req, miss ratio 0.5587, byte miss ratio 0.5587
io_traces.ns58 S3FIFO-0.9500-1.9000 cache size   612461, 382600000 req, miss ratio 0.4795, byte miss ratio 0.4795
io_traces.ns58 S3FIFO-0.9500-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3995, byte miss ratio 0.3995
io_traces.ns58 S3FIFO-0.9500-1.9000 cache size  6124613, 382600000 req, miss ratio 0.3212, byte miss ratio 0.3212
io_traces.ns58 S3FIFO-0.9500-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2687, byte miss ratio 0.2687
io_traces.ns58 S3FIFO-0.9500-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2105, byte miss ratio 0.2105
io_traces.ns58 S3FIFO-0.9500-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1707, byte miss ratio 0.1707
io_traces.ns58 S3FIFO-0.9900-1.9000 cache size    61246, 382600000 req, miss ratio 0.5938, byte miss ratio 0.5938
io_traces.ns58 S3FIFO-0.9900-1.9000 cache size   183738, 382600000 req, miss ratio 0.5650, byte miss ratio 0.5650
io_traces.ns58 S3FIFO-0.9900-1.9000 cache size   612461, 382600000 req, miss ratio 0.4833, byte miss ratio 0.4833
io_traces.ns58 S3FIFO-0.9900-1.9000 cache size  1837383, 382600000 req, miss ratio 0.4025, byte miss ratio 0.4025
io_traces.ns58 S3FIFO-0.9900-1.9000 cache size  6124613, 382600000 req, miss ratio 0.3249, byte miss ratio 0.3249
io_traces.ns58 S3FIFO-0.9900-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2713, byte miss ratio 0.2713
io_traces.ns58 S3FIFO-0.9900-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2121, byte miss ratio 0.2121
