cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size  1461736, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size  2923472, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.3500-1.9000 cache size  5846945, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     7308, 25527458 req, miss ratio 0.3082, byte miss ratio 0.3082
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size    21926, 25527458 req, miss ratio 0.2905, byte miss ratio 0.2905
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size    73086, 25527458 req, miss ratio 0.2883, byte miss ratio 0.2883
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size   219260, 25527458 req, miss ratio 0.2871, byte miss ratio 0.2871
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size   730868, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size  1461736, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size  2923472, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size  5846945, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     7308, 25527458 req, miss ratio 0.2867, byte miss ratio 0.2867
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size    21926, 25527458 req, miss ratio 0.2865, byte miss ratio 0.2865
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size    73086, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size   219260, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size   730868, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size  1461736, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size  2923472, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size  5846945, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     7308, 25527458 req, miss ratio 0.3266, byte miss ratio 0.3266
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    21926, 25527458 req, miss ratio 0.2986, byte miss ratio 0.2986
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    73086, 25527458 req, miss ratio 0.2892, byte miss ratio 0.2892
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   219260, 25527458 req, miss ratio 0.2878, byte miss ratio 0.2878
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   730868, 25527458 req, miss ratio 0.2866, byte miss ratio 0.2866
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size  1461736, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size  2923472, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size  5846945, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size     7308, 25527458 req, miss ratio 0.2868, byte miss ratio 0.2868
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size    21926, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size    73086, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   219260, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size   730868, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size  1461736, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size  2923472, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size  5846945, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size     7308, 25527458 req, miss ratio 0.2867, byte miss ratio 0.2867
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size    21926, 25527458 req, miss ratio 0.2865, byte miss ratio 0.2865
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size    73086, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size   219260, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size   730868, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size  1461736, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size  2923472, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
