expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size  2777447, 296493967 req, miss ratio 0.0251, byte miss ratio 0.0251
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.3000 cache size  5554894, 296493967 req, miss ratio 0.0236, byte miss ratio 0.0236
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.3000 cache size     6943, 296493967 req, miss ratio 0.3686, byte miss ratio 0.3686
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.3000 cache size    20830, 296493967 req, miss ratio 0.2962, byte miss ratio 0.2962
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.3000 cache size    69436, 296493967 req, miss ratio 0.1589, byte miss ratio 0.1589
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.3000 cache size   208308, 296493967 req, miss ratio 0.0682, byte miss ratio 0.0682
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.3000 cache size   694361, 296493967 req, miss ratio 0.0379, byte miss ratio 0.0379
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.3000 cache size  1388723, 296493967 req, miss ratio 0.0305, byte miss ratio 0.0305
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.3000 cache size  2777447, 296493967 req, miss ratio 0.0264, byte miss ratio 0.0264
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.3000 cache size  5554894, 296493967 req, miss ratio 0.0239, byte miss ratio 0.0239
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.7000 cache size     6943, 296493967 req, miss ratio 0.3055, byte miss ratio 0.3055
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.7000 cache size    20830, 296493967 req, miss ratio 0.2351, byte miss ratio 0.2351
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.7000 cache size    69436, 296493967 req, miss ratio 0.1393, byte miss ratio 0.1393
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.7000 cache size   208308, 296493967 req, miss ratio 0.0457, byte miss ratio 0.0457
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.7000 cache size   694361, 296493967 req, miss ratio 0.0322, byte miss ratio 0.0322
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.7000 cache size  1388723, 296493967 req, miss ratio 0.0278, byte miss ratio 0.0278
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.7000 cache size  2777447, 296493967 req, miss ratio 0.0251, byte miss ratio 0.0251
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.7000 cache size  5554894, 296493967 req, miss ratio 0.0236, byte miss ratio 0.0236
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.6000 cache size     6943, 296493967 req, miss ratio 0.3100, byte miss ratio 0.3100
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.6000 cache size    20830, 296493967 req, miss ratio 0.2413, byte miss ratio 0.2413
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.6000 cache size    69436, 296493967 req, miss ratio 0.1575, byte miss ratio 0.1575
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.6000 cache size   208308, 296493967 req, miss ratio 0.0467, byte miss ratio 0.0467
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.6000 cache size   694361, 296493967 req, miss ratio 0.0325, byte miss ratio 0.0325
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.6000 cache size  1388723, 296493967 req, miss ratio 0.0278, byte miss ratio 0.0278
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.6000 cache size  2777447, 296493967 req, miss ratio 0.0251, byte miss ratio 0.0251
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.6000 cache size  5554894, 296493967 req, miss ratio 0.0236, byte miss ratio 0.0236
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size     6943, 296493967 req, miss ratio 0.3148, byte miss ratio 0.3148
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size    20830, 296493967 req, miss ratio 0.2360, byte miss ratio 0.2360
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size    69436, 296493967 req, miss ratio 0.1346, byte miss ratio 0.1346
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size   208308, 296493967 req, miss ratio 0.0459, byte miss ratio 0.0459
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size   694361, 296493967 req, miss ratio 0.0324, byte miss ratio 0.0324
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size  1388723, 296493967 req, miss ratio 0.0279, byte miss ratio 0.0279
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size  2777447, 296493967 req, miss ratio 0.0253, byte miss ratio 0.0253
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.4000 cache size  5554894, 296493967 req, miss ratio 0.0236, byte miss ratio 0.0236
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.8000 cache size     6943, 296493967 req, miss ratio 0.3422, byte miss ratio 0.3422
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.8000 cache size    20830, 296493967 req, miss ratio 0.2787, byte miss ratio 0.2787
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.8000 cache size    69436, 296493967 req, miss ratio 0.1793, byte miss ratio 0.1793
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.8000 cache size   208308, 296493967 req, miss ratio 0.0524, byte miss ratio 0.0524
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.8000 cache size   694361, 296493967 req, miss ratio 0.0341, byte miss ratio 0.0341
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.8000 cache size  1388723, 296493967 req, miss ratio 0.0289, byte miss ratio 0.0289
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.8000 cache size  2777447, 296493967 req, miss ratio 0.0253, byte miss ratio 0.0253
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.8000 cache size  5554894, 296493967 req, miss ratio 0.0237, byte miss ratio 0.0237
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.1000 cache size     6943, 296493967 req, miss ratio 0.3694, byte miss ratio 0.3694
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.1000 cache size    20830, 296493967 req, miss ratio 0.2982, byte miss ratio 0.2982
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.1000 cache size    69436, 296493967 req, miss ratio 0.1589, byte miss ratio 0.1589
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.1000 cache size   208308, 296493967 req, miss ratio 0.0682, byte miss ratio 0.0682
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.1000 cache size   694361, 296493967 req, miss ratio 0.0379, byte miss ratio 0.0379
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.1000 cache size  1388723, 296493967 req, miss ratio 0.0305, byte miss ratio 0.0305
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.1000 cache size  2777447, 296493967 req, miss ratio 0.0264, byte miss ratio 0.0264
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-1.1000 cache size  5554894, 296493967 req, miss ratio 0.0239, byte miss ratio 0.0239
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.7000 cache size     6943, 296493967 req, miss ratio 0.3438, byte miss ratio 0.3438
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.7000 cache size    20830, 296493967 req, miss ratio 0.2793, byte miss ratio 0.2793
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.7000 cache size    69436, 296493967 req, miss ratio 0.1758, byte miss ratio 0.1758
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.7000 cache size   208308, 296493967 req, miss ratio 0.0537, byte miss ratio 0.0537
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.7000 cache size   694361, 296493967 req, miss ratio 0.0344, byte miss ratio 0.0344
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.7000 cache size  1388723, 296493967 req, miss ratio 0.0290, byte miss ratio 0.0290
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.7000 cache size  2777447, 296493967 req, miss ratio 0.0254, byte miss ratio 0.0254
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.7000 cache size  5554894, 296493967 req, miss ratio 0.0237, byte miss ratio 0.0237
expandodo_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-2.0000 cache size     6943, 296493967 req, miss ratio 0.3124, byte miss ratio 0.3124
